"title","number","date","keywords","link"
"Wieder im Kino: „Frühstück bei Tiffany“ |","1990.3.43","1990-01-12","DIE ZEIT","http://www.zeit.de/1990/03/bezaubernde-audrey"
"Dreikönigstreffen: Die Butter vom Brot |","1990.3.54","1990-01-12","DIE ZEIT, Dreikönigstreffen, Hans-Dietrich Genscher, Helmut Kohl, FDP, Brot, Bundesregierung, SPD, Bundestagswahlkampf, DDR, Deutschlandpolitik, Kanzleramt, Bonn, Dresden, Warschau, Washington D.C","http://www.zeit.de/1990/03/die-butter-vom-brot"
"Exodus bei der „Jerusalem Post“: Knebel für die kleine große Zeitung |","1990.3.55","1990-01-12","DIE ZEIT, Exodus bei der „Jerusalem Post“, Izchak Schamir, Zeitung, Israel, Schimon Peres, Post, Kanada, Libanon, Jerusalem, Nordamerika","http://www.zeit.de/1990/03/knebel-fuer-die-kleine-grosse-zeitung"
"Nach der Panama-Invasion: Gefangen, aber noch lange nicht verurteilt |","1990.3.56","1990-01-12","DIE ZEIT, Nach der Panama-Invasion, George W.  Bush, Ford, Drogenhandel, Gericht, Oliver North, Panama, Prozess, Strafverfolgung, US-Geheimdienst, Kuba, Nicaragua, USA, Washington D.C., Florida, Miami, Nordamerika","http://www.zeit.de/1990/03/gefangen-aber-noch-lange-nicht-verurteilt"
"Für die Heimat entschieden |","1990.3.57","1990-01-12","DIE ZEIT, , Michail Gorbatschow, Vytautas Landsbergis, Litauen, Sonderparteitag, Heimat, Moskau, Sowjetunion, Vilnius","http://www.zeit.de/1990/03/fuer-die-heimat-entschieden"
"Asko / Metro: Hausmanns Übereifer |","1990.3.58","1990-01-12","DIE ZEIT, Asko / Metro, Helmut Haussmann, Recht, Kartellamt, Minister, Souveränität, Wirtschaftsminister","http://www.zeit.de/1990/03/hausmanns-uebereifer"
"Automobilindustrie: Pfusch am laufenden Band |","1990.3.59","1990-01-12","DIE ZEIT, Automobilindustrie, Band, Toyota, Automobilindustrie, Autoindustrie, Helmut Becker, Japan, Lexus, tTokyo, USA","http://www.zeit.de/1990/03/pfusch-am-laufenden-band"
"Japaner im Anmarsch |","1990.3.60","1990-01-12","DIE ZEIT, , Aktie, Börse, Kaufkraft, Steuerreform, tTokyo, Japan, USA, Osteuropa","http://www.zeit.de/1990/03/japaner-im-anmarsch"
"Ein delikater Happen |","1990.3.61","1990-01-12","DIE ZEIT, , Heinz Nixdorf, Siemens AG, BMW, Mannesmann, Familie, Kartellamt, Umsatz, Unternehmen, Europa, Paderborn","http://www.zeit.de/1990/03/ein-delikater-happen"
"Nikolaus Piper:: Der letzte Dinosaurier |","1990.3.62","1990-01-12","DIE ZEIT, Nikolaus Piper:, Dinosaurier, Außenhandel, DDR, Polen, Sowjetunion, Währung, Bulgarien, Kuba, Mongolei, Rumänien, Tschechoslowakei, Ungarn, Vietnam, Moskau, Osteuropa, Sofia","http://www.zeit.de/1990/03/der-letzte-dinosaurier"
"Bonner Kulisse |","1990.3.63","1990-01-12","DIE ZEIT, , Gerhard Stoltenberg, Bundesregierung, Hans-Dietrich Genscher, Helmut Kohl, Auswärtiges Amt, Bundesverwaltungsgericht, Horst Teltschik, MBB, Norbert Gansel, Strafverfolgung, Waldemar Schreckenberger, Wehrdienst, Südafrika, Berlin, Bonn, Kiel, Lübeck","http://www.zeit.de/1990/03/bonner-kulisse"
"Kernenergie: Elegant |","1990.3.64","1990-01-12","DIE ZEIT, Kernenergie, Kernenergie, SPD, Recht, Brandschutz, Landesregierung, Opfer, Reaktor, Reimut Jochimsen, Wirtschaftsminister, Düsseldorf, Nordrhein-Westfalen","http://www.zeit.de/1990/03/elegant"
"Das Richtige zur rechten Zeit |","1990.3.65","1990-01-12","DIE ZEIT, , Dax, Veba, DG Bank, Japan, Liechtenstein","http://www.zeit.de/1990/03/das-richtige-zur-rechten-zeit"
