"title","number","date","keywords","link"
"Nachlese: Volkskongreß in China: Aufstieg eines Reformers |","1991.16.2136","1991-04-12","DIE ZEIT, Nachlese: Volkskongreß in China, China, Zhu Rongji, Michail Gorbatschow, Bürokratie, Erdbeben, Erdstoß, Ministerpräsident, Oberbürgermeister, Hoffnung, Regierung, Shanghai, Peking","http://www.zeit.de/1991/16/aufstieg-eines-reformers"
"Rückblick: Regierungsbildung in Hessen: Rot-Grün normal |","1991.16.2147","1991-04-12","DIE ZEIT, Rückblick: Regierungsbildung in Hessen, Hans Eichel, Grüne, Hessen, SPD, CDU, Joschka Fischer, Landtagswahl, Ministerpräsident, Wahl, Berlin, Bielefeld, Düsseldorf, Krefeld, Wiesbaden","http://www.zeit.de/1991/16/rot-gruen-normal"
"Vor den Landtagswahlen wechselt in Kohls Heimatland die Stimmung: Ernten nach langem Ackern |","1991.16.2148","1991-04-12","DIE ZEIT, Vor den Landtagswahlen wechselt in Kohls Heimatland die Stimmung, Rudolf Scharping, CDU, SPD, FDP, Rainer Brüderle, Grüne, Helmut Kohl, Katholische Kirche, Bundestagswahl, DDR, Landtagswahl, Bonn, Rheinland-Pfalz, Koblenz, Mainz","http://www.zeit.de/1991/16/ernten-nach-langem-ackern"
"Zeitspiegel |","1991.16.2149","1991-04-12","DIE ZEIT, , Thomas von Randow, Echo, Focus, Gleichberechtigung, Misshandlung, Sparkasse, Tod, Todesstrafe, Bangladesch, Sowjetunion, Berlin, Freiburg, Karlsruhe, San Francisco","http://www.zeit.de/1991/16/zeitspiegel"
"Wer war der zweite Spion im Kanzleramt? |","1991.16.2150","1991-04-12","DIE ZEIT, , Bundeskanzleramt, Bundesregierung, Franz Josef Strauß, Alexander Schalck-Golodkowski, DDR, Deutschlandpolitik, Staatsbürgerschaft, Bundesrepublik Deutschland, Chiemsee, Ost-Berlin, Rhein, Salzgitter, Schönefeld","http://www.zeit.de/1991/16/wer-war-der-zweite-spion-im-kanzerlamt"
"Nach der Osterpause hat sich die deutsche Politik verändert Der Schock des Rohwedder-Attentats, Kohls Reise nach Erfurt, Vogels Brief an den Kanzler – die Kulisse ist in Bewegung.: Bühne frei für den Großen Konsens |","1991.16.2151","1991-04-12","DIE ZEIT, Nach der Osterpause hat sich die deutsche Politik verändert Der Schock des Rohwedder-Attentats, Kohls Reise nach Erfurt, Vogels Brief an den Kanzler – die Kulisse ist in Bewegung., Hans-Dietrich Genscher, Helmut Kohl, Reise, Detlev Karsten Rohwedder, Jens Reich, Max Streibl, Oskar Lafontaine, Richard Freiherr von Weizsäcker, Bühne, Heiner Geißler, SPD, Brief, Rudolf Augstein, Ingrid Matthäus-Maier, Kanzleramt, Opposition, Vogel, Bonn, Erfurt, Halle an der Saale, Berlin, Thüringen","http://www.zeit.de/1991/16/buehne-frei-fuer-den-grossen-konsens"
"Israel-Boykott: Widerstand |","1991.16.2152","1991-04-12","DIE ZEIT, Israel-Boykott, Jürgen Möllemann, Behörde, Bundeswirtschaftsminister, Handel, Religion, Strafe, Unternehmen, Israel, Widerstand","http://www.zeit.de/1991/16/widerstand"
"Kuba: Fidel Castro vor der Pleite |","1991.16.2153","1991-04-12","DIE ZEIT, Kuba, Kuba, Fidel Castro, Kommunistische Partei, Peso, Fidel Castro, Nordkorea, Sowjetunion, Spanien, USA, Ungarn, Havanna, Miami, Washington D.C","http://www.zeit.de/1991/16/fidel-castro-vor-der-pleite"
"Rudolf Engen: Happy Zapping |","1991.16.2154","1991-04-12","DIE ZEIT, Rudolf Engen, ZDF, EMMA, Buch, Sendung, Saarland","http://www.zeit.de/1991/16/happy-zapping"
"Bilanz einer zehnjährigen Amtszeit: Die Zähne gezeigt |","1991.16.2155","1991-04-12","DIE ZEIT, Bilanz einer zehnjährigen Amtszeit, Deutsche Bank, Hilmar Kopper, Dresdner Bank, WestLB, Bausparkasse, Bayerische Vereinsbank, DDR, Philipp Holzmann","http://www.zeit.de/1991/16/die-zaehne-gezeigt"
"Thailand: Die Ökonomie des Opiums |","1991.16.2156","1991-04-12","DIE ZEIT, Thailand, Chiang Mai, Thailand, Burma, GTZ, Heroin, Opium, Laos, Myanmar, USA, Ökonomie, Asien, Bangkok","http://www.zeit.de/1991/16/die-oekonomie-des-opiums"
"Sanierung in Ostdeutschland: Der nächste, bitte! |","1991.16.2157","1991-04-12","DIE ZEIT, Sanierung in Ostdeutschland, Ostdeutschland, Sanierung, Arbeitsamt, IG Metall, Christian Wernicke, Energiesparlampe, Kurzarbeit, Kündigungsschutz, Osram, Sowjetunion, Düsseldorf, Ostberlin, Spandau","http://www.zeit.de/1991/16/der-naechste-bitte"
"Reform der Bundesbank: Waigel wartet |","1991.16.2158","1991-04-12","DIE ZEIT, Reform der Bundesbank, Theo Waigel, Oskar Lafontaine, Bundesbank, Karl Otto Pöhl, Bundesregierung, Bundesfinanzminister, Bundesrat, Föderalismus, Oberbürgermeister, Reform, Finanzminister, Herbst, Präsident, Theo Waigel, Saar, Bayern, Europa, Hessen, Rheinland-Pfalz, Saarbrücken","http://www.zeit.de/1991/16/waigel-wartet"
"Präsident Mitterrand: Ende eines Dogmas |","1991.16.2159","1991-04-12","DIE ZEIT, Präsident Mitterrand, Präsident, François Mitterrand, Die Linke, Renault, Volvo, Allianz, Bank, Industriebetrieb, Michel Rocard, Premierminister, Privatisierung, Präsidentenwahl, Raffinerie, Versicherung, Frankreich, Paris","http://www.zeit.de/1991/16/ende-eines-dogmas"
"Bonner Kulisse |","1991.16.2160","1991-04-12","DIE ZEIT, , Bundesregierung, Heinz Riesenhuber, CDU, Erich Riedl, Grüne, Helmut Haussmann, SPD, Wolfgang Schäuble, Edelgard Bulmahn, Gildemeister, Handfeuerwaffe, Staatssekretär, Irak, Bonn, Brandenburg, Brüssel","http://www.zeit.de/1991/16/bonner-kulisse"
"Egoisten an der Macht |","1991.16.2161","1991-04-12","DIE ZEIT, , Adam Smith, Wirtschaftspolitik, Putsch, Wahlrecht","http://www.zeit.de/1991/16/egoisten-an-der-macht"
"Zeitliches aus Frankreich: Begehrtes Plastik |","1991.16.2162","1991-04-12","DIE ZEIT, Zeitliches aus Frankreich, Frankreich, Telekom, Plastik, Briefmarke, Entsorgung","http://www.zeit.de/1991/16/begehrtes-plastik"
"Dirk Kurbjuweit:: Reine Männersache |","1991.16.2163","1991-04-12","DIE ZEIT, Dirk Kurbjuweit:, Bundesregierung, SED, SPD, Bundeskabinett, Sozialamt, Alter, Armut, DDR, Deutsches Institut für Wirtschaftsforschung, Ostdeutschland, Rente, Rentenreform, Sozialismus, Währungsunion, Bonn","http://www.zeit.de/1991/16/reine-maennersache"
"Dubiose Geschäfte an der Autobahn |","1991.16.2164","1991-04-12","DIE ZEIT, , Günther Krause, Autobahn, Friedrich Zimmermann, Dieter Schulte, Jürgen Seidel, Bundesverkehrsministerium, DDR, Verkehrsminister, Berlin, Ostberlin","http://www.zeit.de/1991/16/dubiose-geschaefte-an-der-autobahn"
"Vom Dollar profitiert |","1991.16.2165","1991-04-12","DIE ZEIT, , Dollar, General Motors, Fokker, Franken, Philip Morris, Europa, München","http://www.zeit.de/1991/16/vom-dollar-profitiert"
"Markt-Report: Mut zur Lücke |","1991.16.2166","1991-04-12","DIE ZEIT, Markt-Report, Commerzbank, Dax, VW, Deutsche Bank, Aktienindex, Börse, Gewinn, Klimawandel, Rendite","http://www.zeit.de/1991/16/mut-zur-luecke"
