"title","number","date","keywords","link"
"Kokain-Lieferant Bolivien: „Es gibt hier nichts anderes“ |","1990.8.169","1990-02-16","DIE ZEIT, Kokain-Lieferant Bolivien, Hugo Banzer, Bolivien, Urwald, Angola, Kolumbien, La Paz, Miami, Südamerika, Washington D.C","http://www.zeit.de/1990/08/es-gibt-hier-nichts-anderes"
"Weltbühne: „Wir schlagen sie tot!“ |","1990.8.180","1990-02-16","DIE ZEIT, Weltbühne, Gesundheitsministerium, Medien, Aggression, Aids, Aufklärung, Homosexualität, Hysterie, Jugendliche, Obst, Pest, Strafe, Virus, Kuba, Polen, Warschau","http://www.zeit.de/1990/08/wir-schlagen-sie-tot"
"Vor der Volkskammer-Wahl: Anwalt der Bürgerbewegung |","1990.8.181","1990-02-16","DIE ZEIT, Vor der Volkskammer-Wahl, Wolfgang Ullmann, Hans Modrow, SPD, DDR, Egon Krenz, Verfassung, Volkskammer, Bonn","http://www.zeit.de/1990/08/anwalt-der-buergerbewegung"
"Im deutschen Namen? |","1990.8.182","1990-02-16","DIE ZEIT, , Demokratie, Geschwister, Gestank, Konzentrationslager, Unterlassung, Verbrechen, Wiedervereinigung, Währungsunion, Frankreich, Europa, Hamburg, Moskau","http://www.zeit.de/1990/08/im-deutschen-namen"
"Pressevertrieb: Verhagelt |","1990.8.183","1990-02-16","DIE ZEIT, Pressevertrieb, Burda, DDR, Eintracht Frankfurt, Post, Verlag, Vertrieb, Berlin, Mannheim","http://www.zeit.de/1990/08/verhagelt"
"Schweden: Modell mit groben Fehlern |","1990.8.184","1990-02-16","DIE ZEIT, Schweden, Schweden, Margaret Thatcher, Arbeitgeberverband, Arbeitskampf, Inflation, Ingvar Carlsson, Streik, England, MIT, Stockholm","http://www.zeit.de/1990/08/modell-mit-groben-fehlern"
"Frankfurt: Pakt mit der Großfinanz |","1990.8.185","1990-02-16","DIE ZEIT, Frankfurt, Daniel Cohn-Bendit, Commerzbank, Grüne, SPD, Volker Hauff, CDU, Joschka Fischer, Europäische Zentralbank, Westend, MIT","http://www.zeit.de/1990/08/pakt-mit-der-grossfinanz"
"Bundespost: Auf schwachem Posten |","1990.8.186","1990-02-16","DIE ZEIT, Bundespost, Bundesregierung, Telekom, Anzeige, Bundestag, Helmut Müller, Post, Post, Berlin, München, Stuttgart","http://www.zeit.de/1990/08/auf-schwachen-posten"
"Markt-Report: Störfeuer aus London |","1990.8.187","1990-02-16","DIE ZEIT, Markt-Report, London, Margaret Thatcher, Aktie, Anleihe, Bundesanleihe, Börse, DDR, Gewinn, Premierminister, Steuer","http://www.zeit.de/1990/08/stoerfeuer-aus-london"
"DDR/Bundesrepublik: Der kleine Grenzverkehr |","1990.8.188","1990-02-16","DIE ZEIT, DDR/Bundesrepublik, D-Mark, DDR, Plauen, Alpen, Berlin","http://www.zeit.de/1990/08/der-kleine-grenzverkehr"
"Bank und Börse: Dollar im Griff |","1990.8.189","1990-02-16","DIE ZEIT, Bank und Börse, Dollar, Bank, Börse, Deutsche Bank, Aktie, DWS, Devisenmarkt, Fonds, Geldanlage, Investmentfonds, Vorwerk","http://www.zeit.de/1990/08/dollar-im-griff"
"Japan: Das große Geld wählt mit |","1990.8.190","1990-02-16","DIE ZEIT, Japan, Japan, Yasuhiro Nakasone, Geld, Noboru Takeshita, Helmut Becker, Ichiro Ozawa, Mehrwertsteuer, tTokyo, MIT","http://www.zeit.de/1990/08/das-grosse-geld-waehlt-mit"
"Bulgarien: Vor dem Kollaps |","1990.8.191","1990-02-16","DIE ZEIT, Bulgarien, Bulgarien, Kaufkraft, Kommunistische Partei, Landwirtschaft, Sofia","http://www.zeit.de/1990/08/vor-dem-kollaps"
"EG-Binnenmarkt: Ins Abseits geraten |","1990.8.192","1990-02-16","DIE ZEIT, EG-Binnenmarkt, Martin Bangemann, Binnenmarkt, DDR, Datenschutz, Island, Polizei, Belgien, Brüssel, Europa, Finnland, Norwegen, Osteuropa","http://www.zeit.de/1990/08/ins-abseits-geraten"
"Bernhard Blohm:: Testfall für Europa |","1990.8.193","1990-02-16","DIE ZEIT, Bernhard Blohm:, Europa, Bundesregierung, Karl Otto Pöhl, Deutsche Bundesbank, Helmut Kohl, Theo Waigel, Bundeswirtschaftsminister, Claus Köhler, D-Mark, DDR, Europäische Gemeinschaft, Europäische Währungsunion, Währungspolitik, Berlin","http://www.zeit.de/1990/08/testfall-fuer-europa"
"Pay-TV: Abgeschottet |","1990.8.194","1990-02-16","DIE ZEIT, Pay-TV, Leo Kirch, Gewinn, Paytv","http://www.zeit.de/1990/08/abeschottet"
"Wall Street: Im Schrott versunken |","1990.8.195","1990-02-16","DIE ZEIT, Wall Street, Justizministerium, Arbeitgeber, Börsenmakler, Dollar, Finanzmarkt, Firmenübernahme, Strafe, Unternehmen, USA, Wall Street","http://www.zeit.de/1990/08/im-schrott-versunken"
"Aufmarsch der Enterbten |","1990.8.196","1990-02-16","DIE ZEIT, , Helmut Kohl, Hans Modrow, Bodenreform, DDR, Eigentum, Chemnitz, Halle an der Saale, Sachsen","http://www.zeit.de/1990/08/aufmarsch-der-enterbten"
"Wenn ein Richter sich verrechnet |","1990.8.197","1990-02-16","DIE ZEIT, , Richter, Gericht, Justiz, Rechtsanwalt, Unterhalt","http://www.zeit.de/1990/08/wenn-ein-richter-sich-verrechnet"
"Argentinien: Flug ohne Fallschirm |","1990.8.198","1990-02-16","DIE ZEIT, Argentinien, Carlos Menem, Argentinien, IHK, Dollar, Inflation, Wechselkurs, Uruguay, Buenos Aires","http://www.zeit.de/1990/08/flug-ohne-fallschirm"
