"title","number","date","keywords","link"
"Macht zum eigenen Vorteil |","1991.38.2817","1991-09-13","DIE ZEIT, , CDU, SPD, FDP, Grüne, Altersversorgung, Ehrenamt, Justizsenator, Verfassungsänderung, Hamburg, Hessen","http://www.zeit.de/1991/38/macht-zum-eigenen-vorteil"
"Energiesparen: Weniger bringt mehr |","1991.38.2842","1991-09-13","DIE ZEIT, Energiesparen, RWE, Aprilscherz, Energiesparen, USA, Iowa, Kalifornien","http://www.zeit.de/1991/38/weniger-bringt-mehr"
"Kampf um Kalorien |","1991.38.2843","1991-09-13","DIE ZEIT, , Bundesliga, CDU, Fußball, FC Schalke 04, Erzbischof, Lucius D. Clay, Oberbürgermeister, Kalorien, Bayern, Hessen, Köln, Leipzig, München, Washington D.C","http://www.zeit.de/1991/38/kampf-um-kalorien"
"Treuhandanstalt: Zwischen Baum und Borke |","1991.38.2844","1991-09-13","DIE ZEIT, Treuhandanstalt, Erich Honecker, Günter Mittag, Walter Ulbricht, CDU, SED, Hans Modrow, DDR, Ostdeutschland, Israel, Treuhandanstalt, Berlin, Schönefeld","http://www.zeit.de/1991/38/zwischen-baum-und-borke"
"Nur wenige Spitzenmanager haben so viel Einfluß wie der Chef der Allianz – eine Bilanz nach zwanzig Jahren: „Wir sind von Haus aus bescheiden“ |","1991.38.2845","1991-09-13","DIE ZEIT, Nur wenige Spitzenmanager haben so viel Einfluß wie der Chef der Allianz – eine Bilanz nach zwanzig Jahren, Wolfgang Schieren, Commerzbank, Dresdner Bank, Allianz, Henning Schulte-Noelle, Bayer AG, Aufsichtsrat, DDR, Hamburg-Mannheimer, Linde, Übernahme, Chef, USA, Europa","http://www.zeit.de/1991/38/wir-sind-von-haus-aus-bescheiden"
"Neue Bundesländer: Verbautes Wunder |","1991.38.2846","1991-09-13","DIE ZEIT, Neue Bundesländer, Günther Krause, Kajo Schommer, Wunder, Walter Ulbricht, Autobahn, Bundesrat, DDR, Gelsenkirchen, Straßenbau, Bundesländer, Kanada, Neue Bundesländer, Sowjetunion, Bautzen, Berlin, Dresden","http://www.zeit.de/1991/38/verbautes-wunder"
"Weltwirtschaft: Von Fernost nach Mexiko |","1991.38.2847","1991-09-13","DIE ZEIT, Weltwirtschaft, Mexiko, George W.  Bush, Europäische Gemeinschaft, Export, Fernost, Freihandel, Freihandelsabkommen, Handel, Produktivität, Qualität, Brasilien, Kanada, Portugal, Spanien, USA, Asien, Europa, Mittelamerika, Nordamerika, Washington D.C., Westeuropa","http://www.zeit.de/1991/38/von-fernost-nach-mexiko"
"Jenseits aller Theorien |","1991.38.2848","1991-09-13","DIE ZEIT, , China, Shanghai, Taiwan, Peking","http://www.zeit.de/1991/38/jenseits-aller-theorien"
"Börsenspiel: Riskanter Rettungsversuch |","1991.38.2849","1991-09-13","DIE ZEIT, Börsenspiel, Aktie, Dollar, Management, Moskau, New York","http://www.zeit.de/1991/38/riskanter-rettungsversuch"
"Ob Zigaretten, T-Shirts oder Kaviar, an den ostdeutschen Grenzen blüht der Schmuggel. Abhilfe ist nicht in Sicht.: Marlboro, Marki und Mafiosi |","1991.38.2850","1991-09-13","DIE ZEIT, Ob Zigaretten, T-Shirts oder Kaviar, an den ostdeutschen Grenzen blüht der Schmuggel. Abhilfe ist nicht in Sicht., Bundesfinanzministerium, Polen, DDR, Marlboro, Oder, Sowjetunion, Vietnam, Berlin, Brandenburg, Rotterdam, Sachsen, Südostasien","http://www.zeit.de/1991/38/marlboro-marki-und-mafiosi"
"Die Rache der Natur |","1991.38.2851","1991-09-13","DIE ZEIT, , Natur, Jean Bertrand Aristide, Haiti, Fruchtbarkeit, Johannes Paul II., Lateinamerika, Frankreich, Hongkong, Port-au-Prince, Afrika, Paris, Santo Domingo, Washington D.C","http://www.zeit.de/1991/38/die-rache-der-natur"
