"title","number","date","keywords","link"
"Wolfgang Ebert: Ein Quiz zur Währungskrise |","1992.40.4545","1992-09-25","DIE ZEIT, Wolfgang Ebert, Deutsche Bundesbank, Herz, Orkan, Premierminister, Quiz, Stadt, Vertrag, Weltkrieg, England, Wolfgang Ebert, Maastricht","http://www.zeit.de/1992/40/ein-quiz-zur-waehrungskrise"
"Opec: Ohne Macht |","1992.40.4556","1992-09-25","DIE ZEIT, Opec, Opec, Hysterie, Ölpreis, Ecuador","http://www.zeit.de/1992/40/ohne-macht"
"Video: Kleine Flucht |","1992.40.4557","1992-09-25","DIE ZEIT, Video, Arnold Schwarzenegger, Abenteuer, Alltag, DHL, Kevin Costner, Kino, Republik, Robin Hood, Video","http://www.zeit.de/1992/40/kleine-flucht"
" Anleihen mit Rendite-Stripping: Die steuerliche Behandlung ist noch ungeklärt: Alternative Altersvorsorge |","1992.40.4558","1992-09-25","DIE ZEIT,  Anleihen mit Rendite-Stripping: Die steuerliche Behandlung ist noch ungeklärt, Altersvorsorge, Rendite, MIT","http://www.zeit.de/1992/40/alternative-altersvorsorge"
"Bonner Kulisse |","1992.40.4559","1992-09-25","DIE ZEIT, , Theo Waigel, Bundesbank, CDU, Gerhard Stoltenberg, SPD, Wolfgang Schäuble, Manfred Wörner, Volker Rühe, Bundesgerichtshof, Reichsbahn, Bonn","http://www.zeit.de/1992/40/bonner-kulisse"
"Automobilbau: Mit seinem neuen Werk in Thüringen will Opel die Konkurrenz das Fürchten lehren: Revolution im Osten |","1992.40.4560","1992-09-25","DIE ZEIT, Automobilbau: Mit seinem neuen Werk in Thüringen will Opel die Konkurrenz das Fürchten lehren, Revolution, Opel, Thüringen, General Motors, DDR, Japan, MIT, Eisenach, Rüsselsheim","http://www.zeit.de/1992/40/revolution-im-osten"
"Schweden: Eine Radikalkur soll die Krone schützen: Teures Wochenende |","1992.40.4561","1992-09-25","DIE ZEIT, Schweden: Eine Radikalkur soll die Krone schützen, Carl Bildt, Ingvar Carlsson, Schweden, Kredit, Olof Palme, Großbritannien, Italien, Maastricht","http://www.zeit.de/1992/40/teures-wochenende"
"Gesundheitsreform: Die Regierung will die Krankenkassen entlasten, die Ärzte wehren sich. Ein Streitgespräch zwischen Gesundheitsminister Horst Seehofer (CSU) und dem Vorsitzenden der Kassenärztlichen Bundesvereinigung, Ulrich Oesingmann: „Der Zug fährt an die Wand“ |","1992.40.4562","1992-09-25","DIE ZEIT, Gesundheitsreform: Die Regierung will die Krankenkassen entlasten, die Ärzte wehren sich. Ein Streitgespräch zwischen Gesundheitsminister Horst Seehofer (CSU) und dem Vorsitzenden der Kassenärztlichen Bundesvereinigung, Ulrich Oesingmann, Horst Seehofer, SPD, CSU, Regierung, CDU, FDP, Gesundheitsminister, Norbert Blüm, Rudolf Dreßler, Allianz, Arzt, Bundesgesundheitsamt, Bundesrat, Gesundheitsreform, Krankenkasse, Medikament, Arzt","http://www.zeit.de/1992/40/der-zug-faehrt-an-die-wand"
"Wie weiter nach dem Ja der Franzosen zum Vertrag von Maastricht? Fünf europäische Spitzenmanager nehmen Stellung: „Den Bürgern die Angst nehmen“ |","1992.40.4563","1992-09-25","DIE ZEIT, Wie weiter nach dem Ja der Franzosen zum Vertrag von Maastricht? Fünf europäische Spitzenmanager nehmen Stellung, Vertrag, Ford, Daimler Benz AG, Europäische Zentralbank, Frankreich, Industriepolitik, Dänemark, Italien, Europa, Maastricht, Balkan, Brüssel","http://www.zeit.de/1992/40/den-buergern-die-angst-nehmen"
"Großbritannien: Austritt aus dem EWS schlägt auf John Major zurück: Neue Töne an der Themse |","1992.40.4564","1992-09-25","DIE ZEIT, Großbritannien: Austritt aus dem EWS schlägt auf John Major zurück, Margaret Thatcher, Bundesbank, John Major, Großbritannien, Independent, Leitzins, Rezession, Währung, Themse, London, Europa","http://www.zeit.de/1992/40/neue-toene-an-der-themse"
"Bis 1994 sollen die Tarifeinkommen Ostdeutschlands Westniveau erreichen – ein Ziel, das immer mehr in Zweifel gezogen wird: Sind die Löhne schuld? |","1992.40.4565","1992-09-25","DIE ZEIT, Bis 1994 sollen die Tarifeinkommen Ostdeutschlands Westniveau erreichen – ein Ziel, das immer mehr in Zweifel gezogen wird, Franz Steinkühler, Kurt Biedenkopf, IG Metall, Klaus Murmann, Eberhard Diepgen, DDR, Gehalt, Ostdeutschland, Tarifvertrag, Währungsunion, Berkeley, Berlin","http://www.zeit.de/1992/40/sind-die-loehne-schuld"
"Rhein-Main-Donau-Kanal: Die 4,7 Milliarden Mark teure Betonrinne ist fertig – und überflüssig: Die langsame Abkürzung |","1992.40.4566","1992-09-25","DIE ZEIT, Rhein-Main-Donau-Kanal: Die 4,7 Milliarden Mark teure Betonrinne ist fertig – und überflüssig, CSU, Franz Josef Strauß, Helmut Schmidt, SPD, Karl der Große, Wasserstraße, Bayern, Donau, Altmühltal, Europa, Gibraltar, Rotterdam, Schwarzes Meer","http://www.zeit.de/1992/40/die-langsame-abkuerzung"
"Italien: Zerstörte Illusionen nach der Abwertung: Roms Untergang |","1992.40.4567","1992-09-25","DIE ZEIT, Italien: Zerstörte Illusionen nach der Abwertung, Giuliano Amato, Bundesbank, Devisenmarkt, Finanzmarkt, Italien, Staatsanleihe, Staatsdefizit, Währung, Europa, Rom","http://www.zeit.de/1992/40/roms-untergang"
"Markt-Report: Noch voller Unruhe |","1992.40.4568","1992-09-25","DIE ZEIT, Markt-Report, Bundesbank, Recht, Aktie, Aktienmarkt, Anleihe, Autoindustrie, Bank, Export, Gewinn, Industrie, Hoffnung","http://www.zeit.de/1992/40/noch-voller-unruhe"
