"title","number","date","keywords","link"
"Frech werden die jetzt |","1990.38.1108","1990-09-14","DIE ZEIT","http://www.zeit.de/1990/38/frech-werden-die-jetzt"
"Nach der Vereinigung der beiden deutschen Staaten soll auch das Verhältnis zwischen Bund und Ländern neu justiert werden. So sieht es der Einigungsvertrag vor. Wie wird sich der Bundesstaat im neuen Einheitsstaat bewähren?: Zwischen Baum und Borke |","1990.38.1119","1990-09-14","DIE ZEIT, Nach der Vereinigung der beiden deutschen Staaten soll auch das Verhältnis zwischen Bund und Ländern neu justiert werden. So sieht es der Einigungsvertrag vor. Wie wird sich der Bundesstaat im neuen Einheitsstaat bewähren?, Bundesregierung, Helmut Kohl, Europäische Gemeinschaft, Binnenmarkt, Bundesrat, DDR, Entwicklungspolitik, Föderalismus, Landespolitik, Saarland, Schleswig-Holstein, Berlin, Bonn, Bremen, Brüssel, Niedersachsen, Rheinland-Pfalz","http://www.zeit.de/1990/38/zwischen-baum-und-borke"
"Zeitspiegel |","1990.38.1120","1990-09-14","DIE ZEIT, , Coca-Cola, DDR, Fernstudium, Flüchtlingslager, Staatssymbol, Werbekampagne, Saudi Arabien, Vietnam, Bonn, Breslau, Äthiopien","http://www.zeit.de/1990/38/zeitspiegel"
"Kurzportrait: Konrad Porzner: Sporen verdient |","1990.38.1121","1990-09-14","DIE ZEIT, Kurzportrait: Konrad Porzner, Konrad Porzner, Bundesfinanzministerium, Helmut Kohl, Helmut Schmidt, Bundesnachrichtendienst, Agent, Bundesamt für Verfassungsschutz, Bundeskanzler, Bundeswehr, DDR, Hans-Georg Wieck, Innenminister, Opposition, Peter-Michael Diestel, Staatssekretär, Wiedervereinigung, Bonn, Ost-Berlin","http://www.zeit.de/1990/38/sporen-verdient"
"Margaret Thatchers Außenminister: Ein Profi am richtigen Platz |","1990.38.1122","1990-09-14","DIE ZEIT, Margaret Thatchers Außenminister, Margaret Thatcher, Außenminister, Hans-Dietrich Genscher, Saddam Hussein, Edward Heath, Diplomat, Douglas, Großbritannien, Kabinett, Vereinte Nationen, Regierungschef, Cambridge, Kuwait","http://www.zeit.de/1990/38/ein-profi-am-richtigen-platz"
"Parlamentarier aus der DDR: Vorhut im Wasserwerk |","1990.38.1123","1990-09-14","DIE ZEIT, Parlamentarier aus der DDR, DDR, CDU, Lothar de Maizière , Markus Meckel, Regine Hildebrandt, Richard Schröder, SPD, Bundestag, Christian Wernicke, Europaparlament, Günther Krause, PDS, Stephan Hilsberg, Volkskammer, Bonn, Ost-Berlin","http://www.zeit.de/1990/38/vorhut-im-wasserwerk"
"Die geteilte Metropole wächst zusammen: Vereinte Stadt mit Doppelkopf |","1990.38.1124","1990-09-14","DIE ZEIT, Die geteilte Metropole wächst zusammen, Stadt, Dieter Schröder, CDU, FDP, SPD, Walter Momper, Abgeordnetenhaus, Arbeitsgericht, DDR, Berlin, MIT, Ost-Berlin","http://www.zeit.de/1990/38/vereinte-stadt-mit-doppelkopf"
"Nichts gewonnen, viel zerronnen |","1990.38.1125","1990-09-14","DIE ZEIT, , Deutsche Bank, Verlust, Frankfurt (Oder","http://www.zeit.de/1990/38/nichts-gewonnen-viel-zerronnen"
"Erdöl: Krach unter den Kartellbrüdern |","1990.38.1126","1990-09-14","DIE ZEIT, Erdöl, Saddam Hussein, Bundesregierung, Erdöl, Opec, Benzinpreis, Dollar, Irak, Royal Dutch Shell, Saudi Arabien, Gabun, Iran, Libyen, Nigeria, Vereinigte Arabische Emirate, Kuwait, Abu Dhabi, Ecuador, Westeuropa","http://www.zeit.de/1990/38/krach-unter-den-kartellbruedern"
"Bonner Kulisse |","1990.38.1127","1990-09-14","DIE ZEIT, , Friedrich Bohl, Theo Waigel, CDU, CSU, Hans-Jochen Vogel, Norbert Gansel, SPD, Bonner Finanzministerium, DDR, Untersuchungsausschuss, Ost-Berlin, Südafrika, Bonn","http://www.zeit.de/1990/38/bonner-kulisse"
"Auf den Kopf gestellt |","1990.38.1128","1990-09-14","DIE ZEIT, , Bundeskartellamt, DDR, Konsum, VdK, Berlin, Baden-Württemberg, Bayern, Bielefeld","http://www.zeit.de/1990/38/auf-den-kopf-gestellt"
"Daimler/Mitsubishi: Werben um ein Phantom |","1990.38.1129","1990-09-14","DIE ZEIT, Daimler/Mitsubishi, Edzard Reuter, Mercedes-Benz, DDR, Helmut Becker, tTokyo, Singapur, Asien, Stuttgart, Washington D.C","http://www.zeit.de/1990/38/werben-um-ein-phantom"
"Zeitliches aus der DDR: Schon wieder eine Ausnahme |","1990.38.1130","1990-09-14","DIE ZEIT, Zeitliches aus der DDR, DDR, Anzeige, Auto, Autobahn, Deutsche Post, Deutsches Institut für Wirtschaftsforschung, Flut, Gebühr, Sanierung, Strafe, Berlin, Ost-Berlin","http://www.zeit.de/1990/38/schon-wieder-eine-ausnahme"
"Die Wende bleibt aus |","1990.38.1131","1990-09-14","DIE ZEIT, , Mannesmann, Aktie, Anleihe, Börse, Linde, Ankara, Helsinki","http://www.zeit.de/1990/38/die-wende-bleibt-aus"
"Kosten der Einheit: Bürger zur Kasse |","1990.38.1132","1990-09-14","DIE ZEIT, Kosten der Einheit, Bundesregierung, Anleihe, DDR, Kapitalmarkt, Universität Bremen, Wertpapierhandel, Bonn","http://www.zeit.de/1990/38/buerger-zur-kasse"
"Golfkrise: Fluch und Segen |","1990.38.1133","1990-09-14","DIE ZEIT, Golfkrise, Bevölkerung, Ägypten, Dollar, Geld, Import, Produktion, Umstrukturierung, Weizen, Argentinien, Brasilien, Irak, Iran, Japan, Jordanien, Kuwait, Mexiko, Sri Lanka, Nil, Europa, Kairo","http://www.zeit.de/1990/38/fluch-und-segen"
"Bundeswehr: Aufrüstung für die Industrie |","1990.38.1134","1990-09-14","DIE ZEIT, Bundeswehr, Industrie, Hans-Dietrich Genscher, Bundeswehr, Aufrüstung, Erich Riedl, Helmut Kohl, Bundeswirtschaftsministerium, Abrüstung, Frankreich, MBB, Irak, Italien, Niederlande, USA, Bonn, Europa","http://www.zeit.de/1990/38/aufruestung-fuer-die-industrie"
"Thomas Hanke:: Pöhl bremst, Waigel lenkt |","1990.38.1135","1990-09-14","DIE ZEIT, Thomas Hanke:, Theo Waigel, Karl Otto Pöhl, Bundesbank, Margaret Thatcher, Jacques Delors, Bundesfinanzminister, Europäische Währungsunion, Finanzpolitik, Geldpolitik, Guido Carli, Wechselkurs, Währung, Großbritannien, Theo Waigel, Rom, Bonn","http://www.zeit.de/1990/38/poehl-bremst-waigel-lenkt"
"Zu hoch gepokert |","1990.38.1136","1990-09-14","DIE ZEIT, , Theo Waigel, Bundesbank, Bundesregierung, Finanzministerium, Anleihe, Bank, Bumerang, Bundesanleihe, Bundesfinanzminister, DDR, Darlehen, Finanzminister, Fonds, Geld, Kapitalmarkt, Rendite, Ölpreis, Bonn","http://www.zeit.de/1990/38/zu-hoch-gepokert"
"Die deutsche Einheit verschärft den alten Abgrenzungsstreit zwischen den Gewerkschaften: Risse in der Solidarität |","1990.38.1137","1990-09-14","DIE ZEIT, Die deutsche Einheit verschärft den alten Abgrenzungsstreit zwischen den Gewerkschaften, Solidarität, DGB, IG Metall, Monika Wulf-Mathies, DDR","http://www.zeit.de/1990/38/risse-in-der-solidaritaet"
