"title","number","date","keywords","link"
"Wenn das Wunder zum Alltag wird |","1991.46.3095","1991-11-08","DIE ZEIT","http://www.zeit.de/1991/46/wenn-das-wunder-zum-alltag-wird"
"Weltbühne: Geburtstag in Kalkutta |","1991.46.3109","1991-11-08","DIE ZEIT, Weltbühne, Idol, Indien, Jahrestag, Kolkata, Kapitalismus, Karl Popper, Proletariat, Putsch, Sozialismus, Wladimir Iljitsch Lenin, Sowjetunion, Kolkata, Moskau","http://www.zeit.de/1991/46/geburtstag-in-kalkutta"
"Das Schattenreich schlägt zurück |","1991.46.3110","1991-11-08","DIE ZEIT, , Michail Gorbatschow, Boris Jelzin, Walentin Falin, Grigori Jawlinski, Putsch, Sowjetunion, Madrid, Bonn","http://www.zeit.de/1991/46/das-schattenreich-schlaegt-zurueckt"
"Krieg um den Frieden |","1991.46.3111","1991-11-08","DIE ZEIT, , Krieg, George W.  Bush, Izchak Schamir, Frieden, James Baker, Saddam Hussein, Israel, Vereinte Nationen, Außenminister, Syrien, Madrid, Sowjetunion, Damaskus, Washington D.C., Südlibanon","http://www.zeit.de/1991/46/krieg-um-den-frieden"
"Nachlese: Imelda Marcos’ Rückkehr: Krieg der Witwen |","1991.46.3112","1991-11-08","DIE ZEIT, Nachlese: Imelda Marcos’ Rückkehr, Krieg, Betrug, Champagner, Dollar, Exil, Gericht, Korruption, Drohung, Flughafen, Gefängnis, Philippinen, Hawaii, Manila","http://www.zeit.de/1991/46/krieg-der-witwen"
"Das Erbe des Diktators Mobutu: Hilferuf der Hoffnungslosen |","1991.46.3113","1991-11-08","DIE ZEIT, Das Erbe des Diktators Mobutu, Ausländer, Bundesdruckerei, Evakuierung, Maut, Mobutu Sese Seko, Soldat, Belgien, Erbe, Kinshasa, Europa, München","http://www.zeit.de/1991/46/hilferuf-der-hoffnungslosen"
"Wahlen in Wien: Rückkehr des Verfemten |","1991.46.3114","1991-11-08","DIE ZEIT, Wahlen in Wien, Jörg Haider, Wien, Franz Vranitzky, Claus Peymann, Grüne, ÖVP, Peter Turrini, FPÖ, Kanzleramt, Vizekanzler, Österreich, Kärnten","http://www.zeit.de/1991/46/rueckkehr-des-verfemten"
"Das Elend der Liberalen |","1991.46.3115","1991-11-08","DIE ZEIT, , Otto Graf Lambsdorff, Ralf Dahrendorf, FDP, Hans-Dietrich Genscher, Burkhard Hirsch, Hildegard Hamm-Brücher, Wolfgang Kubicki, Liberalismus, Osteuropa, Europa, Freiburg, Prag","http://www.zeit.de/1991/46/das-elend-der-liberalen"
"Heinz-Günter Kemmer:: Kompromiß nach bewährter Art |","1991.46.3116","1991-11-08","DIE ZEIT, Heinz-Günter Kemmer:, Helmut Kohl, Jürgen Möllemann, CDU, Norbert Blüm, Bundeswirtschaftsminister, Energiepolitik, Energieversorgung, Hoesch, Personalabbau, Ruhrkohle, Nordrhein-Westfalen, Saar, Saarland","http://www.zeit.de/1991/46/kompromiss-nach-bewaehrter-art"
"Deal mit dem Obdach |","1991.46.3117","1991-11-08","DIE ZEIT, , Aussiedler, Manfred Rommel, Obdachlose, Obdachlosigkeit, Wahl, Wohnungsbau, MIT, Hamburg, Köln","http://www.zeit.de/1991/46/deal-mit-dem-obdach"
"Medien: Guthaben oder Gutsein |","1991.46.3118","1991-11-08","DIE ZEIT, Medien, Medien, Bauchtanz, Oder, Zeitung","http://www.zeit.de/1991/46/guthaben-oder-gutsein"
"Illusion vom schönen Leben |","1991.46.3119","1991-11-08","DIE ZEIT, , Boris Jelzin, Hilmar Kopper, Alexander Jakowlew, Dollar, KGB, Putsch, Rubel, Russland, Sowjetunion, Brasilien, Elfenbeinküste, USA, Ukraine, Moskau","http://www.zeit.de/1991/46/illusion-vom-schoenen-leben"
"Bonner Kulisse |","1991.46.3120","1991-11-08","DIE ZEIT, , Otto Graf Lambsdorff, Günther Krause, Edelgard Bulmahn, Bundesregierung, Friedrich Zimmermann, Hans-Jochen Vogel, Rita Süssmuth, Güterverkehr, Hermes, PKW, Raumfähre, Verkehrsminister, München","http://www.zeit.de/1991/46/bonner-kulisse"
"Währungsunion: Als der Rubel rollte |","1991.46.3121","1991-11-08","DIE ZEIT, Währungsunion, Bundesfinanzministerium, Klaus Steilmann, Währungsunion, DDR, Rubel, Sowjetunion, Bonn, Moskau, Berlin, Bochum","http://www.zeit.de/1991/46/als-der-rubel-rollte"
"Eliten in Ostdeutschland: Alte Kader für die neue Zeit |","1991.46.3122","1991-11-08","DIE ZEIT, Eliten in Ostdeutschland, Alte, Ostdeutschland, Karl Marx, SED, SPD, Allianz, DDR, Humboldt-Universität, Haiti, Polen, Tschechoslowakei, Ost-Berlin","http://www.zeit.de/1991/46/alte-kader-fuer-die-neue-zeit"
"Stößt der Sozialstaat an seine Grenzen? Ist er noch zu finanzieren? Eine alte Debatte flammt in vielen westeuropäischen Ländern wieder auf – auch in der Bundesrepublik. Besonders kraß ist das Fallbeispiel Holland.: Ein Volk von Invaliden |","1991.46.3123","1991-11-08","DIE ZEIT, Stößt der Sozialstaat an seine Grenzen? Ist er noch zu finanzieren? Eine alte Debatte flammt in vielen westeuropäischen Ländern wieder auf – auch in der Bundesrepublik. Besonders kraß ist das Fallbeispiel Holland., Ruud Lubbers, Alte, Debatte, Sozialstaat, Wim Kok, Europäische Gemeinschaft, Arbeitnehmer, Arbeitslosenquote, Aussteiger, Missbrauch, Niederlande, Sozialversicherung, Wohlfahrtsstaat, Dänemark, Europa, Halberstadt","http://www.zeit.de/1991/46/ein-volk-von-invaliden"
"Wirtschaftsbuch: Trotzige Vision |","1991.46.3124","1991-11-08","DIE ZEIT, Wirtschaftsbuch, Geisteswissenschaft, Campus Verlag, Ethnologie, Führungskraft, Tyll Necker, Bundesrepublik Deutschland, Köln","http://www.zeit.de/1991/46/trotzige-vision"
"Risiko auf Knopfdruck |","1991.46.3125","1991-11-08","DIE ZEIT, , Computer, Kochrezept, Software, Wirtschaftspresse, München, New York, Philadelphia","http://www.zeit.de/1991/46/risiko-auf-knopfdruck"
"Gesundheitswesen: Die geliehenen Leiden |","1991.46.3126","1991-11-08","DIE ZEIT, Gesundheitswesen, Gesundheitswesen, AOK, Debeka, Friedhelm Farthmann, Bonn, Dortmund, Köln","http://www.zeit.de/1991/46/die-geliehenen-leiden"
"Subventionen: Trübes Bild |","1991.46.3127","1991-11-08","DIE ZEIT, Subventionen, Bergbau, Botschaft, Bruttoinlandsprodukt, Buch, Landwirtschaft, Zeitung, Subventionen, Berlin","http://www.zeit.de/1991/46/truebes-bild"
"Am 9. November 1989 fiel die Berliner Mauer. Die Vereinigung ist der tiefste Einschnitt in der Wirtschaftsgeschichte der Nachkriegszeit – eine Zwischenbilanz nach zwei Jahren.: Der ewige Ost-West-Konflikt |","1991.46.3128","1991-11-08","DIE ZEIT, Am 9. November 1989 fiel die Berliner Mauer. Die Vereinigung ist der tiefste Einschnitt in der Wirtschaftsgeschichte der Nachkriegszeit – eine Zwischenbilanz nach zwei Jahren., Bundesbank, Bundesregierung, DDR, Direktinvestition, Ostdeutschland, Sanierung, Währungsunion, Bundesrepublik Deutschland, Italien, Sowjetunion, Osteuropa, Westeuropa, Berlin, Sachsen","http://www.zeit.de/1991/46/der-ewige-ost-west-konflikt"
"Vorhut am Rhein |","1991.46.3129","1991-11-08","DIE ZEIT, , Franz Josef Strauß, Gerhard Stoltenberg, Rhein, Preussag, Verteidigungsministerium, Blohm + Voss, Rüstungsindustrie, U-Boot, Bonn","http://www.zeit.de/1991/46/vorhut-am-rhein"
"Rudolf Engen: Spiele für Erwachsene |","1991.46.3130","1991-11-08","DIE ZEIT, Rudolf Engen, Helmut Schmidt, EMMA, Atomkraft, Ausbrecher, Bunker, Geiselnahme, Glücksspiel, Markus Wolf, Spionage, Stasi, Vermarktung, Überwachung, Erwachsene, Tschernobyl","http://www.zeit.de/1991/46/spiele-fuer-erwachsene"
"Chemie-Unfälle: Männer mit weißer Weste |","1991.46.3131","1991-11-08","DIE ZEIT, Chemie-Unfälle, Sandoz, Strafrecht, MIT, Zürich, Basel","http://www.zeit.de/1991/46/maenner-mit-weisser-weste"
"Zieht die Drähte zwischen den Ministerien: Staatssekretär Erich Riedl: Stets zu Diensten |","1991.46.3132","1991-11-08","DIE ZEIT, Zieht die Drähte zwischen den Ministerien: Staatssekretär Erich Riedl, Airbus, FDP, Erich Riedl, Franz Josef Strauß, Bayer AG, Bundeswehr, Bundeswirtschaftsminister, Helmut Haussmann, Kartellamt, MBB, Raumfahrtindustrie, Staatssekretär, Bayern, Bonn, München","http://www.zeit.de/1991/46/stets-zu-diensten"
"Markt-Report: Immer noch seitwärts |","1991.46.3133","1991-11-08","DIE ZEIT, Markt-Report, Ausländer, Aktienmarkt, Börse, Dollar, Gewinn, Olympia, Umsatz","http://www.zeit.de/1991/46/immer-noch-seitwaerts"
"Die Geldmaschine |","1991.46.3134","1991-11-08","DIE ZEIT, , George W.  Bush, Carl Icahn, Dollar, Gebühr, USA, Europa, New York, Washington D.C","http://www.zeit.de/1991/46/die-geldmaschine"
"Australien: Falscher Freund |","1991.46.3135","1991-11-08","DIE ZEIT, Australien, Australien, Arbeitszeit, Großbritannien, Israel, Kanada, Canberra, Europa, Melbourne, Oxford","http://www.zeit.de/1991/46/falscher-freund"
"Bankgebühren: Starkes Stück |","1991.46.3136","1991-11-08","DIE ZEIT, Bankgebühren, Dresdner Bank, Aktie, Anleihe, Börse, Fonds, Investmentfonds, Otto, Service, Sparkasse, Vermögen, Wertpapierhandel","http://www.zeit.de/1991/46/starkes-stueck"
