"","Artikeln.Nr.","Link","Erscheinungsjahr","Erscheinungsnr.","Medium","Titel","Autor","Abschnitt.Nr.","Zeitbezug","Land","Region","Thematische.Bewertung","Bewertung","Kommentare"
"11",2,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",4,"Vergangenheit, Gegenwart","Deutschland","-","?bernahme Postbank geht vorw?rts, Post, Deutsche Bank, KfW",1,""
"12",2,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",5,"Zukunft","Deutschland","-","Beidseitiger Aktientausch, Anteilsscheine",0,""
"13",2,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",6,"Gegenwart","Deutschland","-","Barwert, Transaktion",0,""
"14",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",1,"Gegenwart, Zukunft","Deutschland","-","gute Stimmung, steigende Wachstumsprognosen, Bundeskanzlerin, Kabinett, Arbeitspl?tze",2,"?berschriften Teil des Abschnittes?"
"15",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",2,"Gegenwart, Vergangenheit","Welt","-","Fuõballweltmeisterschaft ein Fest, erschreckend hohe Arbeitslosigkeit, einfache Weisheit, Freiheit, Wachstum, Arbeit, Sozalismus, Brecht, Kapitalismus",0,"Ich schreibe Welt als Land bei allgemeing?ltigen Kommentaren"
"16",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",3,"Vergangenheit","Italien","Florenz","?ltere ?konomie, G?ter nicht beliebig vermehrbar, Sparsamkeit, Kontrolle",-1,"Ort durch Person? 'Florentiner Kaufmann', eigentlich eine nicht ortsgebundene philosophische Diskussion"
"17",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",4,"Vergangenheit","Welt","-","Illusion grenzenloser Vermehrbarkeit, ver?nderter Wirtschaftshabitus",0,""
"18",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",5,"Vergangenheit","Welt","-","Einzelinteresse zu Gemeinwohl, moralischer Mensch erzeugt Wachstum",1,"Eure Anweisungen zielen sehr auf Situationsbeschreibungen ab, dieser Artikel ist philosophisch..."
"19",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",6,"Vergangenheit","Welt","-","?ltere moralische ?konomie wird zu autonome ?konomie, unendliche Zirkulation, ohne Wachstum kein Kapitalismus",-1,""
"20",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",7,"Vergangenheit","Welt","-","Gesetz der energetischen Sparsamkeit, Produktivit?tssteigerung = Wachstum, Wachstum kann arm machen",-1,""
"21",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",8,"Vergangenheit","Welt","-","Zusammenhang Wachstum Arbeitspl?tze warscheinlich",0,"eigentlich ist die 'Vergangenheit' hier zeitlos. Der Autor fasst historische Werte zusammen, aber impliziert ihre Anwendung bzw G?ltigkeit heute"
"22",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",9,"Vergangenheit","Welt","-","unbegrenztes Wachstum wird kritisiert, zur?ck zur Leidenschaft, Marx",1,""
"23",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",10,"Vergangenheit","Welt","-","Produktivit?tssteigerung, Veringerung der Produktionskosten, Nachhaltigkeit impliziert Selbstaskese",-1,"sp?testens hier steigen alle nicht-Gesellschaftswissenschaftler aus. Schwierig zu bewerten, wie die Stimmung f?r den Standardleser ohne Fachwissen ist. Der hat vmtl schon weggeklickt"
"24",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",11,"Vergangenheit","Welt","-","Wissen wird als Faktor wiederentdeckt, Wegbrechen traditioneller Arbeitsfelder, globale Arbeitskonkurrenz",-2,""
"25",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",12,"Vergangenheit, Gegenwart","Welt","-","Heuschrecken, steigende Gewinnmargen",-2,""
"26",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",13,"Vergangenheit","Welt","-","Anonymisierung durch B?rokratie",-2,""
"27",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",14,"Vergangenheit","Welt","-","neuer Lebensstil Managerklasse, Mafia, ausgepr?gte F?higkeit zur Selbstbedienung",-2,""
"28",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",15,"Gegenwart","Welt","-","zunehmende Virtualisierung der ?konomie, drohende ?bernahmen, Abbau von Arbeitspl?tzen",-3,""
"29",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",16,"Gegenwart","Welt","-","ohne Wachstum keine ?konomie, Wachstumsdynamik wendet sich 'vernichtend' gegen Arbeit",-1,""
"30",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",17,"Vergangenheit","Welt","-","Apell and alte Werte, Fleiõ, Disziplin etc, Sekund?rtugenden, prim?r Lohnverzicht",-3,"dieser Artikel eignet sich glaube ich nicht f?r das Projekt... Zuviel Ironie, Methaphern und zu abstrakt. Keine Zustandsbeschreibungen im Sinne von X sinkt oder Y steigt"
"31",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",18,"Gegenwart","USA","-","hochspezialisierte Bereiche wachsen, Vorbild USA",-2,""
"32",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",19,"Gegenwart","Welt","-","Defizite sozialer Infrastruktur nehmen zu",-3,""
"33",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",20,"Gegenwart, Zukunft","Deutschland","-","Zu hohe Staatsverschuldung, Reichtum f?r R?ckf?hurung parasit?rer Arbeit nutzen",0,""
"34",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",21,"Gegenwart, Zukunft","Welt","-","Sozialwissenschaften haben vorgedacht, Konditionen m?ssen ge?ndert werden, Handlungsanweisungen",1,""
"35",3,"http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true",2006,3,"Zeit","Immer mehr ist immer weniger","Achatz von M?ller",22,"Gegenwart, Zukunft","Deutschland","-","es braucht Regulierung, Freiheit der Schwachen sichern",1,"Bin mit meiner Leistung hier gar nicht zufrieden, der Artikel passt nicht ins Schema. Vor allem bei den Thematischen Bewertungen fehlen Kategorien f?r normative Forderungen oder Vorstellungen in den Anweisungen. Die Anweisungen sind f?r deskriptive Artikel ausgelegt..."
"36",4,"http://www.zeit.de/2006/06/Kolumne_06_neu",2006,6,"Zeit","Ende der Flitterwochen","Niejahr",1,"Gegenwart, Vergangenheit","Deutschland","-","neue Regierungen kriegen Startbonus, starke Regierung, schwache Opposition",2,"man br?uchte eine Zeitkategorie f?r allgemeine, eigentlich zeitlose, Behauptungen. "
"37",4,"http://www.zeit.de/2006/06/Kolumne_06_neu",2006,6,"Zeit","Ende der Flitterwochen","Niejahr",2,"Gegenwart, Vergangenheit, Zukunft","Deutschland","-","steigende Arbeitslosenzahlen, viele Fr?hverrentungen, kluge Regierung, Reformen wirken",0,""
"38",4,"http://www.zeit.de/2006/06/Kolumne_06_neu",2006,6,"Zeit","Ende der Flitterwochen","Niejahr",3,"Gegenwart, Vergangenheit","Deutschland","-","fehlendes Durchsetzungssignal, Wohlf?hl-Politik, Gefahr der Inaktivit?t",-1,""
"39",4,"http://www.zeit.de/2006/06/Kolumne_06_neu",2006,6,"Zeit","Ende der Flitterwochen","Niejahr",4,"Gegenwart","Deutschland","-","sinkender Reformwille, entfernung von Wahlkampfzielen, unklare Zielsetzung der Regierung",-1,"vielleicht bin ich zu frei in der Wortwahl bei der Thematischen Bewertung?"
"40",4,"http://www.zeit.de/2006/06/Kolumne_06_neu",2006,6,"Zeit","Ende der Flitterwochen","Niejahr",5,"Gegenwart","Deutschland","-","hohe Arbeitslosenzahlen,  Handlungsbedarf-Regierung",0,""
"41",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",1,"Gegenwart, Vergangenheit","Deutschland","-","Deutsche Bank verdient klotzig, h?lt Versprechen, zerrissen",2,"Es geht um die deutsche Bank, ein Ort ist nicht erw?hnt"
"42",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",2,"Gegenwart, Vergangenheit","Europa","-","Aufstieg, wurde f?hrend in Europa, Riss",2,""
"43",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",3,"Gegenwart","Deutschland","-","steigendes Imageproblem, starke MKU Gesch?fte",1,""
"44",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",4,"Gegenwart","Deutschland","-","Justizprobleme, emp?rte Kunden",0,""
"45",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",5,"Gegenwart, Vergangenheit","Deutschland, Welt","-","kurzfristige Erfolge, langfristige Ziellosigkeit, Umstrukturierung",1,"wieder sehr frei gew?hlte Worte in Thematischer Bewertung"
"46",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",6,"Gegenwart","Deutschland, Welt","-","lange Frist nicht formuliert, Deutsche Bank mutiert ungesteuert",-1,""
"47",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",7,"Gegenwart","Deutschland","-","missachtung deutscher Privatkunden, Riskierung Reputation, offene Fragen",-2,""
"48",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",8,"Gegenwart","Deutschland, Europa","-","Fehlinformationen Deutsche Bank, schwierige Marktsituation",-2,""
"49",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",9,"Vergangenheit","Australien, Deutschland","Frankfurt, Hessen, Berlin","steigende Mieten, Fehlinformationen durch Deutsche Bank ",-2,""
"50",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",10,"Gegenwart","Australien, Deutschland","-","Betrug",-2,""
"51",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",11,"Zukunft","Deutschland","-","Groõe Entt?uschung",-3,""
"52",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",12,"Zukunft","Deutschland","-","Traum von Zerschlagung",0,""
"53",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",13,"Zukunft","Welt","-","Trennung von Privatkunden und Investmentgesch?ft",0,""
"54",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",14,"Zukunft","Deutschland","-","m?glich steigendes Vertrauen, m?glich profitabel f?r Kunden",2,"generell ist der Konjunktiv schwierig"
"55",5,"http://www.zeit.de/2006/06/Argument_06-neu",2006,6,"Zeit","Das Geldhaus mit den zwei Gesichtern","Robert von Heusinger",15,"Zukunft","Welt","-","m?glich steigende Investmentbanker-Profite",1,""
"56",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",1,"Gegenwart","Deutschland","-","zu hohe Staatsausgaben, n?tige Einnahmen, zu niedrige Steuern",-1,"ãZukunftsinvestitionenà, finden aber heute statt, daher Gegenwart(?)"
"57",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",2,"Gegenwart, Zukunft","Deutschland","-","geplante Sanierung-Bundeshaushalt, geplante F?rderung Wirtschaftswachstum",1,"Wenn es um die Bundesregierung geht, soll ich dann als Region Berlin eintragen? "
"58",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",3,"Gegenwart","Deutschland","-","steigende Steuern, knappe Finanzen, geplante St?rkung des Wachstums",-1,"mir fehlt eine gute Kategorie bei 'Thematische Bewertung' f?r die Wiedergabe von Zielen oder Vorhaben, nicht Fakten"
"59",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",4,"Gegenwart","Deutschland","-","steigende Ausgaben, steigende Neuverschuldung, Privatisierungen verschoben",-1,""
"60",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",5,"Gegenwart, Zukunft","Deutschland","-","Wachstums-Programm unterfinanziert, Schock durch Mehrwertsteuer-Erh?hung, niedrige ?ffentliche Investitionen",-2,""
"61",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",6,"Zukunft","Deutschland","-","Haushalt 2007 soll Wende bringen, Grenzen f?r Neuverschuldung sollen eingehalten werden",0,""
"62",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",7,"Zukunft","Deutschland, Europa","-","Kredit-Aufnahme soll sinken, verz?gerte Konsolidierung",-1,""
"63",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",8,"Zukunft","Deutschland","-","Steuern zu niedrig, steigende Mehrwertsteuer, sinkende Beitr?ge Arbeitslosen-Versicherung, steigende Versicherungs-Steuer, steigende Sozialversicherungs-Beitr?ge, sinkende Zulage f?r Bundesbank-Beamte, sinkender Zuschuss f?r ?ffentlichen Nahverkehr, Konsolidierung der Staatsfinanzen",-1,""
"64",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",9,"Vergangenheit, Zukunft","Deutschland","-","weniger Geld f?r junge Arbeitslose, weniger Eigenheim-Zulage, Abschaffung von Steuer-Spar-Modellen, weniger Pendler-Pauschale, mehr Steuer f?r Dienstwagen, h?herer Spitzensteuersatz, weniger Geld f?r Arbeitsagenturen, Konsolidierung der Staatsfinanzen",-1,""
"65",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",10,"Gegenwart","Deutschland","-","Mehrwertsteuer umstritten, Widerstand der FDP",0,""
"66",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",11,"Gegenwart","Deutschland","-","Anspr?che auf Reformen",-1,""
"67",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",12,"Gegenwart","Deutschland","-","Vorschlag: steigende Finanzierung Gesundheitswesen, sinkende Unternehmensteuern",0,"Es ist schwierig, Vorschl?ge von unterschiedlichen Leuten einzustellen. Dann steht in der selben Box 'X soll steigen' und 'X soll sinken'"
"68",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",13,"Gegenwart","Deutschland","-","Vorgeschl. Reformen f?hren zu sinkenden Staatsfinanzen, man k?nnte Steuer-Schlupfl?cher schlieõen",0,"wieder das Konjunktiv/Zukunftsszenarien Problem... H?tte, K?nnte, W?rde, Wenn dann, etc"
"69",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",14,"Zukunft","Deutschland","-","Kombil?hne w?ren teuer, Gesundheitsreform w?re teuer",-1,""
"70",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",15,"Zukunft","Deutschland","-","Einkommensteuer k?nnte erh?ht werden, Steuern k?nnten erh?ht werden",0,""
"71",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",16,"Gegenwart, Zukunft","Deutschland","-","Diskussion wird laut werden, Konflikte um Reform, Steinbr?ck will Druck aufrecht erhalten",-1,""
"72",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",17,"Gegenwart, Zukunft","Deutschland","-","robuste Finanzierung der Sozialversicherung Kernfrage, potentielle Konflikte SPD",0,""
"73",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",18,"Vergangenheit","Deutschland","-","Staatsausgaben f?r Soziales steigen",-1,""
"74",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",19,"Vergangenheit","Deutschland","-","sinkende Staatsausgaben k?nnen nicht durchgesetzt werden",-1,""
"75",6,"http://www.zeit.de/2006/09/Haushalt",2006,9,"Zeit","Das Steinbr?ck-Projekt","Wilfried Herz",20,"Gegenwart","Deutschland","-","Abstriche bei Konsolidierung Staatsausgaben",-1,""
"76",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",1,"Gegenwart","Welt","-","Kredit positiv, R?ckzahlung n?tig",0,""
"77",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",2,"Gegenwart","Deutschland","-","Haushalte sind ?berschuldet, alle Schichten sind ?berschuldet",-2,""
"78",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",3,"Zukunft","Welt","-","Kredit negativ",-2,""
"79",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",4,"Vergangenheit, Gegenwart","Deutschland","-","schwache Entwicklung Konsumausgaben, Zahl der ?berschuldeten Haushalte steigt",-2,""
"80",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",5,"Gegenwart","Deutschland","-","?berschuldung h?ufiger, weniger Ausgaben",-1,""
"81",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",6,"Gegenwart","Deutschland","-","Einkommen sinken, niedrige Ausgaben, h?here finanzielle Unsicherheit",-2,""
"82",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",7,"Vergangenheit","Deutschland","-","Normalarbeitsverh?ltnis, Vollzeit, unbefristet Vertr?ge",2,""
"83",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",8,"Vergangenheit","Deutschland","-","Konjunktur war gut, keine groõen Risiken",2,""
"84",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",9,"Gegenwart","Deutschland","-","Zahl der Firmen-Pleiten steigend, Pleiten von Kleinunternehmen, steigend Arbeitslosigkeit, fallend Vollzeitbesch?ftigte, stark sinkende Reall?hne, wachsende Schulden",-2,"vielleicht w?re es gut eine Kategorie f?r Konjunktive einzuf?hren (also eine Bewertung unsererseits, wie relevant der Artikel f?r Wirtschaftsinformationen ist). Dann k?nntet ihr anhand von Worten wie 'w?rde, k?nnte etc' Abschnitte aussortieren, in denen keine Fakten geliefert werden."
"85",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",10,"Gegenwart","Deutschland","-","steigende Zahl ?berschuldungen, steigend Unsicherheit, mehr Scheidungen",-2,""
"86",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",11,"Gegenwart","Deutschland","-","steigend Unsicherheit",-3,""
"87",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",12,"Gegenwart","Deutschland","-","finanzielle Allgemeinbildung hilft nicht, steigend Arbeitslosigkeit",-1,""
"88",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",13,"Vergangenheit","Deutschland","-","theoretisch Privatinsolvenz m?glich",0,""
"89",7,"http://www.zeit.de/2006/09/Argument/komplettansicht?print=true",2006,9,"Zeit","Vorsicht, Absturzgefahr","Wolfgang Uchatius",14,"Gegenwart","Deutschland","-","Beraterstellen f?r Insolvenzen sinkend, Wartezeiten steigend",-2,""
"90",8,"http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true",2006,10,"Zeit","Bester Laune am Abgrund entlang","Klaus-Peter Schmid",1,"Gegenwart","Deutschland","-","Stimmung in Wirtschaft steigend, Stimmung hoch",2,""
"91",8,"http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true",2006,10,"Zeit","Bester Laune am Abgrund entlang","Klaus-Peter Schmid",2,"Gegenwart","Deutschland","-","Konjuktur steigend, Exporte steigend, Investitionen steigend",3,""
"92",8,"http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true",2006,10,"Zeit","Bester Laune am Abgrund entlang","Klaus-Peter Schmid",3,"Gegenwart","Deutschland","-","Ifo Gesch?ftsklimaindex hoch, Konsum steigend, Verbraucher-Stimmung anhaltend hoch",2,""
"93",8,"http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true",2006,10,"Zeit","Bester Laune am Abgrund entlang","Klaus-Peter Schmid",4,"Gegenwart","Deutschland","-","politische Debatte sachlicher, Richtung klar",2,""
"94",8,"http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true",2006,10,"Zeit","Bester Laune am Abgrund entlang","Klaus-Peter Schmid",5,"Gegenwart","Deutschland","-","Investitionen steigend, Konsum steigend, Unsicherheit fallend, Entscheidungskraft",2,""
