;Metadaten;;;;;;;Bewertungsteil;;;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;2;Gegenwart, Vergangenheit;Welt;-;Fußballweltmeisterschaft ein Fest, erschreckend hohe Arbeitslosigkeit, einfache Weisheit, Freiheit, Wachstum, Arbeit, Sozalismus, Brecht, Kapitalismus;0;Ich schreibe Welt als Land bei allgemeingültigen Kommentaren
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;3;Vergangenheit;Italien;Florenz;Ältere Ökonomie, Güter nicht beliebig vermehrbar, Sparsamkeit, Kontrolle;-1;Ort durch Person? 'Florentiner Kaufmann', eigentlich eine nicht ortsgebundene philosophische Diskussion
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;4;Vergangenheit;Welt;-;Illusion grenzenloser Vermehrbarkeit, veränderter Wirtschaftshabitus;0;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;5;Vergangenheit;Welt;-;Einzelinteresse zu Gemeinwohl, moralischer Mensch erzeugt Wachstum;1;Eure Anweisungen zielen sehr auf Situationsbeschreibungen ab, dieser Artikel ist philosophisch...
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;6;Vergangenheit;Welt;-;ältere moralische Ökonomie wird zu autonome Ökonomie, unendliche Zirkulation, ohne Wachstum kein Kapitalismus;-1;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;7;Vergangenheit;Welt;-;Gesetz der energetischen Sparsamkeit, Produktivitätssteigerung = Wachstum, Wachstum kann arm machen;-1;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;8;Vergangenheit;Welt;-;Zusammenhang Wachstum Arbeitsplätze warscheinlich;0;eigentlich ist die 'Vergangenheit' hier zeitlos. Der Autor fasst historische Werte zusammen, aber impliziert ihre Anwendung bzw Gültigkeit heute
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;9;Vergangenheit;Welt;-;unbegrenztes Wachstum wird kritisiert, zurück zur Leidenschaft, Marx;1;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;10;Vergangenheit;Welt;-;Produktivitätssteigerung, Veringerung der Produktionskosten, Nachhaltigkeit impliziert Selbstaskese;-1;spätestens hier steigen alle nicht-Gesellschaftswissenschaftler aus. Schwierig zu bewerten, wie die Stimmung für den Standardleser ohne Fachwissen ist. Der hat vmtl schon weggeklickt
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;11;Vergangenheit;Welt;-;Wissen wird als Faktor wiederentdeckt, Wegbrechen traditioneller Arbeitsfelder, globale Arbeitskonkurrenz;-2;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;12;Vergangenheit, Gegenwart;Welt;-;Heuschrecken, steigende Gewinnmargen;-2;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;13;Vergangenheit;Welt;-;Anonymisierung durch Bürokratie;-2;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;14;Vergangenheit;Welt;-;neuer Lebensstil Managerklasse, Mafia, ausgeprägte Fähigkeit zur Selbstbedienung;-2;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;15;Gegenwart;Welt;-;zunehmende Virtualisierung der Ökonomie, drohende Übernahmen, Abbau von Arbeitsplätzen;-3;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;16;Gegenwart;Welt;-;ohne Wachstum keine Ökonomie, Wachstumsdynamik wendet sich 'vernichtend' gegen Arbeit;-1;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;17;Vergangenheit;Welt;-;Apell and alte Werte, Fleiß, Disziplin etc, Sekundärtugenden, primär Lohnverzicht;-3;dieser Artikel eignet sich glaube ich nicht für das Projekt... Zuviel Ironie, Methaphern und zu abstrakt. Keine Zustandsbeschreibungen im Sinne von X sinkt oder Y steigt
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;18;Gegenwart;USA;-;hochspezialisierte Bereiche wachsen, Vorbild USA;-2;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;19;Gegenwart;Welt;-;Defizite sozialer Infrastruktur nehmen zu;-3;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;20;Gegenwart, Zukunft;Deutschland;-;Zu hohe Staatsverschuldung, Reichtum für Rückfühurung parasitärer Arbeit nutzen;0;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;21;Gegenwart, Zukunft;Welt;-;Sozialwissenschaften haben vorgedacht, Konditionen müssen geändert werden, Handlungsanweisungen;1;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;22;Gegenwart, Zukunft;Deutschland;-;es braucht Regulierung, Freiheit der Schwachen sichern;1;Bin mit meiner Leistung hier gar nicht zufrieden, der Artikel passt nicht ins Schema. Vor allem bei den Thematischen Bewertungen fehlen Kategorien für normative Forderungen oder Vorstellungen in den Anweisungen. Die Anweisungen sind für deskriptive Artikel ausgelegt...
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;1;Gegenwart, Vergangenheit;Deutschland;-;neue Regierungen kriegen Startbonus, starke Regierung, schwache Opposition;2;man bräuchte eine Zeitkategorie für allgemeine, eigentlich zeitlose, Behauptungen. 
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;2;Gegenwart, Vergangenheit, Zukunft;Deutschland;-;steigende Arbeitslosenzahlen, viele Frühverrentungen, kluge Regierung, Reformen wirken;0;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;3;Gegenwart, Vergangenheit;Deutschland;-;fehlendes Durchsetzungssignal, Wohlfühl-Politik, Gefahr der Inaktivität;-1;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;4;Gegenwart;Deutschland;-;sinkender Reformwille, entfernung von Wahlkampfzielen, unklare Zielsetzung der Regierung;-1;vielleicht bin ich zu frei in der Wortwahl bei der Thematischen Bewertung?
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;5;Gegenwart;Deutschland;-;hohe Arbeitslosenzahlen,  Handlungsbedarf-Regierung;0;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;1;Gegenwart, Vergangenheit;Deutschland;-;Deutsche Bank verdient klotzig, hält Versprechen, zerrissen;2;Es geht um die deutsche Bank, ein Ort ist nicht erwähnt
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;2;Gegenwart, Vergangenheit;Europa;-;Aufstieg, wurde führend in Europa, Riss;2;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;3;Gegenwart;Deutschland;-;steigendes Imageproblem, starke MKU Geschäfte;1;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;4;Gegenwart;Deutschland;-;Justizprobleme, empörte Kunden;0;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;5;Gegenwart, Vergangenheit;Deutschland, Welt;-;kurzfristige Erfolge, langfristige Ziellosigkeit, Umstrukturierung;1;wieder sehr frei gewählte Worte in Thematischer Bewertung
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;6;Gegenwart;Deutschland, Welt;-;lange Frist nicht formuliert, Deutsche Bank mutiert ungesteuert;-1;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;7;Gegenwart;Deutschland;-;missachtung deutscher Privatkunden, Riskierung Reputation, offene Fragen;-2;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;8;Gegenwart;Deutschland, Europa;-;Fehlinformationen Deutsche Bank, schwierige Marktsituation;-2;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;9;Vergangenheit;Australien, Deutschland;Frankfurt, Hessen, Berlin;steigende Mieten, Fehlinformationen durch Deutsche Bank ;-2;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;10;Gegenwart;Australien, Deutschland;-;Betrug;-2;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;11;Zukunft;Deutschland;-;Große Enttäuschung;-3;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;12;Zukunft;Deutschland;-;Traum von Zerschlagung;0;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;13;Zukunft;Welt;-;Trennung von Privatkunden und Investmentgeschäft;0;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;14;Zukunft;Deutschland;-;möglich steigendes Vertrauen, möglich profitabel für Kunden;2;generell ist der Konjunktiv schwierig
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;15;Zukunft;Welt;-;möglich steigende Investmentbanker-Profite;1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;1;Gegenwart;Deutschland;-;zu hohe Staatsausgaben, nötige Einnahmen, zu niedrige Steuern;-1;“Zukunftsinvestitionen”, finden aber heute statt, daher Gegenwart(?)
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;2;Gegenwart, Zukunft;Deutschland;-;geplante Sanierung-Bundeshaushalt, geplante Förderung Wirtschaftswachstum;1;Wenn es um die Bundesregierung geht, soll ich dann als Region Berlin eintragen? 
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;3;Gegenwart;Deutschland;-;steigende Steuern, knappe Finanzen, geplante Stärkung des Wachstums;-1;mir fehlt eine gute Kategorie bei 'Thematische Bewertung' für die Wiedergabe von Zielen oder Vorhaben, nicht Fakten
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;4;Gegenwart;Deutschland;-;steigende Ausgaben, steigende Neuverschuldung, Privatisierungen verschoben;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;5;Gegenwart, Zukunft;Deutschland;-;Wachstums-Programm unterfinanziert, Schock durch Mehrwertsteuer-Erhöhung, niedrige öffentliche Investitionen;-2;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;6;Zukunft;Deutschland;-;Haushalt 2007 soll Wende bringen, Grenzen für Neuverschuldung sollen eingehalten werden;0;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;7;Zukunft;Deutschland, Europa;-;Kredit-Aufnahme soll sinken, verzögerte Konsolidierung;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;8;Zukunft;Deutschland;-;Steuern zu niedrig, steigende Mehrwertsteuer, sinkende Beiträge Arbeitslosen-Versicherung, steigende Versicherungs-Steuer, steigende Sozialversicherungs-Beiträge, sinkende Zulage für Bundesbank-Beamte, sinkender Zuschuss für öffentlichen Nahverkehr, Konsolidierung der Staatsfinanzen;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;9;Vergangenheit, Zukunft;Deutschland;-;weniger Geld für junge Arbeitslose, weniger Eigenheim-Zulage, Abschaffung von Steuer-Spar-Modellen, weniger Pendler-Pauschale, mehr Steuer für Dienstwagen, höherer Spitzensteuersatz, weniger Geld für Arbeitsagenturen, Konsolidierung der Staatsfinanzen;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;10;Gegenwart;Deutschland;-;Mehrwertsteuer umstritten, Widerstand der FDP;0;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;11;Gegenwart;Deutschland;-;Ansprüche auf Reformen;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;12;Gegenwart;Deutschland;-;Vorschlag: steigende Finanzierung Gesundheitswesen, sinkende Unternehmensteuern;0;Es ist schwierig, Vorschläge von unterschiedlichen Leuten einzustellen. Dann steht in der selben Box 'X soll steigen' und 'X soll sinken'
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;13;Gegenwart;Deutschland;-;Vorgeschl. Reformen führen zu sinkenden Staatsfinanzen, man könnte Steuer-Schlupflöcher schließen;0;wieder das Konjunktiv/Zukunftsszenarien Problem... Hätte, Könnte, Würde, Wenn dann, etc
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;14;Zukunft;Deutschland;-;Kombilöhne wären teuer, Gesundheitsreform wäre teuer;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;15;Zukunft;Deutschland;-;Einkommensteuer könnte erhöht werden, Steuern könnten erhöht werden;0;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;16;Gegenwart, Zukunft;Deutschland;-;Diskussion wird laut werden, Konflikte um Reform, Steinbrück will Druck aufrecht erhalten;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;17;Gegenwart, Zukunft;Deutschland;-;robuste Finanzierung der Sozialversicherung Kernfrage, potentielle Konflikte SPD;0;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;18;Vergangenheit;Deutschland;-;Staatsausgaben für Soziales steigen;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;19;Vergangenheit;Deutschland;-;sinkende Staatsausgaben können nicht durchgesetzt werden;-1;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;20;Gegenwart;Deutschland;-;Abstriche bei Konsolidierung Staatsausgaben;-1;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;1;Gegenwart;Welt;-;Kredit positiv, Rückzahlung nötig;0;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;2;Gegenwart;Deutschland;-;Haushalte sind überschuldet, alle Schichten sind überschuldet;-2;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;3;Zukunft;Welt;-;Kredit negativ;-2;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;4;Vergangenheit, Gegenwart;Deutschland;-;schwache Entwicklung Konsumausgaben, Zahl der überschuldeten Haushalte steigt;-2;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;5;Gegenwart;Deutschland;-;Überschuldung häufiger, weniger Ausgaben;-1;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;6;Gegenwart;Deutschland;-;Einkommen sinken, niedrige Ausgaben, höhere finanzielle Unsicherheit;-2;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;7;Vergangenheit;Deutschland;-;Normalarbeitsverhältnis, Vollzeit, unbefristet Verträge;2;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;8;Vergangenheit;Deutschland;-;Konjunktur war gut, keine großen Risiken;2;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;9;Gegenwart;Deutschland;-;Zahl der Firmen-Pleiten steigend, Pleiten von Kleinunternehmen, steigend Arbeitslosigkeit, fallend Vollzeitbeschäftigte, stark sinkende Reallöhne, wachsende Schulden;-2;vielleicht wäre es gut eine Kategorie für Konjunktive einzuführen (also eine Bewertung unsererseits, wie relevant der Artikel für Wirtschaftsinformationen ist). Dann könntet ihr anhand von Worten wie 'würde, könnte etc' Abschnitte aussortieren, in denen keine Fakten geliefert werden.
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;10;Gegenwart;Deutschland;-;steigende Zahl Überschuldungen, steigend Unsicherheit, mehr Scheidungen;-2;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;11;Gegenwart;Deutschland;-;steigend Unsicherheit;-3;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;12;Gegenwart;Deutschland;-;finanzielle Allgemeinbildung hilft nicht, steigend Arbeitslosigkeit;-1;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;13;Vergangenheit;Deutschland;-;theoretisch Privatinsolvenz möglich;0;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;14;Gegenwart;Deutschland;-;Beraterstellen für Insolvenzen sinkend, Wartezeiten steigend;-2;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;1;Gegenwart;Deutschland;-;Stimmung in Wirtschaft steigend, Stimmung hoch;2;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;2;Gegenwart;Deutschland;-;Konjuktur steigend, Exporte steigend, Investitionen steigend;3;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;3;Gegenwart;Deutschland;-;Ifo Geschäftsklimaindex hoch, Konsum steigend, Verbraucher-Stimmung anhaltend hoch;2;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;4;Gegenwart;Deutschland;-;politische Debatte sachlicher, Richtung klar;2;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;5;Gegenwart;Deutschland;-;Investitionen steigend, Konsum steigend, Unsicherheit fallend, Entscheidungskraft;2;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;6;Gegenwart;Deutschland;-;gute Stimmung, Wirtschaft unsicher;1;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;7;Gegenwart;Deutschland, Welt;-;Daten der deutschen Wirtschaft solide, Exportweltmeister, Euro konstant, Ölpreise konstant, Weltkonjunktur anhaltend gut;2;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;8;Gegenwart;Deutschland;-;steigend Binnennachfrage, Produktionsanlagen-Modernisierung, steigend Industrieproduktion, Auftragslage gut, problematisch Gesundheitswesen-Reform;2;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;9;Zukunft;Deutschland;-;Mehrwertsteuer steigend, Konsum sinkend;0;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;10;Vergangenheit;Deutschland;-;Wirtschaft stagniert, Arbeitslosenzahl steigt an, Wachstum bescheiden;0;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;11;Zukunft;Deutschland;-;Wachstum kann steigen, Konjunktur muss nicht einbrechen;1;
