;Metadaten;;;;;;;Bewertungsteil;;;;;;;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte fÅr Deregulierer;Karsten Polke-Majewski;6;Gegenwart;Deutschland;;Normenkontrollrat-Kritik-Schlupfloch-Bertelsmann-Stiftung, mangelnd Amtshilfe;-1;;;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte fÅr Deregulierer;Karsten Polke-Majewski;7;Gegenwart;Deutschland;;Normenkontrollrat-Zuspruch-Deutscher-Gewerkschaftsbund;0;;;
1;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;1;Gegenwart;Deutschland;;hohe Quartalsverluste-Deutsche-Bank, Jahresverlust-Deutsche-Bank, Rekordgewinn-Vorjahr-Deutsche-Bank;-3;;;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;2;Vergangenheit;Deutschland;;Kernkapitalquote-Dividende-Deutsche-Bank;0;;;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;3;Vergangenheit;Deutschland;;schwieriges Marktumfeld-Deutsche-Bank-Ackermann, gut KapitalstÑrke, fallend Aktienkurs;-1;;;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;4;Zukunft;Deutschland;;Deutsche-Bank-öbernahme-Postbank-Beginn-Aktientausch;0;;;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;5;Zukunft;Deutschland;;Deutsche-Bank-öbernahme-Postbank-Pflichtumtauschanlage;0;;;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;6;Gegenwart;Deutschland;;Deutsche-Bank-öbernahme-Postbank-Transaktionsbarwert;;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;1;Gegenwart;Deutschland;;Neujahrsansprache-Merkel, fallend Arbeitsmarkt, gut Zukunftsaussichten-Arbeitsmarkt-Mittelfrist;1;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;2;Gegenwart;Deutschland;;Neujahrsansprache-Merkel, Fu·ballweltmeisterschaft, hoch Arbeitslosigkeit, Kapitalistische-Tradition-Sozialistisches-Gewand-Merkel;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;3;Vergangenheit;Deutschland;;Wirtschafsgeschichte, Rucellai;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;4;Vergangenheit;Deutschland;;Wirtschaftsgeschichte, Giordano-Bruno, Martin-Luther;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;5;Vergangenheit;Deutschland;;Wirtschaftsgeschichte, Adam-Smith, Albert-Hirschmann;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;6;Vergangenheit;Deutschland;;Wirtschaftsgeschichte, Moralische-ôkonomie, Autonome-ôkonomie, Kapitalismus-Wachstum;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;7;Vergangenheit;Deutschland;;Wirtschaftsgeschichte, ProduktivitÑtssteigerung-John-Stuart-Mill, ArbeitsplÑtze-Wachstum-Theorie, ;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;8;Vergangenheit;Deutschland;;Wirtschaftsgeschichte;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;9;Vergangenheit;Deutschland;;Wirtschaftsgeschichte, Karl-Marx, Rational-Choice-Adam-Smith, Gefangenendilemma;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;10;Vergangenheit;Deutschland;;Wirtschaftsgeschichte, ProduktivitÑtssteigerung-Theorie, Produktionskostenverringerung-Theorie, Arbeiterenteignung-Marx, Wachstumsgrenzen-Theorie;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;11;Vergangenheit;Deutschland;;Wirtschaftsgeschichte, Arbeitsabschaffung-Marx, Globalisierung-Jeremy-Rifkins, Arbeitskonkurrenz;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;12;Vergangenheit;Deutschland;;Heuschrecken-Franz-MÅntefering, Heuschreckenkapitalismus;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;13;Vergangenheit;Deutschland;;Wirtschaftsgeschichte, Max-Weber, Kapitalismuskritik;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;14;Vergangenheit;Deutschland;;Managerklasse, Max-Weber, Hollywood;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;15;Vergangenheit;Deutschland;;Virtualisierung, Arbeitsplatzabbau, Bîrse, Kapitalmarkt, Weltbank;0;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;16;Vergangenheit;Deutschland;;Aporiezentrum, vernichtende Wachstumsdynamik;-1;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;17;Vergangenheit;Deutschland;;Home-Oeconomicus, Parteiaustritt-Oscar-Lafontaine, Lohnverzicht-Arbeitnehmer;-1;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;18;Vergangenheit;Deutschland, USA;;Schwarzarbeit;-2;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;19;Gegenwart;Deutschland;;hoch Defizit-Sozialinfrastruktur, unzureichende Krankenversicherung, hohe Kindersterblichkeit, hohe Analphabetenrate, hohe Schulabbrecherquote, hohe Obdachlosenquote-Urban, hohe Staatsverschuldung;-3;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;20;Gegenwart;Deutschland;;hohe Staatsverschuldung, parasitÑre Arbeit;1;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;21;Zukunft;Deutschland;;Steuerentlastung-Arbeit-Forderung, Investition-Arbeit-Forderung, Steuerausweitung, Systemkritik;1;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von MÅller;22;Gegenwart;Deutschland;;Merkel-Kritik, Regulierung-Forderung, ;1;Merkel=Bundeskanlerin;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;1;Gegenwart;Deutschland;;neue Bundesregierung;1;;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;2;Gegenwart;Deutschland;;neue Bunderegierung-Merkel, steigend Arbeitslosigkeit, FrÅhverrentungen, harter Winter, BeschÑftigungskrise, Wachstumsprogramm, ;-1;;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;3;Vergangenheit;Deutschland;;neue Bundesregierung, fehlend Signal, Staatsausgaben, WohlfÅhl-Politik, Konjunktur-Problemlîsung;-1;;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;4;Gegenwart;Deutschland;;CDU-CSU, Mindestlîhne-Merkel, Gesundheitsreform-Volker-Kauder, Mehrwertsteuererhîhung-Ablehnung-Wolfgang-Bîhmer, GesundheitsprÑmie-PlÑne-EinfÅhrung, KÅndigungsschutz-Lockern-Michael-Glos-Wirtschaftsministerium;-1;;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;5;Zukunft;Deutschland;;Arbeitslosigkeit, neu Bundesregierung;0;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;1;Gegenwart;Deutschland;;Deutsche-Bank, hoch Jahresabschluss-Deutsche-Bank, hoch Gewinn-Deutsche-Bank, Joseph-Ackermann-Vorstandschef, Kritik;1;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;2;Gegenwart;Europa, Welt;;Deutsche-Bank-Zerrissenheit, Investmentbanking-PrivatkundengeschÑft-Deutsche-Bank, stark Investmentbanking-Deutsche-Bank;1;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;3;Gegenwart;Deutschland;;stark PrivatkundengeschÑft-Deutsche-Bank, Imageproblem-Deutsche-Bank, ;-1;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;4;Gegenwart;Deutschland;;Imageproblem-Deutsche-Bank, Rechtsprobleme-Ackermann-Rolf-Breuer, Grundbesitz-Invest-Schlie·ung-Deutsche-Bank;-1;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;5;Vergangenheit;Deutschland, Europa, Welt;;Deutsche-Bank-Ackermann-Erfolg-FÅhrung, fehlend Deutsche-Bank-Strategie-Langfristig, gut Deutsche-Bank-Kurzfristig;1;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;6;Zukunft;Deutschland, Europa, Welt;;fehlend Deutsche-Bank-Zukunftsstrategie;-1;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;7;Vergangenheit;Deutschland;;Deutsche-Bank-Machtkonflikt, Grundbesitz-Invest-Schlie·ung-Deutsche-Bank;-2;Grundbesitz-Invest=Immobilienfonds;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;8;Vergangenheit;Deutschland;;Deutsche-Bank-Kritik, Grundbesitz-Invest-Schlie·ung-Deutsche-Bank;-1;Grundbesitz-Invest=Fonds;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;9;Vergangenheit;Deutschland, Australien;;Deutsche-Bank-Kritik-Investmentbanking;-1;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;10;Vergangenheit;Deutschland, Australien;;Deutsche-Bank-Kritik, Merryl-Lynch, Grundbesitz-Invest-Bank-Run;-2;Grundbesitz-Invest=Fonds;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;11;Gegenwart;Deutschland, Australien;;hoch Deutsche-Bank-Imageverlust;-3;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;12;Zukunft;Deutschland, Europa, Welt;;Deutsche-Bank-Zerschlagung-Spekulation;0;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;13;Zukunft;Deutschland, Europa, Welt;;Deutsche-Bank-Zerschlagung-Spekulation, DWS;0;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;14;Zukunft;Deutschland, Europa, Welt;;Deutsche-Bank-Zerschlagung-Spekulation, DWS, Deutsche-Bank-PrivatkundengeschÑft;0;;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;15;Zukunft;Deutschland, Europa, Welt;;Deutsche-Bank-Zerschlagung-Spekulation;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;1;Gegenwart, Zukunft;Deutschland;;SteinbrÅck, Steuererhîhungen-SteinbrÅck, Falschausgaben-SteinbrÅck, Zukunftsinvestitionen;-1;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;2;Gegenwart, Zukunft;Deutschland;;Haushaltspaket-SteinbrÅck, Haushaltssanierung-SteinbrÅck-Bundesregierung, Wirtschafswachstum-Fîrderung;1;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;3;Gegenwart, Zukunft;Deutschland;;AusgabenkÅrzungen-Bundesregierung, Steuererhîhungen-Bundesregierung, Gesundheitsreform-Reformvorhaben, Unternehmensbesteuerungsreform-Reformvorhaben, Haushaltskonsolidierung-SteinbrÅck, WachstumsstÑrkung-SteinbrÅck, Reformvorhaben-SteinbrÅck;2;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;4;Gegenwart, Zukunft;Deutschland;;Haushaltsetat-2006, steigend Staatsausgaben-Bundesregierung-SteinbrÅck, steigend Neuverschuldung-Bundesregierung-SteinbrÅck;-1;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;5;Gegenwart, Zukunft;Deutschland;;niedrig Wachstumsprogramm-Bundesregierung, Mehrwertsteuererhîhung, niedrig Investitionen-Bundesregierung, fallend Investitionen-Bundesregierung;-2;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;6;Zukunft;Deutschland;;Finanzpolitik-Schwarz-Rot-Bundesregierung, Bundeshaushalt-Schwarz-Rot, Neuverschuldung-Maastricht-Vertrag-Bundesregierung, Koalitionsvertrag-Schwarz-Rot, ;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;7;Gegenwart, Zukunft;Deutschland;;Finanzplan-Bundesregierung-SteinbrÅck, fallend Kreditaufnahme-Bundesregierung, Neuverschuldung-Maastricht-Vertrag-Bundesregierung, Bundesbank-Axel-Weber, EuropÑische-Kommission-Neuverschuldung-Deutschland;-1;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;8;Gegenwart, Zukunft;Deutschland;;Steuererhîhungen, LeistungskÅrzungen, Haushaltsbegleitgesetz, Bundeshaushalt, Mehrwertsteuererhîhung, fallend Arbeitslosenversicherung, steigend Versicherungssteuer, steigend SozialversicherungsbeitrÑge-Minijobber, fallend Weihnachtsgeld-Bundesbeame, ZulagenkÅrzung-Bundesbankbeamte, fallend Subventionen-Bahn-Nahverkehr, Haushaltssanierung-Bund-LÑnder;1;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;9;Gegenwart, Zukunft;Deutschland;;fallend Arbeitslosengeld-Junge, endend Eigenheimzulage, endend Steuersparmodelle-Teilweise, fallend SteuerfreibetrÑge, fallend Pendlerpauschale, steigend Dienstwagensteuer, steigend Spitzensteuersatz-Steuerprogression, Optimierungsgesetz, fallend Finanzbedarf-Arbeitsagenturen, Haushaltskonsolidierung-SteinbrÅck;1;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;10;Vergangenheit, Gegenwart, Zukunft;Deutschland;;Mehrwertsteuererhîhung-Umstritten, Karl-Heinz-PaquÇ-FDP-Mehrwertsteuererhîhung-Kritik, Maastricht-Kriterium-Mehrwertsteuererhîhung;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;11;Gegenwart;Deutschland;;ReformplÑne-Kostspielig, SteinbrÅck-Haushaltskonsolidierung;-1;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;12;Gegenwart, Zukunft;Deutschland;;ReformvorschlÑge-Gesundheitswesen-Unternehmenssteuer-SachverstÑndigenrat-Bert-RÅrup, Unternehmenssteuerreform-Vorschlag-Wolfgang-Wiegard-Wirtschaftsweiser, Mehrwertsteuerdebatte;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;13;Gegenwart, Zukunft;Deutschland;;Unternehmenssteuerreform-Modelle-SachverstÑndigenrat-Stiftung-Marktwirtschaft-EinnahmeausfÑlle, fallend Unternehmenssteuerreform-Vorschlag-SteuersÑtze-SteinbrÅck, endend Unternehmenssteuerreform-Vorschlag-Steuerschlupflîcher-SteinbrÅck;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;14;Gegenwart, Zukunft;Deutschland;;Sanierungsplan-Kritik-SteinbrÅck, beginnend Kombilîhne-ReformplÑne-Merkel, beginnend Gesundheitsreform-Kinderversicherung-Steuergelder-Merkel;-1;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;15;Gegenwart, Zukunft;Deutschland;;umstritten Einkommenssteuerzuschlag-Gesundheits-Soli;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;16;Gegenwart, Zukunft;Deutschland;;beginnend Landtagswahlen, hoch Gesundheitsreform-Konflikt, ;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;17;Gegenwart, Zukunft;Deutschland;;Sozialversicherung-Debatte-Interessenkonflikt-MÅntefering-SteinbrÅck, Sozialetat;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;18;Vergangenheit, Gegenwart, Zukunft;Deutschland;;Sozialversicherung-Debatte-Interessenkonflikt-MÅntefering-SteinbrÅck, Bundeshaushalt-MÅntefering-SteinbrÅck-Interessenkonflikt, steigend Rentenversicherung-Bundeszuschuss-MÅntefering;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;19;Vergangenheit, Gegenwart;Deutschland;;Haushaltsverhandlungen-Konflikt, Bundesbank-SteinbrÅck, konstant Weihnachtsgeld-Wehrdienstleistende-Zivis;0;;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das SteinbrÅck-Projekt;Wilfried Herz;20;Gegenwart;Deutschland;;SteinbrÅck-Imperative-Sanieren-Reformieren-Investieren;0;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;1;Gegenwart;Deutschland;;Kreditnutzen-Anekdote;0;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;2;Gegenwart;Deutschland;;Haushaltsschulden-öberverschuldete, Schuldenreport-2006-Caritasverband-Deutsches-Rotes-Kreuz-Diakonisches-Werk-Bundesverband-Verbraucherzentralen, öberschuldet-Haushalte;-2;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;3;Gegenwart;Deutschland;;Kredit-Albtraum;0;;1;Trivial/FÅllsatz
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;4;Vergangenheit, Gegenwart;Deutschland;;HaushaltsrÅcklagen, niedrig Konsumausgaben-Verbraucher, steigend öberschuldet-Haushalte-Anzahl;-2;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;5;Gegenwart;Deutschland;;fallend Konsumausgaben-Verbraucher, steigend öberschuldet-Haushalte-Anzahl;-1;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;6;Vergangenheit, Gegenwart;Deutschland;;Einkommensunsicherheit-Haushalte-Gesamtgesellschaftlich, Schuldenfalle;-2;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;7;Vergangenheit;Deutschland;;konstant Arbeitsrecht-NormalarbeitsverhÑltnis;0;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;8;Vergangenheit;Deutschland;;hoch Einkommenssicherheit-Haushalte-Freiberufler-Kleinunternehmer;0;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;9;Gegenwart;Deutschland;;steigend Firmenpleiten-Kleinberufler-SelbststÑndige, fallend Reallîhne, steigend Arbeitsvertragsbefristung;-2;"SelbstÑndige=""Ein-Mann-Betriebe""";;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;10;Vergangenheit, Gegenwart;Deutschland;;Zukunftsunsicherheit-Arbeitnehmer, Scheidungen, Zukunftsunsicherheit-Gesamtgesellschaftlich;-1;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;11;Gegenwart;Deutschland;;befristet Jobs-Zukunftsunsicherheit, schwankend Lîhne-Zukunftsunsicherheit, brÅchig Familien-Zukunftsunsicherheit, Erwartungsunsicherheit;-1;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;12;Gegenwart;Deutschland;;besser Finanzielle-Allgemeinbildung-Forderung-Schuldenexperten;-1;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;13;Vergangenheit, Gegenwart;Deutschland;;beginnend Privatinsolvenzrecht-Helmut-Kohl;1;;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;14;Gegenwart, Zukunft;Deutschland;;Åberlastet Insolvenzberater-Kommunen-WohlfahrtsverbÑnde, hoch Wartezeit-Insolvenzberater-Kommunen-WohlfahrtsverbÑnde, steigend StellenkÅrzungen-Insolvenzberater, fallend Staatsausgaben, steigend öberschuldete;-3;;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;1;Gegenwart;Deutschland;;gute Stimmung-Wirtschaft, neue Regierung-Stimmungsumschwung-Wirtschaft, ungenÅgend Merkel-Faktor;0;;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;2;Gegenwart;Deutschland;;steigend Konjunktur-DIHK, Exportwachstum-DIHK, steigend InvestitionstÑtigkeit-DIHK, steigend Exporte-DIHK, gut Zukunftserwartung-Unternehmen-DIHK;3;;;
