,SN,JM,DC,Artikeln_Nr,Abschnitt,SN.Zeitbezug,SN.Thema,JM.Zeitbezug,JM.Thema,DC.Zeitbezug,DC.Thema,Title,Text,Link
16,0,-1,0,3,3,Vergangenheit,"Wirtschafsgeschichte, Rucellai",Vergangenheit,"?ltere ?konomie, G?ter nicht beliebig vermehrbar, Sparsamkeit, Kontrolle",Vergangenheit,"Giovanni Rucellai, Ricordanze, begrenzter Vorrat",Arbeitsmarkt: Immer mehr ist immer weniger ,"Die Vorstellung, dass wirtschaftliche Güter beliebig vermehrbar sind, war der älteren Ökonomie völlig fremd. Indem ich reich bin, mache ich andere, die ich vielleicht gar nicht kenne, arm, notiert der erfolgreiche Florentiner Kaufmann Giovanni Rucellai in seinen Ricordanze um 1450. Für ihn steht fest: der materielle Vorrat der Welt ist im Prinzip begrenzt. An sich müsste daher alles allen gehören. Sparsamkeit, Kontrolle waren somit höchstes Gebot jedweder Wirtschaftsführung dieser auf dem aristotelisch-ptolemäischen Weltbild basierenden Ökonomie.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
17,0,0,-1,3,4,Vergangenheit,"Wirtschaftsgeschichte, Giordano-Bruno, Martin-Luther",Vergangenheit,"Illusion grenzenloser Vermehrbarkeit, ver?nderter Wirtschaftshabitus",Vergangenheit,"Wirtschaftshabitus, Giordano Bruno, Luther, Illusion, grenzenlose Vermehrbarkeit",Arbeitsmarkt: Immer mehr ist immer weniger ,"Die kopernikanische Wende veränderte auch den Wirtschaftshabitus. Der Blick auf die Unendlichkeit der Welten, wie Giordano Bruno formulierte, sowie auf die unendliche Gnade Gottes, wie zuvor schon Luther ahnte, befeuern Fantasien über die Unbegrenztheit der Güter. Kolonialismus, Exotismus, Schatzträume und am Ende harte Arbeit und diversifiziertes Kapital besorgen die Illusion grenzenloser Vermehrbarkeit materieller Werte.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
18,0,1,0,3,5,Vergangenheit,"Wirtschaftsgeschichte, Adam-Smith, Albert-Hirschmann",Vergangenheit,"Einzelinteresse zu Gemeinwohl, moralischer Mensch erzeugt Wachstum",Vergangenheit,"Wachstum, Adam Smith, Anthropologie, Albert Hirschmann, unsichtbare Hand",Arbeitsmarkt: Immer mehr ist immer weniger ,"Doch das alles ist noch kein Wachstum. Es fehlt die systematische Verstetigung. Diese liefert erst Adam Smith auf der Basis einer neuen Anthropologie. Wie Albert Hirschmann glänzend nachgewiesen hat, verwandelt die unsichtbare Hand in Smiths Konzept erst dann Eigeninteresse des Einzelnen in Gemeinwohl, wenn dieses Interesse sich moralisch befreit hat von den ungezügelten Leidenschaften des materialistischen Egoismus. Der Quell allen Wachstums sprudelt damit in der unerschöpflichen Tiefe des Menschen. Wirtschaftliches Wachstum wird von der äußeren Welt abgezogen und in die innere des moralisch durchgearbeiteten Menschen verlegt – begrenzt durch Kultur, Erziehung, Moral, Lebensführung, und damit ökonomisch unendlich.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
19,0,-1,1,3,6,Vergangenheit,"Wirtschaftsgeschichte, Moralische-?konomie, Autonome-?konomie, Kapitalismus-Wachstum",Vergangenheit,"?ltere moralische ?konomie wird zu autonome ?konomie, unendliche Zirkulation, ohne Wachstum kein Kapitalismus",Vergangenheit,"moralische ™konomie, Wachstum, Kapitalismus",Arbeitsmarkt: Immer mehr ist immer weniger ,"Die scharfe Trennung zwischen Leidenschaft und Interesse markiert zugleich die Verwandlung der älteren moralischen Ökonomie in eine autonome Ökonomie, die, gegründet auf Kultur, Gewinn in Kapital transformiert und damit eine idealtypisch unendliche Zirkulation von Produktion, Kapital und Produktivität schafft, die den bekannten Namen Kapitalismus trägt. Dieses Wirtschaftssystem ist ganz und gar auf Wachstum angelegt. Ohne Wachstum kein Kapitalismus und vice versa.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
20,0,-1,-1,3,7,Vergangenheit,"Wirtschaftsgeschichte, Produktivit?tssteigerung-John-Stuart-Mill, Arbeitspl?tze-Wachstum-Theorie, ",Vergangenheit,"Gesetz der energetischen Sparsamkeit, Produktivit?tssteigerung = Wachstum, Wachstum kann arm machen",Vergangenheit,"Wohlstand, Wachstum, John Stuart Mill, Arthur Lewis",Arbeitsmarkt: Immer mehr ist immer weniger ,"Allerdings – so der erste umfassend argumentierende Theoretiker des Wachstums, John Stuart Mill, 1848 – folgt dieses Prinzip dem Gesetz der energetischen Sparsamkeit: Es sucht in gleichem Maße gesteigerte Produktion und minimierte Arbeitsleistung. Schon Erhalt der Produktionsquote bei verringerter Arbeitsleistung ist Wachstum. Damit entdeckte Mill das Gesetz der Produktivitätssteigerung im Wirtschaftswachstum. Ziel des Wachstums ist es also nicht, Arbeitsplätze zu schaffen! Keine Rede davon auch im Standardwerk der neoklassischen Wachstumstheorie, in W. Arthur Lewis’ Theory of Economic Growth. Auch der individuelle Wohlstand ist nicht Ziel des Wachstums: Es ist durchaus denkbar, dass die Produktion wächst und dennoch die Masse der Bevölkerung ärmer wird, vermerkt Lewis lakonisch. Und noch ein bemerkenswerter Satz aus seiner Feder: Wachstum kann die Wirkung haben, stabile soziale Beziehungen zu zerstören, die ökonomische Gier anzureizen und zu sozialen Konflikten, Rassen- und religiösen Unruhen zu führen.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
21,0,0,-1,3,8,Vergangenheit,Wirtschaftsgeschichte,Vergangenheit,Zusammenhang Wachstum Arbeitspl?tze warscheinlich,Vergangenheit,"Wachstum, Arbeitspl„tzen, Wahlm”glichkeit",Arbeitsmarkt: Immer mehr ist immer weniger ,"Wozu denn überhaupt Wachstum? Allein um höhere Gewinne zu erzielen und damit die Wahlmöglichkeiten für wirtschaftliche und soziale Entscheidungen zu erhöhen, antwortet Lewis. Zwischen Wachstum und neuen Arbeitsplätzen steht somit eine sozio-ökonomische Entscheidung. Diese könnte auch lauten: organisatorische und technologische Modernisierung, Anlage auf dem Finanzmarkt, Rücklage, Gewinnentnahme et cetera. Unbegrenztes Wachstum müsste aber am Ende auch die Entscheidung zur Schaffung neuer Arbeitsplätze wachsend wahrscheinlich machen.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
22,0,1,-1,3,9,Vergangenheit,"Wirtschaftsgeschichte, Karl-Marx, Rational-Choice-Adam-Smith, Gefangenendilemma",Vergangenheit,"unbegrenztes Wachstum wird kritisiert, zur?ck zur Leidenschaft, Marx",Vergangenheit,"Widerspruch, Kapital, Arbeit, Karl Marx, Gefangenendilemma",Arbeitsmarkt: Immer mehr ist immer weniger ,"Unbegrenztes Wachstum hat jedoch inzwischen einige bedeutsame Einreden erfahren. Die erste stammt bekanntlich von Karl Marx. Er weist auf den Widerspruch zwischen den Interessen von Kapital und Arbeit hin. Sehr gut hat Marx seinen Smith verstanden. Doch er teilt nicht dessen aufklärerische rational choice- Einschätzung des Interesses und des ihm nach Smith innewohnenden Vermögens, dem Gefangenendilemma – also dem Widerspruch konkurrierender Interessen – zu entkommen. Daher rührt auch die zynische Rhetorik der Marxschen Einrede, die nicht müde wird, den halunkenhaften Charakter des Kapitalisten zu unterstreichen. Zurück zur Leidenschaft, will diese Rhetorik sagen.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
23,0,-1,1,3,10,Vergangenheit,"Wirtschaftsgeschichte, Produktivit?tssteigerung-Theorie, Produktionskostenverringerung-Theorie, Arbeiterenteignung-Marx, Wachstumsgrenzen-Theorie",Vergangenheit,"Produktivit?tssteigerung, Veringerung der Produktionskosten, Nachhaltigkeit impliziert Selbstaskese",Vergangenheit,"Karl Marx, Widerspruch, Wachstum, Meadow, Grenzen, Nachhaltigkeit, Wachstumsdynamik",Arbeitsmarkt: Immer mehr ist immer weniger ,"Das ist zwar richtig und wichtig, aber – wie Marx selbst weiß – nicht wesentlich. Der Widerspruch vielmehr ist objektiv, bezieht sich auf die systematische Steigerung der Produktivität und die dynamische Verringerung der Produktionskosten. Die Heuschrecke macht eben noch keine Krise. Diese entsteht vielmehr – so Marx – durch die Tendenz des kapitalistischen Wachstums, Arbeit abzuschaffen und damit den Arbeiter zu enteignen – ihn arbeitslos zu machen. Sparen wir uns den posthistorischen oder auch revolutionären Marx, der daraus dann die Vision einer von Arbeitsmühen befreiten Gesellschaft gewinnt. Sparen wir uns auch die Einrede der Meadows-Studie über die Grenzen des Wachstums, die, von einem postkopernikanischen Weltbild ausgehend, die Begrenztheit energetischer Ressourcen, der holistisch betrachteten Natur überhaupt betont. Tatsächlich redet die Studie an der anthropologischen Wende der Ökonomie nach Smith vorbei. Ganz folgerichtig hat die Antwort auf Meadows mit der Ökonomie der Nachhaltigkeit die Ressourcenfrage in neue Wachstumsdynamik umgemünzt und ebenso folgerichtig mit einer neosmithschen Moral individueller Askese und Selbstkontrolle verbunden.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
24,0,-2,-1,3,11,Vergangenheit,"Wirtschaftsgeschichte, Arbeitsabschaffung-Marx, Globalisierung-Jeremy-Rifkins, Arbeitskonkurrenz",Vergangenheit,"Wissen wird als Faktor wiederentdeckt, Wegbrechen traditioneller Arbeitsfelder, globale Arbeitskonkurrenz",Vergangenheit,"Karl Marx, Widerspruch, Wachstum, Wegbrechen, Arbeitskonkurrenz",Arbeitsmarkt: Immer mehr ist immer weniger ,Die von Marx beobachtete Tendenz zur Abschaffung der Arbeit als systemischer Widerspruch des Wachstums hat hingegen neues Interesse gefunden. Die Neuentdeckung der Produktivkraft Wissen und eine Reihe besorgter sozioökonomischer Analysen über die Folgen der dritten industriellen Revolution im Kontext der Globalisierung wie etwa Jeremy Rifkins Studie Das Ende der Arbeit und ihre Zukunft zeichnen das eher düstere Bild eines epidemischen Wegbrechens klassischer produktiver Arbeitsfelder auch ganz unabhängig von der ohnehin (nur selten zutreffenden) globalen Arbeitskonkurrenz.,http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
25,0,-2,-2,3,12,Vergangenheit,"Heuschrecken-Franz-Mntefering, Heuschreckenkapitalismus","Vergangenheit, Gegenwart","Heuschrecken, steigende Gewinnmargen",Gegenwart,"Cash-Flow, Investitionen, Arbeit",Arbeitsmarkt: Immer mehr ist immer weniger ,"Verschärft werden entsprechende Analysen durch neue Dynamiken des Finanzkapitals. Hier drohen nicht nur Franz Münteferings Heuschrecken, sondern neue Gewinnmargen, die durch die Verschiebung vom traditionellen Bilanzgewinn zum Cash-Flow Investitionen jeder Art – auch in Arbeit – unter den Vorbehalt möglicher Ausschüttung an die Anteilseigner stellen. Damit sind die Nester der Heuschrecken förmlich Teil der Produktion geworden.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
26,0,-2,-2,3,13,Vergangenheit,"Wirtschaftsgeschichte, Max-Weber, Kapitalismuskritik",Vergangenheit,Anonymisierung durch B?rokratie,Vergangenheit,"Anonymisierung, Verantwortungsethos, B”rsenblase",Arbeitsmarkt: Immer mehr ist immer weniger ,"Weniger Heuschrecke als Maulwurf sieht Max Webers Bürokratiediagnose, die neben Wirtschaft als Schicksal der Moderne ihr Ausgeliefertsein an Anonymisierung und wuchernde Verwaltung setzt. Damit ahnte er Verantwortung ohne Verantwortungsethos, Entscheidungsstrukturen ohne persönliches Risiko, fingierte Erfolge als Spekulationshausse und Wachstum als Börsenblase durchaus voraus.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
27,0,-2,-3,3,14,Vergangenheit,"Managerklasse, Max-Weber, Hollywood",Vergangenheit,"neuer Lebensstil Managerklasse, Mafia, ausgepr?gte F?higkeit zur Selbstbedienung",Gegenwart,"”konomische Klasse, Manager",Arbeitsmarkt: Immer mehr ist immer weniger ,"Dass bereits unter seinen Augen eine neue ökonomische Klasse entstand, entging ihm jedoch: die Manager. Ihr Aufstieg beschleunigte den Prozess der Deprofilierung und Anonymisierung oder besser: Er wurde zum Symptom dieses Prozesses, der inzwischen längst nicht nur die Großbetriebe, sondern auch die mittelständische Wirtschaft erfasst hat. Der Lebensstil dieser neuen Klasse wurde bereits vor mehr als einem halben Jahrhundert von Edward G. Robinson in seriellen Hollywood-Produktionen als Mafia-Stil persifliert: blonde überschlanke Frauen, riesige schwarze Limousinen – heute am besten im Ranger-Look–, Verachtung literarischer Kultur, dafür ostentative Sportbesessenheit und ebenso lautstarke wie unerschöpfliche Konsumbereitschaft markieren den sozialen Charme dieser Gruppe. Dazu gehört die ausgeprägte Fähigkeit zur Selbstbedienung.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
28,0,-3,-3,3,15,Vergangenheit,"Virtualisierung, Arbeitsplatzabbau, B?rse, Kapitalmarkt, Weltbank",Gegenwart,"zunehmende Virtualisierung der ?konomie, drohende ?bernahmen, Abbau von Arbeitspl?tzen",Zukunft,"Zwischenklasse, Strukturwandel, Virtualisierung",Arbeitsmarkt: Immer mehr ist immer weniger ,"Doch es geht nicht um persönliche Schwächen – mögen sie wie in einigen jüngsten Fällen auch abstoßend sein. Es geht darum, dass diese Zwischenklasse einen Strukturwandel markiert: die zunehmende Virtualisierung der Ökonomie. Die soeben noch sicheren Maßstäbe über wertschaffende Prozesse und Bilanzgrößen verflüchtigen sich. Übernahmen drohen von allen Seiten, selbst von solchen, die man eben noch selbst übernehmen wollte. Wer in solcher Lage in riskante Arbeitsplätze investiert, könnte schon morgen tot sein. Nur Abbau von Arbeitsplätzen garantiert das Überleben – zumindest bei Börse, Kapitalmarkt und Weltbank.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
29,-1,-1,-3,3,16,Vergangenheit,"Aporiezentrum, vernichtende Wachstumsdynamik",Gegenwart,"ohne Wachstum keine ?konomie, Wachstumsdynamik wendet sich 'vernichtend' gegen Arbeit",Gegenwart,"Wachstumsdynamik, Arbeit",Arbeitsmarkt: Immer mehr ist immer weniger ,"Damit sind wir im Zentrum der Aporie: Ohne Wachstum keine Ökonomie, die diesen Namen verdient – also keine kapitalistische –, außerhalb dieser Ökonomie keine Arbeit, gegen die sich die Wachstumsdynamik vernichtend wendet.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
