"","year","month","HWWA-E","HWWA-EX"
"2004-01",2004,1,NA,NA
"2004-02",2004,2,NA,NA
"2004-03",2004,3,NA,NA
"2004-04",2004,4,NA,NA
"2004-05",2004,5,NA,NA
"2004-06",2004,6,NA,NA
"2004-07",2004,7,NA,NA
"2004-08",2004,8,NA,NA
"2004-09",2004,9,NA,NA
"2004-10",2004,10,NA,NA
"2004-11",2004,11,NA,NA
"2004-12",2004,12,NA,NA
"2005-01",2005,1,NA,NA
"2005-02",2005,2,NA,NA
"2005-03",2005,3,NA,NA
"2005-04",2005,4,NA,NA
"2005-05",2005,5,NA,NA
"2005-06",2005,6,NA,NA
"2005-07",2005,7,NA,NA
"2005-08",2005,8,NA,NA
"2005-09",2005,9,NA,NA
"2005-10",2005,10,NA,NA
"2005-11",2005,11,NA,NA
"2005-12",2005,12,NA,NA
"2006-01",2006,1,NA,NA
"2006-02",2006,2,NA,NA
"2006-03",2006,3,NA,NA
"2006-04",2006,4,NA,NA
"2006-05",2006,5,NA,NA
"2006-06",2006,6,NA,NA
"2006-07",2006,7,NA,NA
"2006-08",2006,8,NA,NA
"2006-09",2006,9,NA,NA
"2006-10",2006,10,NA,NA
"2006-11",2006,11,NA,NA
"2006-12",2006,12,NA,NA
"2007-01",2007,1,NA,NA
"2007-02",2007,2,NA,NA
"2007-03",2007,3,NA,NA
"2007-04",2007,4,NA,NA
"2007-05",2007,5,NA,NA
"2007-06",2007,6,NA,NA
"2007-07",2007,7,NA,NA
"2007-08",2007,8,NA,NA
"2007-09",2007,9,NA,NA
"2007-10",2007,10,NA,NA
"2007-11",2007,11,NA,NA
"2007-12",2007,12,NA,NA
"2008-01",2008,1,NA,NA
"2008-02",2008,2,NA,NA
"2008-03",2008,3,NA,NA
"2008-04",2008,4,NA,NA
"2008-05",2008,5,NA,NA
"2008-06",2008,6,NA,NA
"2008-07",2008,7,NA,NA
"2008-08",2008,8,NA,NA
"2008-09",2008,9,NA,NA
"2008-10",2008,10,NA,NA
"2008-11",2008,11,NA,NA
"2008-12",2008,12,NA,NA
"2009-01",2009,1,NA,NA
"2009-02",2009,2,NA,NA
"2009-03",2009,3,NA,NA
"2009-04",2009,4,NA,NA
"2009-05",2009,5,NA,NA
"2009-06",2009,6,NA,NA
"2009-07",2009,7,NA,NA
"2009-08",2009,8,NA,NA
"2009-09",2009,9,NA,NA
"2009-10",2009,10,NA,NA
"2009-11",2009,11,NA,NA
"2009-12",2009,12,NA,NA
"2010-01",2010,1,NA,NA
"2010-02",2010,2,NA,NA
"2010-03",2010,3,NA,NA
"2010-04",2010,4,NA,NA
"2010-05",2010,5,NA,NA
"2010-06",2010,6,NA,NA
"2010-07",2010,7,NA,NA
"2010-08",2010,8,NA,NA
"2010-09",2010,9,NA,NA
"2010-10",2010,10,NA,NA
"2010-11",2010,11,NA,NA
"2010-12",2010,12,NA,NA
"2011-01",2011,1,NA,NA
"2011-02",2011,2,NA,NA
"2011-03",2011,3,NA,NA
"2011-04",2011,4,NA,NA
"2011-05",2011,5,NA,NA
"2011-06",2011,6,NA,NA
"2011-07",2011,7,NA,NA
"2011-08",2011,8,NA,NA
"2011-09",2011,9,NA,NA
"2011-10",2011,10,NA,NA
"2011-11",2011,11,NA,NA
"2011-12",2011,12,NA,NA
"2012-01",2012,1,NA,NA
"2012-02",2012,2,NA,NA
"2012-03",2012,3,NA,NA
"2012-04",2012,4,NA,NA
"2012-05",2012,5,NA,NA
"2012-06",2012,6,NA,NA
"2012-07",2012,7,NA,NA
"2012-08",2012,8,NA,NA
"2012-09",2012,9,NA,NA
"2012-10",2012,10,NA,NA
"2012-11",2012,11,NA,NA
"2012-12",2012,12,NA,NA
"2013-01",2013,1,NA,NA
"2013-02",2013,2,NA,NA
"2013-03",2013,3,NA,NA
"2013-04",2013,4,NA,NA
"2013-05",2013,5,NA,NA
"2013-06",2013,6,NA,NA
"2013-07",2013,7,NA,NA
"2013-08",2013,8,NA,NA
"2013-09",2013,9,NA,NA
"2013-10",2013,10,NA,NA
"2013-11",2013,11,NA,NA
"2013-12",2013,12,NA,NA
"2014-01",2014,1,NA,NA
"2014-02",2014,2,NA,NA
"2014-03",2014,3,NA,NA
"2014-04",2014,4,NA,NA
"2014-05",2014,5,NA,NA
"2014-06",2014,6,NA,NA
"2014-07",2014,7,NA,NA
"2014-08",2014,8,NA,NA
"2014-09",2014,9,NA,NA
"2014-10",2014,10,NA,NA
"2014-11",2014,11,NA,NA
"2014-12",2014,12,NA,NA
"2015-01",2015,1,NA,NA
"2015-02",2015,2,NA,NA
"2015-03",2015,3,NA,NA
"2015-04",2015,4,NA,NA
"2015-05",2015,5,NA,NA
"2015-06",2015,6,NA,NA
"2015-07",2015,7,NA,NA
"2015-08",2015,8,NA,NA
"2015-09",2015,9,NA,NA
"2015-10",2015,10,NA,NA
"2015-11",2015,11,NA,NA
"2015-12",2015,12,NA,NA
