"",BBEX3.M.PGK.USD.CM.AB.A01,BBEX3.M.PGK.USD.CM.AB.A01_FLAGS
2013-07,0.4021,
2013-08,0.3926,
2013-09,0.3601,
2013-10,0.3566,
2013-11,0.3600,
2013-12,0.3730,
2014-01,0.3598,
2014-02,0.3442,
2014-03,0.3318,
2014-04,0.3316,
2014-05,0.3228,
2014-06,0.4045,
2014-07,0.4010,
2014-08,0.3985,
2014-09,0.3955,
2014-10,0.3890,
2014-11,0.3845,
2014-12,0.3780,
2015-01,0.3740,
2015-02,0.3710,
"","General: Until 18 April 1975, the Australian dollar (AUD) was the sole legal tender. On 19 April 1975, the kina (PGK) was introduced as the country's own currency at a rate of PGK 1 = AUD 1; the Australian dollar remained legal tender alongside the kina until 31 December 1975. Thereafter, the exchange rates for the kina and the Australian dollar were as follows: until 24 July 1976: PGK 1 = AUD 1; from 25 July 1976: PGK 1 = AUD 1.05; from 29 November 1976: PGK 1 = AUD 1.1812. On 17 December 1976, the kina ceased to be pegged to the Australian dollar.",
"","Source: Since November 2013: Bank South Pacific, Port Moresby April 2008 - October 2013: ANZ Banking Group (PNG) Limited, Port Moresby  1983 - March 2008: Westpac Bank (PNG) Limited, Port Moresby (October 2007 ANZ Banking Group)  1976 - 1982: Bank of Papua New Guinea, Port Moresby",
"",Comment on 1976-01: Exchange rate as of 12 January 1976.,
"","Comment on 1983-03: On 8 March 1983, following the depreciation of the Australian dollar, the kina was devalued by 5.5% against the trade-weighted currency basket.",
"","Comment on 1990-01: On 9 January 1990, the kina was devalued. We recorded the following exchange rates (middle).  PGK 1 = USD 1.1581  PGK 1 = USD 1.0443  Calculated devaluation: 9.8%.",
"","Comment on 1994-09: On 12 September 1994, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate).  9 September 1994: PGK 1 = USD 1.0574 / 1.0494  12 September 1994: PGK 1 = USD 0.9303 / 0.9223  Calculated devaluation: 12.1% (middle rate).",
