"",BBEX3.M.PYG.USD.CA.AC.A01,BBEX3.M.PYG.USD.CA.AC.A01_FLAGS
1999-08,3309.500,
1999-09,3311.500,
1999-10,3313.500,
1999-11,3317.000,
1999-12,3349.500,
2000-01,3349.500,
2000-02,3499.000,
2000-03,3520.000,
2000-04,3486.500,
2000-05,3492.500,
2000-06,3500.000,
2000-07,3504.500,
2000-08,3499.500,
2000-09,3487.500,
2000-10,3477.500,
2000-11,3533.000,
2000-12,3544.500,
2001-01,3593.500,
2001-02,3743.500,
2001-03,3793.000,
2001-04,3795.500,
2001-05,3870.000,
2001-06,4009.500,
2001-07,4287.000,
2001-08,4342.500,
2001-09,4447.000,
2001-10,4582.500,
2001-11,4713.000,
2001-12,4680.000,
2002-01,4836.500,
2002-02,4906.000,
2002-03,4829.000,
2002-04,4824.500,
2002-05,5254.000,
2002-06,6005.000,
2002-07,6000.000,
2002-08,6175.000,
2002-09,5995.000,
2002-10,6525.000,
2002-11,7000.000,
2002-12,7175.000,
2003-01,7000.000,
2003-02,6885.000,
2003-03,6890.000,
2003-04,6840.000,
2003-05,6275.000,
2003-06,6250.000,
2003-07,6100.000,
2003-08,6310.000,
2003-09,6300.000,
2003-10,6225.000,
2003-11,6100.000,
2003-12,6120.000,
2004-01,6210.000,
2004-02,6037.500,
2004-03,5875.000,
2004-04,5730.000,
2004-05,5985.000,
2004-06,5900.000,
2004-07,5915.000,
2004-08,5912.500,
2004-09,5950.000,
2004-10,6070.000,
2004-11,6130.000,
2004-12,6250.000,
2005-01,6340.000,
2005-02,6260.000,
2005-03,6302.500,
2005-04,6270.000,
2005-05,6235.000,
2005-06,6080.000,
2005-07,5995.000,
2005-08,6090.000,
2005-09,6110.000,
2005-10,6140.000,
2005-11,6147.500,
2005-12,6120.000,
2006-01,6135.000,
2006-02,6000.000,
2006-03,5950.000,
2006-04,5765.000,
2006-05,5775.000,
2006-06,5575.000,
2006-07,5485.000,
2006-08,5415.000,
2006-09,5380.000,
2006-10,5400.000,
2006-11,5410.000,
2006-12,5190.000,
2007-01,5260.000,
2007-02,5190.000,
2007-03,5065.000,
2007-04,5115.000,
2007-05,5050.000,
2007-06,5155.000,
2007-07,5110.000,
2007-08,5105.000,
2007-09,5045.000,
2007-10,4840.000,
2007-11,4730.000,
2007-12,4875.000,
2008-01,4700.000,
2008-02,4610.000,
2008-03,4395.000,
2008-04,4120.000,
2008-05,4080.000,
2008-06,3975.000,
2008-07,4000.000,
2008-08,3990.000,
2008-09,4000.000,
2008-10,4625.000,
2008-11,4880.000,
2008-12,4945.000,
2009-01,5060.000,
2009-02,5145.000,
2009-03,5110.000,
2009-04,5065.000,
2009-05,5045.000,
2009-06,5025.000,
2009-07,4990.000,
2009-08,4960.000,
2009-09,4890.000,
2009-10,4865.000,
2009-11,4785.000,
2009-12,4610.000,
2010-01,4755.000,
2010-02,4716.305,
2010-03,4696.320,
2010-04,4726.390,
2010-05,4745.735,
2010-06,4760.360,
2010-07,4752.525,
2010-08,4776.390,
2010-09,4843.350,
2010-10,4939.550,
2010-11,4667.565,
2010-12,4565.325,
2011-01,4639.790,
2011-02,4562.700,
2011-03,4062.995,
2011-04,3969.335,
2011-05,4042.715,
2011-06,3990.375,
2011-07,3801.460,
2011-08,3898.035,
2011-09,4171.210,
2011-10,4207.795,
2011-11,4458.215,
2011-12,4491.995,
2012-01,4727.490,
2012-02,4259.570,
2012-03,4333.270,
2012-04,4322.545,
2012-05,4517.975,
2012-06,4527.710,
2012-07,4406.050,
2012-08,4417.760,
2012-09,4455.260,
2012-10,4468.320,
2012-11,4424.880,
2012-12,4238.025,
2013-01,4121.675,
2013-02,3996.405,
2013-03,4011.145,
2013-04,4111.670,
2013-05,4294.770,
2013-06,4493.565,
2013-07,4428.865,
2013-08,4473.130,
2013-09,4443.225,
2013-10,4433.995,
2013-11,4427.175,
2013-12,4598.175,
2014-01,4686.505,
2014-02,4436.260,
2014-03,4442.075,
2014-04,4434.405,
2014-05,4423.420,
2014-06,4386.935,
2014-07,4298.035,
2014-08,4266.390,
2014-09,4499.060,
2014-10,4618.595,
2014-11,4630.285,
2014-12,4635.730,
2015-01,4818.770,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since 2003 Banco Central del Paraguay, Asunción 1990 - end of 2002 Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG)",
