"",BBEX3.M.TND.USD.CA.AB.A01,BBEX3.M.TND.USD.CA.AB.A01_FLAGS
1991-12,0.8688,
1992-01,0.9137,
1992-02,0.9211,
1992-03,0.9245,
1992-04,0.9249,
1992-05,0.9031,
1992-06,0.8643,
1992-07,0.8391,
1992-08,0.8125,
1992-09,0.8158,
1992-10,0.8852,
1992-11,0.9291,
1992-12,0.9554,
1993-01,0.9616,
1993-02,1.0060,
1993-03,0.9979,
1993-04,0.9720,
1993-05,0.9797,
1993-06,1.0187,
1993-07,1.0480,
1993-08,1.0292,
1993-09,1.0058,
1993-10,1.0315,
1993-11,1.0470,
1993-12,1.0518,
1994-01,1.0640,
1994-02,1.0597,
1994-03,1.0405,
1994-04,1.0358,
1994-05,1.0271,
1994-06,1.0040,
1994-07,1.0064,
1994-08,0.9995,
1994-09,0.9853,
1994-10,0.9699,
1994-11,1.0014,
1994-12,0.9965,
1995-01,0.9762,
1995-02,0.9697,
1995-03,0.9363,
1995-04,0.9232,
1995-05,0.9348,
1995-06,0.9319,
1995-07,0.9181,
1995-08,0.9607,
1995-09,0.9424,
1995-10,0.9405,
1995-11,0.9459,
1995-12,0.9542,
1996-01,0.9780,
1996-02,0.9655,
1996-03,0.9671,
1996-04,0.9836,
1996-05,0.9934,
1996-06,0.9868,
1996-07,0.9648,
1996-08,0.9683,
1996-09,0.9861,
1996-10,0.9783,
1996-11,0.9888,
1996-12,1.0020,
1997-01,1.0470,
1997-02,1.0778,
1997-03,1.0749,
1997-04,1.1033,
1997-05,1.0931,
1997-06,1.1072,
1997-07,1.1550,
1997-08,1.1450,
1997-09,1.1325,
1997-10,1.1113,
1997-11,1.1271,
1997-12,1.1500,
1998-01,1.1598,
1998-02,1.1682,
1998-03,1.1874,
1998-04,1.1596,
1998-05,1.1568,
1998-06,1.1674,
1998-07,1.1542,
1998-08,1.1496,
1998-09,1.1015,
1998-10,1.0833,
1998-11,1.1178,
1998-12,1.1018,
1999-01,1.1192,
1999-02,1.1599,
1999-03,1.1847,
1999-04,1.1930,
1999-05,1.2077,
1999-06,1.2264,
1999-07,1.1982,
1999-08,1.2105,
1999-09,1.1971,
1999-10,1.2017,
1999-11,1.2482,
1999-12,1.2650,
2000-01,1.2821,
2000-02,1.2991,
2000-03,1.3159,
2000-04,1.3741,
2000-05,1.3762,
2000-06,1.3419,
2000-07,1.3752,
2000-08,1.4140,
2000-09,1.4360,
2000-10,1.4826,
2000-11,1.4660,
2000-12,1.3915,
2001-01,1.3849,
2001-02,1.3918,
2001-03,1.4434,
2001-04,1.4371,
2001-05,1.4928,
2001-06,1.5050,
2001-07,1.4731,
2001-08,1.4277,
2001-09,1.4286,
2001-10,1.4396,
2001-11,1.4621,
2001-12,1.4660,
2002-01,1.4929,
2002-02,1.4930,
2002-03,1.4977,
2002-04,1.4654,
2002-05,1.4339,
2002-06,1.3781,
2002-07,1.3752,
2002-08,1.3812,
2002-09,1.3889,
2002-10,1.3904,
2002-11,1.3860,
2002-12,1.3445,
2003-01,1.3088,
2003-02,1.3212,
2003-03,1.3210,
2003-04,1.3044,
2003-05,1.2526,
2003-06,1.2801,
2003-07,1.2899,
2003-08,1.3221,
2003-09,1.2691,
2003-10,1.2742,
2003-11,1.2559,
2003-12,1.2143,
2004-01,1.2324,
2004-02,1.2369,
2004-03,1.2504,
2004-04,1.2841,
2004-05,1.2670,
2004-06,1.2779,
2004-07,1.2803,
2004-08,1.2793,
2004-09,1.2643,
2004-10,1.2352,
2004-11,1.2144,
2004-12,1.2001,
2005-01,1.2362,
2005-02,1.2243,
2005-03,1.2520,
2005-04,1.2506,
2005-05,1.3022,
2005-06,1.3331,
2005-07,1.3398,
2005-08,1.3308,
2005-09,1.3476,
2005-10,1.3477,
2005-11,1.3760,
2005-12,1.3659,
2006-01,1.3513,
2006-02,1.3666,
2006-03,1.3505,
2006-04,1.3280,
2006-05,1.3106,
2006-06,1.3255,
2006-07,1.3256,
2006-08,1.3243,
2006-09,1.3372,
2006-10,1.3337,
2006-11,1.3046,
2006-12,1.3060,
2007-01,1.3203,
2007-02,1.3030,
2007-03,1.3017,
2007-04,1.2906,
2007-05,1.3042,
2007-06,1.3029,
2007-07,1.2779,
2007-08,1.2789,
2007-09,1.2526,
2007-10,1.2370,
2007-11,1.2206,
2007-12,1.2243,
2008-01,1.2140,
2008-02,1.1970,
2008-03,1.1635,
2008-04,1.1758,
2008-05,1.1793,
2008-06,1.1704,
2008-07,1.1801,
2008-08,1.2281,
2008-09,1.2468,
2008-10,1.3753,
2008-11,1.3852,
2008-12,1.3301,
2009-01,1.4285,
2009-02,1.4608,
2009-03,1.4149,
2009-04,1.4012,
2009-05,1.3561,
2009-06,1.3442,
2009-07,1.3446,
2009-08,1.3362,
2009-09,1.3071,
2009-10,1.2925,
2009-11,1.2761,
2009-12,1.3165,
2010-01,1.3515,
2010-02,1.3988,
2010-03,1.4128,
2010-04,1.4259,
2010-05,1.5040,
2010-06,1.5195,
2010-07,1.4610,
2010-08,1.4928,
2010-09,1.4298,
2010-10,1.3993,
2010-11,1.4571,
2010-12,1.4378,
2011-01,1.4178,
2011-02,1.4084,
2011-03,1.3865,
2011-04,1.3451,
2011-05,1.3709,
2011-06,1.3656,
2011-07,1.3739,
2011-08,1.3596,
2011-09,1.4265,
2011-10,1.4006,
2011-11,1.4542,
2011-12,1.5014,
2012-01,1.4955,
2012-02,1.4845,
2012-03,1.4950,
2012-04,1.5320,
2012-05,1.6076,
2012-06,1.5906,
2012-07,1.6206,
2012-08,1.5950,
2012-09,1.5679,
2012-10,1.5680,
2012-11,1.5683,
2012-12,1.5536,
2013-01,1.5386,
2013-02,1.5754,
2013-03,1.5948,
2013-04,1.6006,
2013-05,1.6325,
2013-06,1.6357,
2013-07,1.6383,
2013-08,1.6435,
2013-09,1.6177,
2013-10,1.6434,
2013-11,1.6666,
2013-12,1.6429,
2014-01,1.6085,
2014-02,1.5790,
2014-03,1.5839,
2014-04,1.5996,
2014-05,1.6321,
2014-06,1.6790,
2014-07,1.7206,
2014-08,1.7391,
2014-09,1.7960,
2014-10,1.8181,
2014-11,1.8310,
2014-12,1.8634,
2015-01,1.9340,
"","Source: Banque Centrale de Tunisie, Tunis",
"","Comment on 1986-08: On 19 August 1986, the Tunisian dinar was devalued. We recorded the following exchange rates (buying/selling rate): 18 August 1986: USD 1 = TND 0.7777 / 0.7855 19 August 1986: USD 1 = TND 0.8601 / 0.8687 Calculated devaluation: 9.6%.",
