"",BBEX3.D.ARS.EUR.CA.AC.000,BBEX3.D.ARS.EUR.CA.AC.000_FLAGS
2002-04-26,.,No value available
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,2.61940,
2002-04-30,2.63715,
2002-05-01,.,No value available
2002-05-02,2.75340,
2002-05-03,2.88840,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,2.88495,
2002-05-07,2.87895,
2002-05-08,2.85000,
2002-05-09,2.85095,
2002-05-10,2.92145,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,2.91540,
2002-05-14,2.88720,
2002-05-15,2.90705,
2002-05-16,2.91695,
2002-05-17,3.08620,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,3.22405,
2002-05-21,3.12920,
2002-05-22,3.14790,
2002-05-23,3.09090,
2002-05-24,3.12850,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,3.17730,
2002-05-28,3.20695,
2002-05-29,3.31770,
2002-05-30,3.33860,
2002-05-31,3.30205,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,3.34920,
2002-06-04,3.36490,
2002-06-05,3.38025,
2002-06-06,3.40185,
2002-06-07,3.40255,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,3.24940,
2002-06-11,3.26355,
2002-06-12,3.25905,
2002-06-13,3.24735,
2002-06-14,3.33255,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,.,No value available
2002-06-18,3.32375,
2002-06-19,3.35505,
2002-06-20,3.43200,
2002-06-21,3.57385,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,3.64105,
2002-06-25,3.74395,
2002-06-26,3.75045,
2002-06-27,3.69840,
2002-06-28,3.71340,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,3.69380,
2002-07-02,3.53215,
2002-07-03,3.47325,
2002-07-04,3.44205,
2002-07-05,3.45575,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,3.45535,
2002-07-09,.,No value available
2002-07-10,3.46910,
2002-07-11,3.50760,
2002-07-12,3.51220,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,3.57430,
2002-07-16,3.54320,
2002-07-17,3.54835,
2002-07-18,3.53405,
2002-07-19,3.57675,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,3.59025,
2002-07-23,3.59160,
2002-07-24,3.57475,
2002-07-25,3.60270,
2002-07-26,3.57085,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,3.53110,
2002-07-30,3.56885,
2002-07-31,3.57135,
2002-08-01,3.50075,
2002-08-02,3.53110,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,3.52660,
2002-08-06,3.45595,
2002-08-07,3.49830,
2002-08-08,3.47920,
2002-08-09,3.47995,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,3.49200,
2002-08-13,3.51110,
2002-08-14,3.53380,
2002-08-15,3.53240,
2002-08-16,3.53095,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,.,No value available
2002-08-20,3.49820,
2002-08-21,3.46410,
2002-08-22,3.43185,
2002-08-23,3.46845,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,3.47850,
2002-08-27,3.50700,
2002-08-28,3.48970,
2002-08-29,3.51450,
2002-08-30,3.51255,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,3.52400,
2002-09-03,3.57295,
2002-09-04,3.57030,
2002-09-05,3.55260,
2002-09-06,3.52115,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,3.51000,
2002-09-10,3.48890,
2002-09-11,3.48200,
2002-09-12,3.50970,
2002-09-13,3.49070,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,3.49435,
2002-09-17,3.47280,
2002-09-18,3.51915,
2002-09-19,3.56695,
2002-09-20,3.53760,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,3.53585,
2002-09-24,3.53500,
2002-09-25,3.54020,
2002-09-26,3.53945,
2002-09-27,3.61950,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,3.64185,
2002-10-01,3.63230,
2002-10-02,3.64395,
2002-10-03,3.65245,
2002-10-04,3.62065,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,3.63025,
2002-10-08,3.60460,
2002-10-09,3.62910,
2002-10-10,3.59980,
2002-10-11,3.60055,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,.,No value available
2002-10-15,3.53940,
2002-10-16,3.48415,
2002-10-17,3.44725,
2002-10-18,3.47705,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,3.48355,
2002-10-22,3.49555,
2002-10-23,3.47935,
2002-10-24,3.47475,
2002-10-25,3.48700,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,3.49055,
2002-10-29,3.47550,
2002-10-30,3.44000,
2002-10-31,3.43330,
2002-11-01,3.47900,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,3.50365,
2002-11-05,3.48985,
2002-11-06,.,No value available
2002-11-07,3.54970,
2002-11-08,3.55370,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,3.54810,
2002-11-12,3.54810,
2002-11-13,3.50350,
2002-11-14,3.52530,
2002-11-15,3.51915,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,3.50525,
2002-11-19,3.48540,
2002-11-20,3.47955,
2002-11-21,3.45530,
2002-11-22,3.44055,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,3.42570,
2002-11-26,3.40000,
2002-11-27,3.41880,
2002-11-28,3.49835,
2002-11-29,3.56685,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,3.51220,
2002-12-03,3.47800,
2002-12-04,3.48050,
2002-12-05,3.47670,
2002-12-06,3.50625,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,3.50870,
2002-12-10,3.49800,
2002-12-11,3.48820,
2002-12-12,3.51435,
2002-12-13,3.53925,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,3.56415,
2002-12-17,3.58125,
2002-12-18,3.53370,
2002-12-19,3.49750,
2002-12-20,3.52825,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,3.50400,
2002-12-24,.,No value available
2002-12-25,.,No value available
2002-12-26,3.47245,
2002-12-27,3.48485,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,3.48635,
2002-12-31,.,No value available
2003-01-01,.,No value available
2003-01-02,3.41370,
2003-01-03,3.41945,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,3.43075,
2003-01-07,3.36325,
2003-01-08,3.40515,
2003-01-09,3.44910,
2003-01-10,3.48465,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,3.46220,
2003-01-14,3.37875,
2003-01-15,3.35855,
2003-01-16,3.39920,
2003-01-17,3.38065,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,3.35400,
2003-01-21,3.26700,
2003-01-22,3.28140,
2003-01-23,3.32685,
2003-01-24,3.43515,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,3.54750,
2003-01-28,3.53995,
2003-01-29,3.53270,
2003-01-30,3.44815,
2003-01-31,3.39020,
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,3.36805,
2003-02-04,3.39595,
2003-02-05,3.35085,
2003-02-06,3.35995,
2003-02-07,3.34815,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,3.30715,
2003-02-11,3.28625,
2003-02-12,3.28075,
2003-02-13,3.36300,
2003-02-14,3.37365,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,3.33995,
2003-02-18,3.33510,
2003-02-19,3.37185,
2003-02-20,3.41925,
2003-02-21,3.38945,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,3.36790,
2003-02-25,3.35650,
2003-02-26,3.36790,
2003-02-27,3.37535,
2003-02-28,3.38665,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,3.43665,
2003-03-04,3.40965,
2003-03-05,3.41965,
2003-03-06,3.44315,
2003-03-07,3.41710,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,3.41520,
2003-03-11,3.39985,
2003-03-12,3.37595,
2003-03-13,3.33630,
2003-03-14,3.29335,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,3.23955,
2003-03-18,3.19860,
2003-03-19,3.13450,
2003-03-20,3.16220,
2003-03-21,3.12340,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,3.12805,
2003-03-25,3.07945,
2003-03-26,3.04250,
2003-03-27,3.02255,
2003-03-28,3.16045,
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,.,No value available
2003-04-01,3.16800,
2003-04-02,3.06735,
2003-04-03,3.06020,
2003-04-04,3.05335,
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,3.03225,
2003-04-08,3.06820,
2003-04-09,3.08770,
2003-04-10,3.06255,
2003-04-11,3.06675,
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,3.10075,
2003-04-15,3.13705,
2003-04-16,.,No value available
2003-04-17,.,No value available
2003-04-18,.,No value available
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,3.08210,
2003-04-22,3.07150,
2003-04-23,3.05405,
2003-04-24,3.10235,
2003-04-25,3.09960,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,3.08750,
2003-04-29,3.09330,
2003-04-30,3.09175,
2003-05-01,.,No value available
2003-05-02,3.07555,
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,3.10215,
2003-05-06,3.12525,
2003-05-07,3.11660,
2003-05-08,3.11515,
2003-05-09,3.13665,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,3.14365,
2003-05-13,3.13355,
2003-05-14,3.16265,
2003-05-15,3.19945,
2003-05-16,3.33900,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,3.34085,
2003-05-20,3.30755,
2003-05-21,3.27095,
2003-05-22,3.30595,
2003-05-23,3.37055,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,3.34665,
2003-05-27,3.34605,
2003-05-28,.,No value available
2003-05-29,3.36445,
2003-05-30,3.29965,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,3.29155,
2003-06-03,3.26220,
2003-06-04,3.24120,
2003-06-05,3.29665,
2003-06-06,.,No value available
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,3.24820,
2003-06-10,3.23100,
2003-06-11,3.25725,
2003-06-12,3.27620,
2003-06-13,3.28730,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,.,No value available
2003-06-17,3.24900,
2003-06-18,3.20520,
2003-06-19,3.22505,
2003-06-20,3.19210,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,3.16980,
2003-06-24,3.12515,
2003-06-25,3.15320,
2003-06-26,3.13415,
2003-06-27,.,No value available
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,3.15685,
2003-07-01,3.18355,
2003-07-02,3.16705,
2003-07-03,3.15115,
2003-07-04,3.15305,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,3.09860,
2003-07-08,3.07830,
2003-07-09,.,No value available
2003-07-10,3.08780,
2003-07-11,3.06380,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,3.06885,
2003-07-15,3.04655,
2003-07-16,3.06020,
2003-07-17,3.07495,
2003-07-18,3.10540,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,3.11455,
2003-07-22,3.08910,
2003-07-23,3.13145,
2003-07-24,3.16060,
2003-07-25,3.18920,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,3.20265,
2003-07-29,3.20545,
2003-07-30,3.24455,
2003-07-31,3.22290,
2003-08-01,3.24935,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,3.30055,
2003-08-05,3.27345,
2003-08-06,3.25985,
2003-08-07,3.27675,
2003-08-08,3.25520,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,3.25535,
2003-08-12,3.22265,
2003-08-13,3.20795,
2003-08-14,3.19845,
2003-08-15,3.20130,
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,.,No value available
2003-08-19,3.16525,
2003-08-20,3.18200,
2003-08-21,3.16520,
2003-08-22,3.15505,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,3.12815,
2003-08-26,3.14995,
2003-08-27,3.16505,
2003-08-28,3.15360,
2003-08-29,3.18745,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,3.19155,
2003-09-02,3.17360,
2003-09-03,3.18275,
2003-09-04,3.17175,
2003-09-05,3.19610,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,3.20660,
2003-09-09,3.24705,
2003-09-10,3.23055,
2003-09-11,3.18730,
2003-09-12,3.22435,
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,3.20735,
2003-09-16,3.17720,
2003-09-17,3.22450,
2003-09-18,3.21620,
2003-09-19,3.25140,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,3.27625,
2003-09-23,3.26995,
2003-09-24,3.25990,
2003-09-25,3.26905,
2003-09-26,3.27540,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,3.31490,
2003-09-30,3.33670,
2003-10-01,3.33505,
2003-10-02,3.33620,
2003-10-03,3.28050,
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,3.29640,
2003-10-07,3.32620,
2003-10-08,3.31325,
2003-10-09,3.27550,
2003-10-10,3.28995,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,.,No value available
2003-10-14,3.27125,
2003-10-15,3.24325,
2003-10-16,3.24720,
2003-10-17,3.25020,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,3.27020,
2003-10-21,3.26355,
2003-10-22,3.30860,
2003-10-23,3.29050,
2003-10-24,3.29845,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,3.28115,
2003-10-28,3.26720,
2003-10-29,3.27410,
2003-10-30,3.28065,
2003-10-31,3.26330,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,3.21190,
2003-11-04,3.22705,
2003-11-05,3.21465,
2003-11-06,.,No value available
2003-11-07,3.22200,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,3.22410,
2003-11-11,3.23530,
2003-11-12,3.27245,
2003-11-13,3.29395,
2003-11-14,3.31450,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,3.30300,
2003-11-18,3.34770,
2003-11-19,3.36135,
2003-11-20,3.36500,
2003-11-21,3.38370,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,3.35080,
2003-11-25,3.38445,
2003-11-26,3.49770,
2003-11-27,3.46875,
2003-11-28,3.52520,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,3.50325,
2003-12-02,3.53445,
2003-12-03,3.52865,
2003-12-04,3.53305,
2003-12-05,3.56620,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,.,No value available
2003-12-09,3.55470,
2003-12-10,3.55440,
2003-12-11,3.55205,
2003-12-12,3.59600,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,3.60820,
2003-12-16,3.62115,
2003-12-17,3.63815,
2003-12-18,3.64565,
2003-12-19,3.63640,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,3.63540,
2003-12-23,3.63255,
2003-12-24,3.65065,
2003-12-25,.,No value available
2003-12-26,3.63680,
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,3.64320,
2003-12-30,3.64665,
2003-12-31,3.65200,
2004-01-01,.,No value available
2004-01-02,3.65190,
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,3.62255,
2004-01-06,3.64300,
2004-01-07,3.63835,
2004-01-08,3.66910,
2004-01-09,3.68695,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,3.61695,
2004-01-13,3.62270,
2004-01-14,3.63170,
2004-01-15,3.58285,
2004-01-16,3.54150,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,3.54360,
2004-01-20,3.61495,
2004-01-21,3.65370,
2004-01-22,3.64880,
2004-01-23,3.64245,
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,3.62250,
2004-01-27,3.65130,
2004-01-28,3.66400,
2004-01-29,3.63000,
2004-01-30,3.62380,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,3.60145,
2004-02-03,3.65805,
2004-02-04,3.66560,
2004-02-05,3.69945,
2004-02-06,3.72935,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,3.70775,
2004-02-10,3.70045,
2004-02-11,3.74185,
2004-02-12,3.72860,
2004-02-13,3.69475,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,3.70090,
2004-02-17,3.73475,
2004-02-18,3.72825,
2004-02-19,3.70365,
2004-02-20,3.64520,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,3.65040,
2004-02-24,3.67380,
2004-02-25,3.62955,
2004-02-26,3.61625,
2004-02-27,3.62020,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,3.60745,
2004-03-02,3.53755,
2004-03-03,3.50225,
2004-03-04,3.53870,
2004-03-05,3.60090,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,3.60055,
2004-03-09,3.59625,
2004-03-10,3.55090,
2004-03-11,3.55535,
2004-03-12,3.53405,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,3.53030,
2004-03-16,3.52715,
2004-03-17,3.50180,
2004-03-18,3.55320,
2004-03-19,3.50410,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,3.51980,
2004-03-23,3.51820,
2004-03-24,3.47910,
2004-03-25,3.47650,
2004-03-26,3.46675,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,3.46125,
2004-03-30,3.46125,
2004-03-31,3.49135,
2004-04-01,3.48865,
2004-04-02,3.42585,
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,.,No value available
2004-04-06,3.39225,
2004-04-07,3.39070,
2004-04-08,.,No value available
2004-04-09,.,No value available
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,3.36685,
2004-04-13,3.33430,
2004-04-14,3.33210,
2004-04-15,3.35190,
2004-04-16,3.35985,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,3.37165,
2004-04-20,3.35885,
2004-04-21,3.35755,
2004-04-22,3.37525,
2004-04-23,3.35225,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,3.33435,
2004-04-27,3.35605,
2004-04-28,3.34980,
2004-04-29,3.38645,
2004-04-30,3.37850,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,3.37580,
2004-05-04,3.42860,
2004-05-05,3.46085,
2004-05-06,3.47670,
2004-05-07,3.44765,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,3.43630,
2004-05-11,3.42670,
2004-05-12,3.45970,
2004-05-13,3.42595,
2004-05-14,3.42840,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,3.47135,
2004-05-18,3.45215,
2004-05-19,3.46715,
2004-05-20,3.48775,
2004-05-21,3.52385,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,3.53710,
2004-05-25,.,No value available
2004-05-26,3.56205,
2004-05-27,3.61830,
2004-05-28,3.59815,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,3.58340,
2004-06-01,3.59610,
2004-06-02,3.56960,
2004-06-03,3.60140,
2004-06-04,3.61910,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,3.63610,
2004-06-08,3.60680,
2004-06-09,3.55255,
2004-06-10,3.56485,
2004-06-11,3.54340,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,3.54910,
2004-06-15,3.56225,
2004-06-16,3.52335,
2004-06-17,3.54465,
2004-06-18,3.57460,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,.,No value available
2004-06-22,3.55345,
2004-06-23,3.53230,
2004-06-24,3.56260,
2004-06-25,3.56295,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,3.58305,
2004-06-29,3.57100,
2004-06-30,3.57365,
2004-07-01,3.56840,
2004-07-02,3.60960,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,3.58570,
2004-07-06,3.59115,
2004-07-07,3.62110,
2004-07-08,3.64150,
2004-07-09,.,No value available
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,3.63975,
2004-07-13,3.60480,
2004-07-14,3.62385,
2004-07-15,3.60835,
2004-07-16,3.63580,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,3.64170,
2004-07-20,3.62420,
2004-07-21,3.58720,
2004-07-22,3.60215,
2004-07-23,3.57075,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,3.58905,
2004-07-27,3.55885,
2004-07-28,3.56270,
2004-07-29,3.55945,
2004-07-30,3.55600,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,3.56830,
2004-08-03,3.58895,
2004-08-04,3.61845,
2004-08-05,3.66760,
2004-08-06,3.73145,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,3.69100,
2004-08-10,3.68555,
2004-08-11,3.67105,
2004-08-12,3.66235,
2004-08-13,3.70105,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,.,No value available
2004-08-17,3.69170,
2004-08-18,3.68510,
2004-08-19,3.69540,
2004-08-20,3.67960,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,3.64195,
2004-08-24,3.59240,
2004-08-25,3.59120,
2004-08-26,3.61745,
2004-08-27,3.59140,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,3.60125,
2004-08-31,3.62580,
2004-09-01,3.63675,
2004-09-02,3.62475,
2004-09-03,3.58925,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,3.58820,
2004-09-07,3.59275,
2004-09-08,3.62710,
2004-09-09,3.63310,
2004-09-10,3.64410,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,3.64995,
2004-09-14,3.63920,
2004-09-15,3.59385,
2004-09-16,3.61850,
2004-09-17,3.61610,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,3.62220,
2004-09-21,3.65970,
2004-09-22,3.64275,
2004-09-23,3.66470,
2004-09-24,3.65050,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,3.65610,
2004-09-28,3.65525,
2004-09-29,3.65240,
2004-09-30,3.68010,
2004-10-01,3.66905,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,3.61880,
2004-10-05,3.63800,
2004-10-06,3.62725,
2004-10-07,3.63120,
2004-10-08,3.66040,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,.,No value available
2004-10-12,3.62805,
2004-10-13,3.63760,
2004-10-14,3.65960,
2004-10-15,3.66990,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,3.66745,
2004-10-19,3.68235,
2004-10-20,3.70015,
2004-10-21,3.70880,
2004-10-22,3.71765,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,3.77355,
2004-10-26,3.76525,
2004-10-27,3.75510,
2004-10-28,3.77175,
2004-10-29,3.77320,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,3.75775,
2004-11-02,3.72805,
2004-11-03,3.75620,
2004-11-04,3.78550,
2004-11-05,3.80300,
2004-11-06,.,No value available
2004-11-07,.,No value available
2004-11-08,3.81820,
2004-11-09,3.80315,
2004-11-10,3.79890,
2004-11-11,3.80295,
2004-11-12,3.81245,
2004-11-13,.,No value available
2004-11-14,.,No value available
2004-11-15,3.79280,
2004-11-16,3.80440,
2004-11-17,3.79450,
2004-11-18,3.77865,
2004-11-19,3.81320,
2004-11-20,.,No value available
2004-11-21,.,No value available
2004-11-22,3.82085,
2004-11-23,3.82390,
2004-11-24,3.84810,
2004-11-25,3.87080,
2004-11-26,3.88245,
2004-11-27,.,No value available
2004-11-28,.,No value available
2004-11-29,3.89690,
2004-11-30,3.88340,
2004-12-01,3.89255,
2004-12-02,3.90120,
2004-12-03,3.96135,
2004-12-04,.,No value available
2004-12-05,.,No value available
2004-12-06,3.98250,
2004-12-07,3.97130,
2004-12-08,.,No value available
2004-12-09,3.92450,
2004-12-10,3.91505,
2004-12-11,.,No value available
2004-12-12,.,No value available
2004-12-13,3.92985,
2004-12-14,3.93100,
2004-12-15,3.96385,
2004-12-16,3.93645,
2004-12-17,3.93000,
2004-12-18,.,No value available
2004-12-19,.,No value available
2004-12-20,3.94010,
2004-12-21,3.94090,
2004-12-22,3.93720,
2004-12-23,.,No value available
2004-12-24,3.96970,
2004-12-25,.,No value available
2004-12-26,.,No value available
2004-12-27,4.00930,
2004-12-28,4.02310,
2004-12-29,4.01550,
2004-12-30,4.02780,
2004-12-31,4.03180,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,3.97405,
2005-01-04,3.91335,
2005-01-05,3.91690,
2005-01-06,3.88240,
2005-01-07,3.84310,
