"",BBDL1.M.DE.N.UNE.UBA000.A0000.A01.D00.0.R00.A,BBDL1.M.DE.N.UNE.UBA000.A0000.A01.D00.0.R00.A_FLAGS
2014-01,7.3,
2014-02,7.3,
2014-03,7.1,
2014-04,6.8,
2014-05,6.6,
2014-06,6.5,
2014-07,6.6,
2014-08,6.7,
2014-09,6.5,
2014-10,6.3,
2014-11,6.3,
2014-12,6.4,
2015-01,7.0,
2015-02,6.9,
"",Source: Federal Employment Agency.,
"","Methodology: Up to and including December 2004 month- end figures, as of January 2005 mid-month figures. As of January 2004, unemployed persons excluding participants in aptitude testing and training measures. Early 2005 rise influenced by inclusion of recipients of social assistance who are able to work.",
