"",BBEX3.M.SBD.USD.CM.AA.A01,BBEX3.M.SBD.USD.CM.AA.A01_FLAGS
2003-10,0.1341,
2003-11,0.1340,
2003-12,0.1344,
2004-01,0.1342,
2004-02,0.1345,
2004-03,0.1346,
2004-04,0.1346,
2004-05,0.1349,
2004-06,0.1349,
2004-07,0.1348,
2004-08,0.1357,
2004-09,0.1355,
2004-10,0.1356,
2004-11,0.1356,
2004-12,0.1354,
2005-01,0.1354,
2005-02,0.1354,
2005-03,0.1353,
2005-04,0.1353,
2005-05,0.1352,
2005-06,0.1352,
2005-07,0.1351,
2005-08,0.1350,
2005-09,0.1344,
2005-10,0.1342,
2005-11,0.1342,
2005-12,0.1342,
2006-01,0.1339,
2006-02,0.1339,
2006-03,0.1338,
2006-04,0.1338,
2006-05,0.1337,
2006-06,0.1338,
2006-07,0.1338,
2006-08,0.1336,
2006-09,0.1335,
2006-10,0.1332,
2006-11,0.1332,
2006-12,0.1332,
2007-01,0.1331,
2007-02,0.1331,
2007-03,0.1331,
2007-04,0.1331,
2007-05,0.1330,
2007-06,0.1330,
2007-07,0.1329,
2007-08,0.1327,
2007-09,0.1326,
2007-10,0.1326,
2007-11,0.1327,
2007-12,0.1327,
2008-01,0.1327,
2008-02,0.1327,
2008-03,0.1327,
2008-04,0.1329,
2008-05,0.1327,
2008-06,0.1327,
2008-07,0.1325,
2008-08,0.1315,
2008-09,0.1306,
2008-10,0.1282,
2008-11,0.1276,
2008-12,0.1270,
2009-01,0.1270,
2009-02,0.1267,
2009-03,0.1264,
2009-04,0.1262,
2009-05,0.1262,
2009-06,0.1262,
2009-07,0.1262,
2009-08,0.1262,
2009-09,0.1262,
2009-10,0.1262,
2009-11,0.1262,
2009-12,0.1262,
2010-01,0.1262,
2010-02,0.1262,
2010-03,0.1262,
2010-04,0.1262,
2010-05,0.1262,
2010-06,0.1262,
2010-07,0.1262,
2010-08,0.1262,
2010-09,0.1262,
2010-10,0.1262,
2010-11,0.1262,
2010-12,0.1253,
2011-01,0.1253,
2011-02,0.1265,
2011-03,0.1270,
2011-04,0.1276,
2011-05,0.1288,
2011-06,0.1360,
2011-07,0.1360,
2011-08,0.1365,
2011-09,0.1368,
2011-10,0.1371,
2011-11,0.1372,
2011-12,0.1371,
2012-01,0.1372,
2012-02,0.1372,
2012-03,0.1372,
2012-04,0.1372,
2012-05,0.1372,
2012-06,0.1372,
2012-07,0.1372,
2012-08,0.1372,
2012-09,0.1372,
2012-10,0.1374,
2012-11,0.1371,
2012-12,0.1374,
2013-01,0.1374,
2013-02,0.1385,
2013-03,0.1379,
2013-04,0.1384,
2013-05,0.1386,
2013-06,0.1385,comment
"","Source: November 2011 - June 2013 Bank South Pacific, Honiara  August 2004 - October 2011 Westpac Banking Corporation, Honiara  1990 - July 2004 Central Bank of Solomon Islands, Honiara",
"","Comment on 1997-12: On 15 December 1997, the Solomon Islands dollar was devalued. We recorded the following exchange rates (buying/selling).  14 December 1997: SBD 1 = USD 0.2657 / 0.2639  15 December 1997: SBD 1 = USD 0.2121 / 0.2103  Calculated devaluation: 20.2% (middle rate).",
"","Comment on 2002-03: On 26 March 2002, the Solomon Islands dollar was devalued by just over 20%. However, this decision was reversed on 3 April and the exchange rate for the Solomon Islands dollar was returned to its previous level.",
"",Comment on 2013-06: Only middle rates have been available since July 2013; see BBEX2:M:SBD:USD:CA:AC:A01.,
