"",BBQFS.M.ES.GOVE.YLD_SPRD_10.DE.GOVE,BBQFS.M.ES.GOVE.YLD_SPRD_10.DE.GOVE_FLAGS
2002-12,0.06,
2003-01,0.04,
2003-02,0.03,
2003-03,0.01,
2003-04,0.05,
2003-05,0.08,
2003-06,0.07,
2003-07,0.03,
2003-08,0.03,
2003-09,0.01,
2003-10,0.01,
2003-11,-0.01,
2003-12,-0.01,
2004-01,0.02,
2004-02,0.06,
2004-03,0.08,
2004-04,0.07,
2004-05,0.05,
2004-06,0.02,
2004-07,0.02,
2004-08,0.02,
2004-09,0.01,
2004-10,0.01,
2004-11,-0.01,
2004-12,0.00,
2005-01,0.02,
2005-02,0.02,
2005-03,0.01,
2005-04,0.02,
2005-05,0.01,
2005-06,-0.02,
2005-07,-0.01,
2005-08,-0.02,
2005-09,-0.02,
2005-10,-0.02,
2005-11,0.03,
2005-12,0.02,
2006-01,0.01,
2006-02,0.01,
2006-03,0.02,
2006-04,0.03,
2006-05,0.01,
2006-06,-0.01,
2006-07,0.00,
2006-08,-0.01,
2006-09,0.00,
2006-10,0.00,
2006-11,0.02,
2006-12,0.05,
2007-01,0.05,
2007-02,0.05,
2007-03,0.06,
2007-04,0.05,
2007-05,0.05,
2007-06,0.05,
2007-07,0.09,
2007-08,0.11,
2007-09,0.14,
2007-10,0.10,
2007-11,0.17,
2007-12,0.15,
2008-01,0.17,
2008-02,0.18,
2008-03,0.33,
2008-04,0.31,
2008-05,0.24,
2008-06,0.27,
2008-07,0.30,
2008-08,0.34,
2008-09,0.47,
2008-10,0.57,
2008-11,0.57,
2008-12,0.81,
2009-01,1.02,
2009-02,1.14,
2009-03,1.04,
2009-04,0.88,
2009-05,0.67,
2009-06,0.76,
2009-07,0.68,
2009-08,0.50,
2009-09,0.57,
2009-10,0.58,
2009-11,0.54,
2009-12,0.61,
2010-01,0.72,
2010-02,0.83,
2010-03,0.72,
2010-04,0.82,
2010-05,1.30,
2010-06,1.93,
2010-07,1.82,
2010-08,1.72,
2010-09,1.79,
2010-10,1.69,
2010-11,2.13,
2010-12,2.43,
2011-01,2.36,
2011-02,2.09,
2011-03,2.04,
2011-04,2.01,
2011-05,2.21,
2011-06,2.52,
2011-07,3.06,
2011-08,3.02,
2011-09,3.35,
2011-10,3.24,
2011-11,4.18,
2011-12,3.42,
2012-01,3.44,
2012-02,3.23,
2012-03,3.32,
2012-04,4.09,
2012-05,4.69,
2012-06,5.20,
2012-07,5.55,
2012-08,5.21,
2012-09,4.37,
2012-10,4.15,
2012-11,4.30,
2012-12,3.98,
2013-01,3.53,
2013-02,3.67,
2013-03,3.53,
2013-04,3.36,
2013-05,2.87,
2013-06,3.06,
2013-07,3.06,
2013-08,2.70,
2013-09,2.49,
2013-10,2.40,
2013-11,2.38,
2013-12,2.30,
2014-01,1.99,
2014-02,1.94,
2014-03,1.75,
2014-04,1.60,
2014-05,1.55,
2014-06,1.35,
2014-07,1.44,
2014-08,1.42,
2014-09,1.22,
2014-10,1.26,
2014-11,1.32,
"",Source: Bloomberg and Bundesbank calculations,
"","Methodology: With a residual maturity of ten years. Up to the end of 1998, the yield spreads contain not only credit (and liquidity) risk but also exchange rate risk.",
