"",BBEX3.M.HTG.USD.CA.AC.A01,BBEX3.M.HTG.USD.CA.AC.A01_FLAGS
2002-07,28.4377,
2002-08,28.7608,
2002-09,29.6984,
2002-10,32.9547,
2002-11,37.2729,
2002-12,37.6092,
2003-01,41.5097,
2003-02,44.5181,
2003-03,42.2152,
2003-04,42.3014,
2003-05,40.5400,
2003-06,42.8573,
2003-07,42.7099,
2003-08,41.2170,
2003-09,42.0253,
2003-10,41.9623,
2003-11,42.8229,
2003-12,42.0849,
2004-01,44.0850,
2004-02,44.0038,comment
2004-03,40.2165,
2004-04,37.7444,
2004-05,36.9540,
2004-06,35.7358,
2004-07,36.0315,
2004-08,36.0958,
2004-09,36.8229,
2004-10,37.1563,
2004-11,37.4848,
2004-12,37.2318,
2005-01,37.6915,
2005-02,37.8931,
2005-03,38.2039,
2005-04,39.0311,
2005-05,38.7267,
2005-06,39.9245,
2005-07,42.0759,
2005-08,42.7147,
2005-09,42.8486,
2005-10,43.0291,
2005-11,43.0612,
2005-12,43.0003,
2006-01,43.4757,
2006-02,42.9775,
2006-03,42.6686,
2006-04,41.0963,
2006-05,39.0188,
2006-06,39.8619,
2006-07,39.8753,
2006-08,38.8615,
2006-09,39.1292,
2006-10,39.1312,
2006-11,38.9958,
2006-12,37.5914,
2007-01,38.9823,
2007-02,38.3217,
2007-03,37.4215,
2007-04,36.9035,
2007-05,36.5716,
2007-06,35.7429,
2007-07,35.6388,
2007-08,35.7562,
2007-09,36.3813,
2007-10,36.3602,
2007-11,37.1785,
2007-12,36.7844,
2008-01,37.5434,
2008-02,37.7222,
2008-03,38.7147,
2008-04,38.4124,
2008-05,38.8782,
2008-06,39.5597,
2008-07,39.7740,
2008-08,39.9945,
2008-09,39.9535,
2008-10,39.9601,
2008-11,40.3273,
2008-12,39.8176,
2009-01,40.4392,
2009-02,40.4601,
2009-03,40.7022,
2009-04,40.7963,
2009-05,40.8162,
2009-06,41.1596,
2009-07,41.4482,
2009-08,41.4335,
2009-09,41.7737,
2009-10,42.0271,
2009-11,42.2804,
2009-12,42.0193,
2010-01,38.7000,
2010-02,38.6375,
2010-03,39.6156,
2010-04,39.5097,
2010-05,39.7925,
2010-06,39.7991,
2010-07,39.8392,
2010-08,39.8522,
2010-09,39.9405,
2010-10,40.0954,
2010-11,40.1493,
2010-12,39.8817,
2011-01,40.3363,
2011-02,40.3803,
2011-03,40.2588,
2011-04,40.2540,
2011-05,40.2586,
2011-06,40.3239,
2011-07,40.4165,
2011-08,40.6484,
2011-09,40.8720,
2011-10,41.0060,
2011-11,41.0958,
2011-12,40.9734,
2012-01,41.3309,
2012-02,41.5340,
2012-03,41.5810,
2012-04,41.7230,
2012-05,41.9112,
2012-06,41.9761,
2012-07,42.0188,
2012-08,42.1923,
2012-09,42.3222,
2012-10,42.4121,
2012-11,42.5778,
2012-12,42.5530,
2013-01,42.7534,
2013-02,42.8610,
2013-03,43.0166,
2013-04,43.3461,
2013-05,43.6803,
2013-06,43.7922,
2013-07,43.7326,
2013-08,43.7555,
2013-09,43.7429,
2013-10,43.8080,
2013-11,43.8496,
2013-12,43.8820,
2014-01,44.0151,
2014-02,44.3479,
2014-03,44.7062,
2014-04,44.9934,
2014-05,45.3551,
2014-06,45.3399,
2014-07,45.3552,
2014-08,45.3829,
2014-09,45.5577,
2014-10,45.7572,
2014-11,46.5991,
2014-12,46.7477,
2015-01,46.9277,
"","General: From 12 April 1919 to 1 March 1992, the official exchange rate was USD 1 = HTG 5. However, since 16 September 1991, all foreign exchange transactions have been settled at flexible exchange rates.",
"","Source: Since October 1994: Banque de la Republique d'Haiti, Port-au-Prince. June 1994 - September 1994: Banque de Promotion Commerciale et Industrielle S.A. (Promobank), Port-au-Prince. September 1991 - May 1994: Banque Nationale de Paris, Port-au-Prince.",
"",Comment on 1995-02: Exchange rate on 24 February 1995.,
"",Comment on 2004-02: Exchange rate on 19 February 2004.,
