"",BBEX3.M.NZD.USD.CM.AA.A01,BBEX3.M.NZD.USD.CM.AA.A01_FLAGS
2003-03,0.5569,
2003-04,0.5645,
2003-05,0.5836,
2003-06,0.5887,
2003-07,0.5882,
2003-08,0.5801,
2003-09,0.6006,
2003-10,0.6178,
2003-11,0.6466,
2003-12,0.6607,
2004-01,0.6764,
2004-02,0.6955,
2004-03,0.6577,
2004-04,0.6289,
2004-05,0.6385,
2004-06,0.6385,
2004-07,0.6400,
2004-08,0.6577,
2004-09,0.6769,
2004-10,0.6910,
2004-11,0.7228,
2004-12,0.7253,
2005-01,0.7193,
2005-02,0.7299,
2005-03,0.7468,
2005-04,0.7367,
2005-05,0.7162,
2005-06,0.7072,
2005-07,0.6914,
2005-08,0.7020,
2005-09,0.7007,
2005-10,0.7102,
2005-11,0.7085,
2005-12,0.6880,
2006-01,0.6869,
2006-02,0.6676,
2006-03,0.6173,
2006-04,0.6400,
2006-05,0.6428,
2006-06,0.6073,
2006-07,0.6184,
2006-08,0.6564,
2006-09,0.6534,
2006-10,0.6716,
2006-11,0.6844,
2006-12,0.7047,
2007-01,0.6892,
2007-02,0.7027,
2007-03,0.7158,
2007-04,0.7417,
2007-05,0.7376,
2007-06,0.7740,
2007-07,0.7746,
2007-08,0.7091,
2007-09,0.7647,
2007-10,0.7738,
2007-11,0.7808,
2007-12,0.7839,
2008-01,0.7884,
2008-02,0.8237,
2008-03,0.8015,
2008-04,0.7849,
2008-05,0.7889,
2008-06,0.7712,
2008-07,0.7405,
2008-08,0.7122,
2008-09,0.6779,
2008-10,0.5961,
2008-11,0.5587,
2008-12,0.5840,
2009-01,0.5143,
2009-02,0.5113,
2009-03,0.5759,
2009-04,0.5709,
2009-05,0.6355,
2009-06,0.6602,
2009-07,0.6652,
2009-08,0.6910,
2009-09,0.7303,
2009-10,0.7409,
2009-11,0.7293,
2009-12,0.7349,
2010-01,0.7142,
2010-02,0.7036,
2010-03,0.7197,
2010-04,0.7344,
2010-05,0.6925,
2010-06,0.7026,
2010-07,0.7308,
2010-08,0.7117,
2010-09,0.7465,
2010-10,0.7642,
2010-11,0.7536,
2010-12,0.7818,
2011-01,0.7828,
2011-02,0.7611,
2011-03,0.7692,
2011-04,0.8121,
2011-05,0.8353,
2011-06,0.8414,
2011-07,0.8782,
2011-08,0.8641,
2011-09,0.7763,
2011-10,0.8217,
2011-11,0.7732,
2011-12,0.7828,
2012-01,0.8338,
2012-02,0.8530,
2012-03,0.8298,
2012-04,0.8328,
2012-05,0.7626,
2012-06,0.8040,
2012-07,0.8212,
2012-08,0.8096,
2012-09,0.8495,
2012-10,0.8358,
2012-11,0.8364,
2012-12,0.8379,
2013-01,0.8500,
2013-02,0.8455,
2013-03,0.8500,
2013-04,0.8708,
2013-05,0.8222,
2013-06,0.7938,
2013-07,0.8110,
2013-08,0.7908,
2013-09,0.8419,
2013-10,0.8394,
2013-11,0.8237,
2013-12,0.8353,
2014-01,0.8288,
2014-02,0.8546,
2014-03,0.8799,
2014-04,0.8708,
2014-05,0.8647,
2014-06,0.8901,
2014-07,0.8647,
2014-08,0.8505,
2014-09,0.7928,
2014-10,0.7958,
2014-11,0.7973,
2014-12,0.8013,
2015-01,0.7443,
"","Source: Since August 1997 Bank of New Zealand, Wellington 1990 - July 1997 Reserve Bank of New Zealand, Wellington",
