"",BBEX3.M.KWD.USD.CA.AC.A01,BBEX3.M.KWD.USD.CA.AC.A01_FLAGS
2012-10,0.281550,
2012-11,0.282150,
2012-12,0.281750,
2013-01,0.281450,
2013-02,0.283650,
2013-03,0.285350,
2013-04,0.284850,
2013-05,0.286350,
2013-06,0.285600,
2013-07,0.284900,
2013-08,0.284350,
2013-09,0.283300,
2013-10,0.282650,
2013-11,0.283200,
2013-12,0.282550,
2014-01,0.282700,
2014-02,0.282250,
2014-03,0.282150,
2014-04,0.281700,
2014-05,0.282350,
2014-06,0.282300,
2014-07,0.283350,
2014-08,0.284900,
2014-09,0.288550,
2014-10,0.290000,
2014-11,0.291500,
2014-12,0.293300,
2015-01,0.295450,
"","General: Owing to the Iraqi occupation of Kuwait and the subsequent war, no exchange rates were available from August 1990 to February 1991. Exchange rates only began to be reported again at the end of March 1991. The following indicative exchange rates were published by the United Bank of Kuwait, London: End-March 1991: USD 1 = KWD 0.29039  End-April 1991: USD 1 = KWD 0.29117 End-May 1991: USD 1 = KWD 0.29009 End-June 1991: USD 1 = KWD 0.29379",
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since January 2005: Commercial Bank of Kuwait 1990 - December 2004: Bank of Kuwait and the Middle East, Kuwait",
"","Comment on 1990-07: Exchange rate on 1 August 1990. After this, no further exchange rates were available due to the Iraqi occupation and the subsequent war.",
"","Comment on 1991-07: On 25 July 1991, interbank trading resumed.",
"",Comment on 1996-04: Exchange rate as of 25 April 1996.,
"",Comment on 1997-02: Exchange rate as of 24 February 1997.,
"",Comment on 1998-01: Exchange rate as of 28 January 1998.,
