"",BBEX3.M.NPR.USD.CA.AB.A01,BBEX3.M.NPR.USD.CA.AB.A01_FLAGS
2003-06,76.37,
2003-07,75.34,
2003-08,74.83,
2003-09,74.82,
2003-10,74.09,
2003-11,74.58,
2003-12,74.34,
2004-01,74.10,
2004-02,73.85,
2004-03,72.41,
2004-04,72.50,
2004-05,74.00,
2004-06,74.75,
2004-07,75.25,
2004-08,75.25,
2004-09,75.09,
2004-10,74.41,
2004-11,73.60,
2004-12,71.35,
2005-01,71.24,
2005-02,71.24,
2005-03,71.24,
2005-04,71.24,
2005-05,70.74,
2005-06,70.94,
2005-07,70.86,
2005-08,71.74,
2005-09,71.74,
2005-10,73.14,
2005-11,74.39,
2005-12,73.30,
2006-01,71.64,
2006-02,71.99,
2006-03,72.24,
2006-04,72.84,
2006-05,74.44,
2006-06,74.69,
2006-07,74.99,
2006-08,74.79,
2006-09,73.89,
2006-10,72.59,
2006-11,71.84,
2006-12,71.31,
2007-01,71.29,
2007-02,71.09,
2007-03,70.14,
2007-04,65.99,
2007-05,65.39,
2007-06,65.69,
2007-07,65.49,
2007-08,66.29,
2007-09,64.29,
2007-10,63.90,
2007-11,64.35,
2007-12,63.85,
2008-01,63.70,
2008-02,64.23,
2008-03,64.30,
2008-04,64.80,
2008-05,69.09,
2008-06,68.90,
2008-07,68.35,
2008-08,70.40,
2008-09,75.65,
2008-10,79.90,
2008-11,80.20,
2008-12,77.95,
2009-01,78.80,
2009-02,81.68,
2009-03,82.20,
2009-04,80.50,
2009-05,76.60,
2009-06,77.33,
2009-07,77.81,
2009-08,78.15,
2009-09,77.19,
2009-10,75.47,
2009-11,75.20,
2009-12,74.95,
2010-01,74.46,
2010-02,74.30,
2010-03,72.40,
2010-04,71.55,
2010-05,74.45,
2010-06,74.73,
2010-07,74.60,
2010-08,75.30,
2010-09,72.34,
2010-10,71.50,
2010-11,73.45,
2010-12,72.42,
2011-01,73.45,
2011-02,72.80,
2011-03,71.90,
2011-04,71.25,
2011-05,72.40,
2011-06,72.15,
2011-07,70.95,
2011-08,73.95,
2011-09,78.60,
2011-10,78.30,
2011-11,83.56,
2011-12,85.69,
2012-01,79.20,
2012-02,78.80,
2012-03,82.09,
2012-04,84.36,
2012-05,90.04,
2012-06,90.35,
2012-07,88.95,
2012-08,89.30,
2012-09,84.55,
2012-10,86.74,
2012-11,88.31,
2012-12,88.08,
2013-01,85.81,
2013-02,86.31,
2013-03,87.15,
2013-04,87.21,
2013-05,90.06,
2013-06,96.80,
2013-07,96.69,
2013-08,106.65,
2013-09,100.30,
2013-10,98.56,
2013-11,100.16,
2013-12,99.36,
2014-01,100.40,
2014-02,99.48,
2014-03,96.16,
2014-04,96.98,
2014-05,94.76,
2014-06,96.44,
2014-07,96.40,
2014-08,97.10,
2014-09,98.76,
2014-10,98.63,
2014-11,99.31,
2014-12,101.72,
2015-01,99.28,
"","Source: Nepal Rastra Bank, Kathmandu",
"","Methodology: * While the multiple exchange rate system was in place (4 March 1992 to 12 February 1993): official exchange rate.  Use of exchange rates in the multiple exchange rate system: Official exchange rate: for transactions by general government; for 35% (25% as of 12 July 1992) of income from exports, services (including foreign travel, investment income) and transfers (including pensions, benefit payments) as well as for payments for the import of certain goods (including petroleum products, fertilisers, industrial machinery). Free market rate: for the remaining 65% (75% as of 12 July 1992) of the income listed above as well as for all other transactions.",
"","Comment on 1991-07: On 2 and 4 July 1991, the Nepalese rupee was devalued in two stages. We recorded the following exchange rates (buying/selling rate; calculated devaluation in brackets): 30 June 1991: USD 1 = NPR 35.30 / 35.50 2 July 1991: USD 1 = NPR 38.00 / 38.20 (-7.1%) 4 July 1991: USD 1 = NPR 42.70 / 42.90 (-11.0%)",
"","Comment on 1992-03: On 4 March 1992, a multiple exchange rate system was established with the introduction of a free market rate. We recorded the following free market rates (buying/selling rate): 6 March 1992: NPR 46.77 / 49.50 End-March 1992: USD 1 = NPR 48.48 / 52.15",
"",Comment on 1992-04: Free market rates (buying/selling rate) at end-April 1992: USD 1 = NPR 48.35 / 51.85.,
"",Comment on 1992-05: Free market rates (buying/selling rate) at end-May 1992: USD 1 = NPR 47.48 / 50.50.,
"",Comment on 1992-06: Free market rates (buying/selling rate) at end-June 1992: USD 1 = NPR 46.96 / 49.56.,
"",Comment on 1992-07: Free market rates (buying/selling rate) at end-July 1992: USD 1 = NPR 47.16 / 49.08.,
"",Comment on 1992-08: Free market rates (buying/selling rate) at end-August 1992: USD 1 = NPR 46.55/ 48.33.,
"",Comment on 1992-09: Free market rates (buying/selling rate) at end-September 1992: USD 1 = NPR 46.52 / 48.32.,
"",Comment on 1992-10: Free market rates (buying/selling rate) at end-October 1992: USD 1 = NPR 46.52 / 48.32.,
"",Comment on 1992-11: Free market rates (buying/selling rate) at end-November 1992: USD 1 = NPR 46.52 / 48.32.,
"",Comment on 1992-12: Free market rates (buying/selling rate) at end-December 1992: USD 1 = NPR 46.65 / 48.33.,
"",Comment on 1993-01: Free market rates (buying/selling rate) at end-January 1993: USD 1 = NPR 46.65 / 48.33.,
"",Comment on 1993-02: The exchange rate system was unified on 12 February 1993.,
