"",BBEX3.D.HRK.USD.CA.AC.000,BBEX3.D.HRK.USD.CA.AC.000_FLAGS
2004-05-17,.,No value available
2004-05-18,6.2016830,
2004-05-19,6.1949565,
2004-05-20,6.1872135,
2004-05-21,6.2224710,
2004-05-22,6.1593160,
2004-05-23,.,No value available
2004-05-24,.,No value available
2004-05-25,6.1872910,
2004-05-26,6.1355540,
2004-05-27,6.1149595,
2004-05-28,6.1096025,
2004-05-29,6.0706700,
2004-05-30,.,No value available
2004-05-31,.,No value available
2004-06-01,6.0723940,
2004-06-02,6.0295560,
2004-06-03,6.0101050,
2004-06-04,6.0238990,
2004-06-05,6.0391415,
2004-06-06,.,No value available
2004-06-07,.,No value available
2004-06-08,6.0060060,
2004-06-09,6.0142755,
2004-06-10,6.0597380,
2004-06-11,.,No value available
2004-06-12,6.1300705,
2004-06-13,.,No value available
2004-06-14,.,No value available
2004-06-15,6.1500670,
2004-06-16,6.1264330,
2004-06-17,6.1041215,
2004-06-18,6.1238890,
2004-06-19,6.1376500,
2004-06-20,.,No value available
2004-06-21,.,No value available
2004-06-22,6.0970565,
2004-06-23,.,No value available
2004-06-24,6.0849835,
2004-06-25,6.0993725,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,.,No value available
2004-06-29,6.0825250,
2004-06-30,6.1042445,
2004-07-01,6.1056105,
2004-07-02,6.0700775,
2004-07-03,6.0612295,
2004-07-04,.,No value available
2004-07-05,.,No value available
2004-07-06,5.9804715,
2004-07-07,5.9818445,
2004-07-08,5.9482410,
2004-07-09,5.9768535,
2004-07-10,5.9533415,
2004-07-11,.,No value available
2004-07-12,.,No value available
2004-07-13,5.9406935,
2004-07-14,5.9733800,
2004-07-15,5.9507495,
2004-07-16,5.9772490,
2004-07-17,5.9829230,
2004-07-18,.,No value available
2004-07-19,.,No value available
2004-07-20,5.9473940,
2004-07-21,5.9478730,
2004-07-22,5.9870875,
2004-07-23,6.0171980,
2004-07-24,6.0504720,
2004-07-25,.,No value available
2004-07-26,.,No value available
2004-07-27,6.0726330,
2004-07-28,6.0663875,
2004-07-29,6.1680500,
2004-07-30,6.1886950,
2004-07-31,6.2039725,
2004-08-01,.,No value available
2004-08-02,.,No value available
2004-08-03,6.1516810,
2004-08-04,6.1501660,
2004-08-05,6.1339995,
2004-08-06,.,No value available
2004-08-07,6.0985730,
2004-08-08,.,No value available
2004-08-09,.,No value available
2004-08-10,6.0233795,
2004-08-11,5.9821570,
2004-08-12,6.0076095,
2004-08-13,5.9870355,
2004-08-14,6.0148375,
2004-08-15,.,No value available
2004-08-16,.,No value available
2004-08-17,5.9491980,
2004-08-18,5.9507410,
2004-08-19,5.9798105,
2004-08-20,5.9638525,
2004-08-21,5.9821590,
2004-08-22,.,No value available
2004-08-23,.,No value available
2004-08-24,6.0303760,
2004-08-25,6.0829565,
2004-08-26,6.1161610,
2004-08-27,6.1356575,
2004-08-28,6.1214560,
2004-08-29,.,No value available
2004-08-30,.,No value available
2004-08-31,6.1855220,
2004-09-01,6.1548970,
2004-09-02,6.0948035,
2004-09-03,6.0759595,
2004-09-04,6.0743055,
2004-09-05,.,No value available
2004-09-06,.,No value available
2004-09-07,6.1392185,
2004-09-08,6.1361660,
2004-09-09,6.1499250,
2004-09-10,6.0729655,
2004-09-11,6.0575445,
2004-09-12,.,No value available
2004-09-13,.,No value available
2004-09-14,6.0260915,
2004-09-15,6.0257375,
2004-09-16,6.0208180,
2004-09-17,6.0723755,
2004-09-18,6.0522660,
2004-09-19,.,No value available
2004-09-20,.,No value available
2004-09-21,6.0838615,
2004-09-22,6.0529970,
2004-09-23,6.0639940,
2004-09-24,6.0778420,
2004-09-25,6.1108855,
2004-09-26,.,No value available
2004-09-27,.,No value available
2004-09-28,6.1587110,
2004-09-29,6.1622670,
2004-09-30,6.1883025,
2004-10-01,6.1755535,
2004-10-02,6.1438940,
2004-10-03,.,No value available
2004-10-04,.,No value available
2004-10-05,6.1670445,
2004-10-06,6.2000000,
2004-10-07,6.2000000,
2004-10-08,6.1785685,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,.,No value available
2004-10-12,6.1008910,
2004-10-13,6.1462910,
2004-10-14,6.1276290,
2004-10-15,6.1058135,
2004-10-16,6.0925035,
2004-10-17,.,No value available
2004-10-18,.,No value available
2004-10-19,6.0252925,
2004-10-20,6.0098755,
2004-10-21,5.9815810,
2004-10-22,5.9748670,
2004-10-23,5.9739200,
2004-10-24,.,No value available
2004-10-25,.,No value available
2004-10-26,5.8860375,
2004-10-27,5.8775220,
2004-10-28,5.8957275,
2004-10-29,5.9216735,
2004-10-30,5.9315210,
2004-10-31,.,No value available
2004-11-01,.,No value available
2004-11-02,.,No value available
2004-11-03,5.9409450,
2004-11-04,5.9334700,
2004-11-05,5.8853880,
2004-11-06,5.8910350,
2004-11-07,.,No value available
2004-11-08,.,No value available
2004-11-09,5.8624400,
2004-11-10,5.8970655,
2004-11-11,5.8564725,
2004-11-12,5.8873260,
2004-11-13,5.8640865,
2004-11-14,.,No value available
2004-11-15,.,No value available
2004-11-16,5.8463340,
2004-11-17,5.8319140,
2004-11-18,5.7964485,
2004-11-19,5.7778885,
2004-11-20,5.7977825,
2004-11-21,.,No value available
2004-11-22,.,No value available
2004-11-23,5.8000075,
2004-11-24,5.8175450,
2004-11-25,5.7886455,
2004-11-26,5.7820550,
2004-11-27,5.7880000,
2004-11-28,.,No value available
2004-11-29,.,No value available
2004-11-30,5.7852675,
2004-12-01,5.7582155,
2004-12-02,5.7221220,
2004-12-03,5.6905515,
2004-12-04,5.7114170,
2004-12-05,.,No value available
2004-12-06,.,No value available
2004-12-07,5.6351060,
2004-12-08,5.5972225,
2004-12-09,5.6590075,
2004-12-10,5.6721100,
2004-12-11,5.7300030,
2004-12-12,.,No value available
2004-12-13,.,No value available
2004-12-14,5.6811910,
2004-12-15,5.6459960,
2004-12-16,5.6076905,
2004-12-17,5.5834270,
2004-12-18,5.6384835,
2004-12-19,.,No value available
2004-12-20,.,No value available
2004-12-21,5.6311450,
2004-12-22,5.6310535,
2004-12-23,5.6540680,
2004-12-24,5.6504775,
2004-12-25,5.6282625,
2004-12-26,.,No value available
2004-12-27,.,No value available
2004-12-28,5.6294900,
2004-12-29,5.6095400,
2004-12-30,5.6489500,
2004-12-31,5.6880555,
2005-01-01,5.6414390,
2005-01-02,.,No value available
2005-01-03,.,No value available
2005-01-04,5.6667900,
2005-01-05,5.6929400,
2005-01-06,5.7367090,
2005-01-07,.,No value available
2005-01-08,5.7334305,
2005-01-09,.,No value available
2005-01-10,.,No value available
2005-01-11,5.7813050,
2005-01-12,5.7490500,
2005-01-13,5.7571430,
2005-01-14,5.6844275,
2005-01-15,5.7334275,
2005-01-16,.,No value available
2005-01-17,.,No value available
2005-01-18,5.7395570,
2005-01-19,5.7377525,
2005-01-20,5.7294200,
2005-01-21,5.8038225,
2005-01-22,5.7996770,
2005-01-23,.,No value available
2005-01-24,.,No value available
2005-01-25,5.7868645,
2005-01-26,5.7957295,
2005-01-27,5.8181540,
2005-01-28,5.8230470,
2005-01-29,5.8397640,
2005-01-30,.,No value available
2005-01-31,.,No value available
2005-02-01,5.8414090,
2005-02-02,5.8024405,
2005-02-03,5.7590825,
2005-02-04,5.7742480,
2005-02-05,5.8177280,
2005-02-06,.,No value available
2005-02-07,.,No value available
2005-02-08,5.8711390,
2005-02-09,5.9111100,
2005-02-10,5.8875265,
2005-02-11,5.8852245,
2005-02-12,5.8509095,
2005-02-13,.,No value available
2005-02-14,.,No value available
2005-02-15,5.8113045,
2005-02-16,5.8063795,
2005-02-17,5.7958330,
2005-02-18,5.7931635,
2005-02-19,5.7765600,
2005-02-20,.,No value available
2005-02-21,.,No value available
2005-02-22,5.7725780,
2005-02-23,5.7014225,
2005-02-24,5.7149345,
2005-02-25,5.6800190,
2005-02-26,5.7568245,
2005-02-27,.,No value available
2005-02-28,.,No value available
2005-03-01,5.6959640,
2005-03-02,5.6863785,
2005-03-03,5.7184305,
2005-03-04,5.6787070,
2005-03-05,5.6829790,
2005-03-06,.,No value available
2005-03-07,.,No value available
2005-03-08,5.6451615,
2005-03-09,5.6415740,
2005-03-10,5.5938715,
2005-03-11,5.5767625,
2005-03-12,5.5667550,
2005-03-13,.,No value available
2005-03-14,.,No value available
2005-03-15,5.5692465,
2005-03-16,5.5554020,
2005-03-17,5.5620035,
2005-03-18,5.5679215,
2005-03-19,5.6001655,
2005-03-20,.,No value available
2005-03-21,.,No value available
2005-03-22,5.6573710,
2005-03-23,5.6702440,
2005-03-24,5.7427885,
2005-03-25,5.7542585,
2005-03-26,5.7785840,
2005-03-27,.,No value available
2005-03-28,.,No value available
2005-03-29,.,No value available
2005-03-30,5.7861785,
2005-03-31,5.7909605,
2005-04-01,5.7794765,
2005-04-02,5.7539530,
2005-04-03,.,No value available
2005-04-04,.,No value available
2005-04-05,5.7762435,
2005-04-06,5.7840875,
2005-04-07,5.7457520,
2005-04-08,5.7392920,
2005-04-09,5.7780720,
2005-04-10,.,No value available
2005-04-11,.,No value available
2005-04-12,5.7241005,
2005-04-13,5.7148365,
2005-04-14,5.7148765,
2005-04-15,5.7598330,
2005-04-16,5.7726265,
2005-04-17,.,No value available
2005-04-18,.,No value available
2005-04-19,5.6895030,
2005-04-20,5.6864365,
2005-04-21,5.6641930,
2005-04-22,5.6493890,
2005-04-23,5.6687785,
2005-04-24,.,No value available
2005-04-25,.,No value available
2005-04-26,5.7148365,
2005-04-27,5.7164870,
2005-04-28,5.7370705,
2005-04-29,5.7245705,
2005-04-30,5.6896315,
2005-05-01,.,No value available
2005-05-02,.,No value available
2005-05-03,5.7252795,
2005-05-04,5.7246985,
2005-05-05,5.6901995,
2005-05-06,5.6805440,
2005-05-07,5.6767820,
2005-05-08,.,No value available
2005-05-09,.,No value available
2005-05-10,5.7276410,
2005-05-11,5.7257685,
2005-05-12,5.6940555,
2005-05-13,5.7411410,
2005-05-14,5.8008785,
2005-05-15,.,No value available
2005-05-16,.,No value available
2005-05-17,5.8025485,
2005-05-18,5.7938020,
2005-05-19,5.8146505,
2005-05-20,5.7941205,
2005-05-21,5.7979300,
2005-05-22,.,No value available
2005-05-23,.,No value available
2005-05-24,5.8347965,
2005-05-25,5.8188150,
2005-05-26,5.8274525,
2005-05-27,.,No value available
2005-05-28,5.8377210,
2005-05-29,.,No value available
2005-05-30,.,No value available
2005-05-31,5.8556865,
2005-06-01,5.9430260,
2005-06-02,5.9890960,
2005-06-03,5.9739845,
2005-06-04,5.9793380,
2005-06-05,.,No value available
2005-06-06,.,No value available
2005-06-07,5.9827495,
2005-06-08,5.9671850,
2005-06-09,5.9531490,
2005-06-10,5.9867375,
2005-06-11,5.9894715,
2005-06-12,.,No value available
2005-06-13,.,No value available
2005-06-14,6.0734035,
2005-06-15,6.0351975,
2005-06-16,6.0788035,
2005-06-17,6.0293760,
2005-06-18,6.0136890,
2005-06-19,.,No value available
2005-06-20,.,No value available
2005-06-21,5.9914315,
2005-06-22,6.0653565,
2005-06-23,.,No value available
2005-06-24,6.0591785,
2005-06-25,6.0693775,
2005-06-26,.,No value available
2005-06-27,.,No value available
2005-06-28,6.0229630,
2005-06-29,6.0563295,
2005-06-30,6.0749150,
2005-07-01,6.0628835,
2005-07-02,6.0474990,
2005-07-03,.,No value available
2005-07-04,.,No value available
2005-07-05,6.1370130,
2005-07-06,6.1619760,
2005-07-07,6.1667260,
2005-07-08,6.1168740,
2005-07-09,6.1577440,
2005-07-10,.,No value available
2005-07-11,.,No value available
2005-07-12,6.0995730,
2005-07-13,6.0110300,
2005-07-14,6.0104045,
2005-07-15,6.0513390,
2005-07-16,6.0418355,
2005-07-17,.,No value available
2005-07-18,.,No value available
2005-07-19,6.0570285,
2005-07-20,6.0967655,
2005-07-21,6.0436650,
2005-07-22,6.0088640,
2005-07-23,5.9985010,
2005-07-24,.,No value available
2005-07-25,.,No value available
2005-07-26,6.0475030,
2005-07-27,6.0812760,
2005-07-28,6.0817830,
2005-07-29,6.0460015,
2005-07-30,6.0416640,
2005-07-31,.,No value available
2005-08-01,.,No value available
2005-08-02,5.9864150,
2005-08-03,5.9922120,
2005-08-04,5.9628220,
2005-08-05,5.9736435,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,.,No value available
2005-08-09,5.9415415,
2005-08-10,5.9583330,
2005-08-11,5.9458350,
2005-08-12,5.9362565,
2005-08-13,5.9091265,
2005-08-14,.,No value available
2005-08-15,.,No value available
2005-08-16,.,No value available
2005-08-17,5.9796045,
2005-08-18,5.9969260,
2005-08-19,6.0393975,
2005-08-20,6.0703245,
2005-08-21,.,No value available
2005-08-22,.,No value available
2005-08-23,6.0658400,
2005-08-24,6.0349555,
2005-08-25,6.0502825,
2005-08-26,5.9958540,
2005-08-27,5.9909830,
2005-08-28,.,No value available
2005-08-29,.,No value available
2005-08-30,6.0063755,
2005-08-31,6.0877880,
2005-09-01,6.1008075,
2005-09-02,6.0208835,
2005-09-03,5.9354905,
2005-09-04,.,No value available
2005-09-05,.,No value available
2005-09-06,5.9401645,
2005-09-07,5.9830670,
2005-09-08,5.9697125,
2005-09-09,5.9940285,
2005-09-10,6.0022485,
2005-09-11,.,No value available
2005-09-12,.,No value available
2005-09-13,6.0277530,
2005-09-14,6.0365455,
2005-09-15,6.0500900,
2005-09-16,6.0820860,
2005-09-17,6.0670020,
2005-09-18,.,No value available
2005-09-19,.,No value available
2005-09-20,6.1385315,
2005-09-21,6.1294355,
2005-09-22,6.1018070,
2005-09-23,6.0988085,
2005-09-24,6.1457250,
2005-09-25,.,No value available
2005-09-26,.,No value available
2005-09-27,6.1809045,
2005-09-28,6.1974230,
2005-09-29,6.2045155,
2005-09-30,6.1793670,
2005-10-01,6.1932970,
2005-10-02,.,No value available
2005-10-03,.,No value available
2005-10-04,6.2393570,
2005-10-05,6.2203865,
2005-10-06,6.1915760,
2005-10-07,6.1427830,
2005-10-08,6.0957565,
2005-10-09,.,No value available
2005-10-10,.,No value available
2005-10-11,6.1110930,
2005-10-12,6.1489035,
2005-10-13,6.1640825,
2005-10-14,6.1583735,
2005-10-15,6.1442140,
2005-10-16,.,No value available
2005-10-17,.,No value available
2005-10-18,6.1283860,
2005-10-19,6.1793785,
2005-10-20,6.1772305,
2005-10-21,6.1638165,
2005-10-22,6.1422700,
2005-10-23,.,No value available
2005-10-24,.,No value available
2005-10-25,6.1755990,
2005-10-26,6.1372680,
2005-10-27,6.1204830,
2005-10-28,6.1000165,
2005-10-29,6.0834565,
2005-10-30,.,No value available
2005-10-31,.,No value available
2005-11-01,6.1240360,
2005-11-02,.,No value available
2005-11-03,6.1563850,
2005-11-04,6.1350420,
2005-11-05,6.2024665,
2005-11-06,.,No value available
2005-11-07,.,No value available
2005-11-08,6.2562705,
2005-11-09,6.2968750,
2005-11-10,6.2642045,
2005-11-11,6.2567540,
2005-11-12,6.2952600,
2005-11-13,.,No value available
2005-11-14,.,No value available
2005-11-15,6.2684695,
2005-11-16,6.3109040,
2005-11-17,6.3044215,
2005-11-18,6.3098225,
2005-11-19,6.3189655,
2005-11-20,.,No value available
2005-11-21,.,No value available
2005-11-22,6.2600950,
2005-11-23,6.3253820,
2005-11-24,6.2718095,
2005-11-25,6.2739345,
2005-11-26,6.2931240,
2005-11-27,.,No value available
2005-11-28,.,No value available
2005-11-29,6.3189200,
2005-11-30,6.2697035,
2005-12-01,6.2654410,
2005-12-02,6.2680150,
2005-12-03,6.3065540,
2005-12-04,.,No value available
2005-12-05,.,No value available
2005-12-06,6.3081700,
2005-12-07,6.2754715,
2005-12-08,6.3017110,
2005-12-09,6.2722740,
2005-12-10,6.2739190,
2005-12-11,.,No value available
2005-12-12,.,No value available
2005-12-13,6.2306480,
2005-12-14,6.2133955,
2005-12-15,6.1492185,
2005-12-16,6.1548480,
2005-12-17,6.1536330,
2005-12-18,.,No value available
2005-12-19,.,No value available
2005-12-20,6.1678535,
2005-12-21,6.1917170,
2005-12-22,6.2322210,
2005-12-23,6.2633215,
2005-12-24,6.2289845,
2005-12-25,.,No value available
2005-12-26,.,No value available
2005-12-27,.,No value available
2005-12-28,6.2373905,
2005-12-29,6.2059835,
2005-12-30,6.2394180,
2005-12-31,6.2393790,
2006-01-01,.,No value available
2006-01-02,.,No value available
2006-01-03,.,No value available
2006-01-04,.,No value available
2006-01-05,.,No value available
2006-01-06,.,No value available
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,.,No value available
2006-01-10,.,No value available
2006-01-11,.,No value available
2006-01-12,.,No value available
2006-01-13,.,No value available
2006-01-14,6.1292300,
2006-01-15,.,No value available
2006-01-16,.,No value available
2006-01-17,.,No value available
2006-01-18,.,No value available
2006-01-19,.,No value available
2006-01-20,.,No value available
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,.,No value available
2006-01-24,.,No value available
2006-01-25,.,No value available
2006-01-26,.,No value available
2006-01-27,.,No value available
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,.,No value available
2006-01-31,6.0967095,
2006-02-01,.,No value available
2006-02-02,.,No value available
2006-02-03,.,No value available
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,.,No value available
2006-02-07,.,No value available
2006-02-08,.,No value available
2006-02-09,.,No value available
2006-02-10,.,No value available
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,.,No value available
2006-02-14,.,No value available
2006-02-15,6.1524780,
2006-02-16,.,No value available
2006-02-17,.,No value available
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,.,No value available
2006-02-21,.,No value available
2006-02-22,.,No value available
2006-02-23,.,No value available
2006-02-24,.,No value available
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,.,No value available
2006-02-28,6.1682805,
2006-03-01,.,No value available
2006-03-02,.,No value available
2006-03-03,.,No value available
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,.,No value available
2006-03-07,.,No value available
2006-03-08,.,No value available
2006-03-09,.,No value available
2006-03-10,.,No value available
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,.,No value available
2006-03-14,.,No value available
2006-03-15,6.1381480,
2006-03-16,.,No value available
2006-03-17,.,No value available
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,.,No value available
2006-03-21,.,No value available
2006-03-22,.,No value available
2006-03-23,.,No value available
2006-03-24,.,No value available
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,.,No value available
2006-03-28,.,No value available
2006-03-29,.,No value available
2006-03-30,.,No value available
2006-03-31,6.0377015,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,.,No value available
2006-04-04,.,No value available
2006-04-05,.,No value available
2006-04-06,.,No value available
2006-04-07,.,No value available
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,.,No value available
2006-04-11,.,No value available
2006-04-12,.,No value available
2006-04-13,.,No value available
2006-04-14,.,No value available
2006-04-15,6.0337130,
2006-04-16,.,No value available
2006-04-17,.,No value available
2006-04-18,.,No value available
2006-04-19,.,No value available
2006-04-20,.,No value available
2006-04-21,.,No value available
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,.,No value available
2006-04-25,.,No value available
2006-04-26,.,No value available
2006-04-27,.,No value available
2006-04-28,.,No value available
2006-04-29,5.8032385,
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,.,No value available
2006-05-03,.,No value available
2006-05-04,.,No value available
2006-05-05,.,No value available
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,.,No value available
2006-05-09,.,No value available
2006-05-10,.,No value available
2006-05-11,.,No value available
2006-05-12,.,No value available
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,.,No value available
2006-05-16,5.6682665,
2006-05-17,.,No value available
2006-05-18,.,No value available
2006-05-19,.,No value available
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,.,No value available
2006-05-23,.,No value available
2006-05-24,.,No value available
2006-05-25,.,No value available
2006-05-26,.,No value available
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,.,No value available
2006-05-30,.,No value available
2006-05-31,5.6433150,
2006-06-01,.,No value available
2006-06-02,.,No value available
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,.,No value available
2006-06-06,.,No value available
2006-06-07,.,No value available
2006-06-08,.,No value available
2006-06-09,.,No value available
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,.,No value available
2006-06-13,.,No value available
2006-06-14,.,No value available
2006-06-15,5.7554215,
2006-06-16,.,No value available
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,.,No value available
2006-06-20,.,No value available
2006-06-21,.,No value available
2006-06-22,.,No value available
2006-06-23,.,No value available
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,.,No value available
2006-06-27,.,No value available
2006-06-28,.,No value available
2006-06-29,.,No value available
2006-06-30,5.7798815,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,.,No value available
2006-07-04,.,No value available
2006-07-05,.,No value available
2006-07-06,.,No value available
2006-07-07,.,No value available
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,.,No value available
2006-07-11,.,No value available
2006-07-12,.,No value available
2006-07-13,.,No value available
2006-07-14,5.7060725,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,.,No value available
2006-07-18,.,No value available
2006-07-19,.,No value available
2006-07-20,.,No value available
2006-07-21,.,No value available
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,.,No value available
2006-07-25,.,No value available
2006-07-26,.,No value available
2006-07-27,.,No value available
2006-07-28,.,No value available
2006-07-29,5.7375265,
2006-07-30,.,No value available
2006-07-31,.,No value available
2006-08-01,.,No value available
2006-08-02,.,No value available
2006-08-03,.,No value available
2006-08-04,.,No value available
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,.,No value available
2006-08-08,.,No value available
2006-08-09,.,No value available
2006-08-10,.,No value available
2006-08-11,.,No value available
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,.,No value available
2006-08-15,5.7279070,
2006-08-16,.,No value available
2006-08-17,.,No value available
2006-08-18,.,No value available
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,.,No value available
2006-08-22,.,No value available
2006-08-23,.,No value available
2006-08-24,.,No value available
2006-08-25,.,No value available
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,.,No value available
2006-08-29,.,No value available
2006-08-30,.,No value available
2006-08-31,5.7258455,
2006-09-01,.,No value available
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,.,No value available
2006-09-05,.,No value available
2006-09-06,.,No value available
2006-09-07,.,No value available
2006-09-08,.,No value available
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,.,No value available
2006-09-12,.,No value available
2006-09-13,.,No value available
2006-09-14,.,No value available
2006-09-15,5.8721650,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,.,No value available
2006-09-19,.,No value available
2006-09-20,.,No value available
2006-09-21,.,No value available
2006-09-22,.,No value available
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,.,No value available
2006-09-26,.,No value available
2006-09-27,.,No value available
2006-09-28,.,No value available
2006-09-29,.,No value available
2006-09-30,5.8519545,
2006-10-01,.,No value available
2006-10-02,.,No value available
2006-10-03,.,No value available
2006-10-04,.,No value available
2006-10-05,.,No value available
2006-10-06,.,No value available
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,.,No value available
2006-10-10,.,No value available
2006-10-11,.,No value available
2006-10-12,.,No value available
2006-10-13,5.9442510,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,.,No value available
2006-10-17,.,No value available
2006-10-18,.,No value available
2006-10-19,.,No value available
2006-10-20,.,No value available
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,.,No value available
2006-10-24,.,No value available
2006-10-25,.,No value available
2006-10-26,.,No value available
2006-10-27,.,No value available
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,.,No value available
2006-10-31,5.8142540,
2006-11-01,.,No value available
2006-11-02,.,No value available
2006-11-03,.,No value available
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,.,No value available
2006-11-07,.,No value available
2006-11-08,.,No value available
2006-11-09,.,No value available
2006-11-10,.,No value available
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,.,No value available
2006-11-14,.,No value available
2006-11-15,5.7393135,
2006-11-16,.,No value available
2006-11-17,.,No value available
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,.,No value available
2006-11-21,.,No value available
2006-11-22,.,No value available
2006-11-23,.,No value available
2006-11-24,.,No value available
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,.,No value available
2006-11-28,.,No value available
2006-11-29,.,No value available
2006-11-30,5.5891405,
2006-12-01,.,No value available
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,.,No value available
2006-12-05,.,No value available
2006-12-06,.,No value available
2006-12-07,.,No value available
2006-12-08,.,No value available
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,.,No value available
2006-12-12,.,No value available
2006-12-13,.,No value available
2006-12-14,.,No value available
2006-12-15,5.6130470,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,.,No value available
2006-12-19,.,No value available
2006-12-20,.,No value available
2006-12-21,.,No value available
2006-12-22,.,No value available
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,.,No value available
2006-12-27,.,No value available
2006-12-28,.,No value available
2006-12-29,.,No value available
2006-12-30,5.6087800,
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,.,No value available
2007-01-03,.,No value available
2007-01-04,.,No value available
2007-01-05,.,No value available
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,.,No value available
2007-01-09,.,No value available
2007-01-10,.,No value available
2007-01-11,.,No value available
2007-01-12,.,No value available
2007-01-13,5.7303190,
2007-01-14,.,No value available
2007-01-15,.,No value available
2007-01-16,.,No value available
2007-01-17,.,No value available
2007-01-18,.,No value available
2007-01-19,.,No value available
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,.,No value available
2007-01-23,.,No value available
2007-01-24,.,No value available
2007-01-25,.,No value available
2007-01-26,.,No value available
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,.,No value available
2007-01-30,.,No value available
2007-01-31,5.7205155,
2007-02-01,.,No value available
2007-02-02,.,No value available
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,.,No value available
2007-02-06,.,No value available
2007-02-07,.,No value available
2007-02-08,.,No value available
2007-02-09,.,No value available
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,.,No value available
2007-02-13,.,No value available
2007-02-14,.,No value available
2007-02-15,5.6473335,
2007-02-16,.,No value available
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,.,No value available
2007-02-20,.,No value available
2007-02-21,.,No value available
2007-02-22,.,No value available
2007-02-23,.,No value available
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,.,No value available
2007-02-27,.,No value available
2007-02-28,5.5803775,
2007-03-01,.,No value available
2007-03-02,.,No value available
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,.,No value available
2007-03-06,.,No value available
2007-03-07,.,No value available
2007-03-08,.,No value available
2007-03-09,.,No value available
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,.,No value available
2007-03-13,.,No value available
2007-03-14,.,No value available
2007-03-15,5.6058280,
2007-03-16,.,No value available
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,.,No value available
2007-03-20,.,No value available
