"",BBEX3.D.ISK.EUR.CA.AB.000,BBEX3.D.ISK.EUR.CA.AB.000_FLAGS
2010-12-15,154.90,
2010-12-16,154.49,
2010-12-17,154.76,
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,154.13,
2010-12-21,154.11,
2010-12-22,154.01,
2010-12-23,153.87,
2010-12-24,.,No value available
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,153.55,
2010-12-28,153.87,
2010-12-29,153.56,
2010-12-30,153.95,
2010-12-31,154.23,
2011-01-01,.,No value available
2011-01-02,.,No value available
2011-01-03,154.27,
2011-01-04,154.24,
2011-01-05,154.02,
2011-01-06,153.57,
2011-01-07,153.17,
2011-01-08,.,No value available
2011-01-09,.,No value available
2011-01-10,153.01,
2011-01-11,153.65,
2011-01-12,154.58,
2011-01-13,154.80,
2011-01-14,155.93,
2011-01-15,.,No value available
2011-01-16,.,No value available
2011-01-17,155.69,
2011-01-18,157.28,
2011-01-19,158.16,
2011-01-20,158.69,
2011-01-21,158.83,
2011-01-22,.,No value available
2011-01-23,.,No value available
2011-01-24,159.65,
2011-01-25,159.59,
2011-01-26,159.55,
2011-01-27,159.62,
2011-01-28,159.23,
2011-01-29,.,No value available
2011-01-30,.,No value available
2011-01-31,159.03,
2011-02-01,159.25,
2011-02-02,159.26,
2011-02-03,159.07,
2011-02-04,158.55,
2011-02-05,.,No value available
2011-02-06,.,No value available
2011-02-07,158.08,
2011-02-08,158.34,
2011-02-09,159.02,
2011-02-10,159.35,
2011-02-11,159.30,
2011-02-12,.,No value available
2011-02-13,.,No value available
2011-02-14,158.97,
2011-02-15,159.48,
2011-02-16,159.47,
2011-02-17,159.72,
2011-02-18,159.67,
2011-02-19,.,No value available
2011-02-20,.,No value available
2011-02-21,160.16,
2011-02-22,160.65,
2011-02-23,160.81,
2011-02-24,160.73,
2011-02-25,160.68,
2011-02-26,.,No value available
2011-02-27,.,No value available
2011-02-28,160.83,
2011-03-01,160.76,
2011-03-02,160.56,
2011-03-03,160.79,
2011-03-04,161.38,
2011-03-05,.,No value available
2011-03-06,.,No value available
2011-03-07,161.56,
2011-03-08,161.92,
2011-03-09,161.84,
2011-03-10,161.73,
2011-03-11,161.56,
2011-03-12,.,No value available
2011-03-13,.,No value available
2011-03-14,161.84,
2011-03-15,161.69,
2011-03-16,161.77,
2011-03-17,161.88,
2011-03-18,162.07,
2011-03-19,.,No value available
2011-03-20,.,No value available
2011-03-21,162.22,
2011-03-22,162.32,
2011-03-23,162.29,
2011-03-24,162.08,
2011-03-25,162.33,
2011-03-26,.,No value available
2011-03-27,.,No value available
2011-03-28,162.14,
2011-03-29,162.44,
2011-03-30,162.30,
2011-03-31,162.52,
2011-04-01,162.48,
2011-04-02,.,No value available
2011-04-03,.,No value available
2011-04-04,162.59,
2011-04-05,162.49,
2011-04-06,162.52,
2011-04-07,162.46,
2011-04-08,162.71,
2011-04-09,.,No value available
2011-04-10,.,No value available
2011-04-11,163.01,
2011-04-12,163.41,
2011-04-13,163.93,
2011-04-14,163.59,
2011-04-15,163.81,
2011-04-16,.,No value available
2011-04-17,.,No value available
2011-04-18,163.35,
2011-04-19,162.84,
2011-04-20,164.39,
2011-04-21,.,No value available
2011-04-22,.,No value available
2011-04-23,.,No value available
2011-04-24,.,No value available
2011-04-25,.,No value available
2011-04-26,164.84,
2011-04-27,165.08,
2011-04-28,165.07,
2011-04-29,165.27,
2011-04-30,.,No value available
2011-05-01,.,No value available
2011-05-02,165.17,
2011-05-03,165.27,
2011-05-04,165.92,
2011-05-05,165.67,
2011-05-06,164.64,
2011-05-07,.,No value available
2011-05-08,.,No value available
2011-05-09,164.36,
2011-05-10,164.06,
2011-05-11,164.00,
2011-05-12,163.87,
2011-05-13,164.42,
2011-05-14,.,No value available
2011-05-15,.,No value available
2011-05-16,163.65,
2011-05-17,164.24,
2011-05-18,164.47,
2011-05-19,164.83,
2011-05-20,164.85,
2011-05-21,.,No value available
2011-05-22,.,No value available
2011-05-23,164.43,
2011-05-24,164.88,
2011-05-25,164.75,
2011-05-26,164.98,
2011-05-27,165.14,
2011-05-28,.,No value available
2011-05-29,.,No value available
2011-05-30,165.34,
2011-05-31,165.89,
2011-06-01,165.56,
2011-06-02,.,No value available
2011-06-03,166.15,
2011-06-04,.,No value available
2011-06-05,.,No value available
2011-06-06,166.57,
2011-06-07,166.76,
2011-06-08,166.78,
2011-06-09,166.74,
2011-06-10,166.27,
2011-06-11,.,No value available
2011-06-12,.,No value available
2011-06-13,.,No value available
2011-06-14,166.25,
2011-06-15,166.39,
2011-06-16,165.31,
2011-06-17,.,No value available
2011-06-18,.,No value available
2011-06-19,.,No value available
2011-06-20,165.45,
2011-06-21,165.65,
2011-06-22,165.62,
2011-06-23,165.61,
2011-06-24,165.71,
2011-06-25,.,No value available
2011-06-26,.,No value available
2011-06-27,165.76,
2011-06-28,165.99,
2011-06-29,166.17,
2011-06-30,166.18,
2011-07-01,166.25,
2011-07-02,.,No value available
2011-07-03,.,No value available
2011-07-04,166.26,
2011-07-05,166.18,
2011-07-06,165.81,
2011-07-07,166.29,
2011-07-08,166.30,
2011-07-09,.,No value available
2011-07-10,.,No value available
2011-07-11,165.62,
2011-07-12,165.14,
2011-07-13,165.44,
2011-07-14,166.41,
2011-07-15,166.59,
2011-07-16,.,No value available
2011-07-17,.,No value available
2011-07-18,166.27,
2011-07-19,166.61,
2011-07-20,166.51,
2011-07-21,165.74,
2011-07-22,166.39,
2011-07-23,.,No value available
2011-07-24,.,No value available
2011-07-25,166.28,
2011-07-26,166.39,
2011-07-27,166.29,
2011-07-28,165.90,
2011-07-29,165.62,
2011-07-30,.,No value available
2011-07-31,.,No value available
2011-08-01,.,No value available
2011-08-02,165.21,
2011-08-03,165.31,
2011-08-04,165.18,
2011-08-05,164.94,
2011-08-06,.,No value available
2011-08-07,.,No value available
2011-08-08,165.12,
2011-08-09,164.91,
2011-08-10,165.07,
2011-08-11,164.55,
2011-08-12,164.31,
2011-08-13,.,No value available
2011-08-14,.,No value available
2011-08-15,164.48,
2011-08-16,164.49,
2011-08-17,164.30,
2011-08-18,164.11,
2011-08-19,164.04,
2011-08-20,.,No value available
2011-08-21,.,No value available
2011-08-22,164.19,
2011-08-23,164.27,
2011-08-24,164.30,
2011-08-25,164.85,
2011-08-26,164.86,
2011-08-27,.,No value available
2011-08-28,.,No value available
2011-08-29,164.87,
2011-08-30,164.73,
2011-08-31,164.16,
2011-09-01,163.55,
2011-09-02,163.48,
2011-09-03,.,No value available
2011-09-04,.,No value available
2011-09-05,163.38,
2011-09-06,163.76,
2011-09-07,163.21,
2011-09-08,162.61,
2011-09-09,161.62,
2011-09-10,.,No value available
2011-09-11,.,No value available
2011-09-12,160.57,
2011-09-13,160.70,
2011-09-14,160.97,
2011-09-15,160.91,
2011-09-16,160.58,
2011-09-17,.,No value available
2011-09-18,.,No value available
2011-09-19,160.03,
2011-09-20,160.20,
2011-09-21,160.16,
2011-09-22,159.96,
2011-09-23,159.61,
2011-09-24,.,No value available
2011-09-25,.,No value available
2011-09-26,159.76,
2011-09-27,160.27,
2011-09-28,160.76,
2011-09-29,160.37,
2011-09-30,159.89,
2011-10-01,.,No value available
2011-10-02,.,No value available
2011-10-03,158.85,
2011-10-04,158.09,
2011-10-05,158.86,
2011-10-06,159.10,
2011-10-07,158.81,
2011-10-08,.,No value available
2011-10-09,.,No value available
2011-10-10,158.78,
2011-10-11,159.11,
2011-10-12,159.56,
2011-10-13,159.39,
2011-10-14,160.07,
2011-10-15,.,No value available
2011-10-16,.,No value available
2011-10-17,160.03,
2011-10-18,159.34,
2011-10-19,159.79,
2011-10-20,160.06,
2011-10-21,159.77,
2011-10-22,.,No value available
2011-10-23,.,No value available
2011-10-24,159.48,
2011-10-25,159.74,
2011-10-26,159.45,
2011-10-27,159.48,
2011-10-28,160.18,
2011-10-29,.,No value available
2011-10-30,.,No value available
2011-10-31,159.76,
2011-11-01,158.73,
2011-11-02,158.93,
2011-11-03,158.69,
2011-11-04,158.81,
2011-11-05,.,No value available
2011-11-06,.,No value available
2011-11-07,158.30,
2011-11-08,158.45,
2011-11-09,158.91,
2011-11-10,158.83,
2011-11-11,159.28,
2011-11-12,.,No value available
2011-11-13,.,No value available
2011-11-14,159.33,
2011-11-15,159.36,
2011-11-16,159.04,
2011-11-17,159.30,
2011-11-18,159.43,
2011-11-19,.,No value available
2011-11-20,.,No value available
2011-11-21,159.76,
2011-11-22,160.12,
2011-11-23,159.93,
2011-11-24,159.87,
2011-11-25,160.14,
2011-11-26,.,No value available
2011-11-27,.,No value available
2011-11-28,160.25,
2011-11-29,160.32,
2011-11-30,160.00,
2011-12-01,160.16,
2011-12-02,160.17,
2011-12-03,.,No value available
2011-12-04,.,No value available
2011-12-05,160.02,
2011-12-06,159.86,
2011-12-07,159.65,
2011-12-08,159.57,
2011-12-09,159.38,
2011-12-10,.,No value available
2011-12-11,.,No value available
2011-12-12,159.26,
2011-12-13,159.15,
2011-12-14,158.82,
2011-12-15,159.56,
2011-12-16,159.67,
2011-12-17,.,No value available
2011-12-18,.,No value available
2011-12-19,159.95,
2011-12-20,160.47,
2011-12-21,160.64,
2011-12-22,160.54,
2011-12-23,160.54,
2011-12-24,.,No value available
2011-12-25,.,No value available
2011-12-26,.,No value available
2011-12-27,160.46,
2011-12-28,160.48,
2011-12-29,159.57,
2011-12-30,159.28,
2011-12-31,.,No value available
2012-01-01,.,No value available
2012-01-02,159.18,
2012-01-03,159.44,
2012-01-04,159.40,
2012-01-05,158.71,
2012-01-06,158.66,
2012-01-07,.,No value available
2012-01-08,.,No value available
2012-01-09,158.56,
2012-01-10,158.78,
2012-01-11,159.00,
2012-01-12,159.37,
2012-01-13,159.61,
2012-01-14,.,No value available
2012-01-15,.,No value available
2012-01-16,159.50,
2012-01-17,159.90,
2012-01-18,160.08,
2012-01-19,160.49,
2012-01-20,160.73,
2012-01-21,.,No value available
2012-01-22,.,No value available
2012-01-23,160.90,
2012-01-24,161.21,
2012-01-25,161.38,
2012-01-26,161.91,
2012-01-27,162.20,
2012-01-28,.,No value available
2012-01-29,.,No value available
2012-01-30,162.28,
2012-01-31,162.46,
2012-02-01,162.18,
2012-02-02,162.23,
2012-02-03,162.21,
2012-02-04,.,No value available
2012-02-05,.,No value available
2012-02-06,162.06,
2012-02-07,162.15,
2012-02-08,162.41,
2012-02-09,162.48,
2012-02-10,162.45,
2012-02-11,.,No value available
2012-02-12,.,No value available
2012-02-13,162.44,
2012-02-14,162.26,
2012-02-15,162.33,
2012-02-16,161.93,
2012-02-17,162.76,
2012-02-18,.,No value available
2012-02-19,.,No value available
2012-02-20,163.00,
2012-02-21,164.03,
2012-02-22,164.43,
2012-02-23,165.82,
2012-02-24,166.42,
2012-02-25,.,No value available
2012-02-26,.,No value available
2012-02-27,167.65,
2012-02-28,168.02,
2012-02-29,167.94,
2012-03-01,167.46,
2012-03-02,167.16,
2012-03-03,.,No value available
2012-03-04,.,No value available
2012-03-05,167.10,
2012-03-06,166.12,
2012-03-07,165.41,
2012-03-08,165.95,
2012-03-09,166.16,
2012-03-10,.,No value available
2012-03-11,.,No value available
2012-03-12,166.19,
2012-03-13,166.90,
2012-03-14,166.87,
2012-03-15,166.94,
2012-03-16,166.84,
2012-03-17,.,No value available
2012-03-18,.,No value available
2012-03-19,166.99,
2012-03-20,166.85,
2012-03-21,167.10,
2012-03-22,166.99,
2012-03-23,167.51,
2012-03-24,.,No value available
2012-03-25,.,No value available
2012-03-26,168.13,
2012-03-27,169.35,
2012-03-28,169.54,
2012-03-29,169.27,
2012-03-30,169.20,
2012-03-31,.,No value available
2012-04-01,.,No value available
2012-04-02,169.16,
2012-04-03,169.08,
2012-04-04,168.15,
2012-04-05,.,No value available
2012-04-06,.,No value available
2012-04-07,.,No value available
2012-04-08,.,No value available
2012-04-09,.,No value available
2012-04-10,168.26,
2012-04-11,167.73,
2012-04-12,167.56,
2012-04-13,167.61,
2012-04-14,.,No value available
2012-04-15,.,No value available
2012-04-16,167.06,
2012-04-17,167.26,
2012-04-18,166.96,
2012-04-19,.,No value available
2012-04-20,167.19,
2012-04-21,.,No value available
2012-04-22,.,No value available
2012-04-23,166.87,
2012-04-24,166.95,
2012-04-25,167.01,
2012-04-26,166.87,
2012-04-27,166.81,
2012-04-28,.,No value available
2012-04-29,.,No value available
2012-04-30,166.81,
2012-05-01,.,No value available
2012-05-02,165.60,
2012-05-03,164.57,
2012-05-04,163.30,
2012-05-05,.,No value available
2012-05-06,.,No value available
2012-05-07,163.11,
2012-05-08,162.96,
2012-05-09,162.80,
2012-05-10,163.03,
2012-05-11,163.12,
2012-05-12,.,No value available
2012-05-13,.,No value available
2012-05-14,163.37,
2012-05-15,163.24,
2012-05-16,162.95,
2012-05-17,.,No value available
2012-05-18,162.95,
2012-05-19,.,No value available
2012-05-20,.,No value available
2012-05-21,162.75,
2012-05-22,162.73,
2012-05-23,162.50,
2012-05-24,162.70,
2012-05-25,163.01,
2012-05-26,.,No value available
2012-05-27,.,No value available
2012-05-28,.,No value available
2012-05-29,163.02,
2012-05-30,162.74,
2012-05-31,162.60,
2012-06-01,161.80,
2012-06-02,.,No value available
2012-06-03,.,No value available
2012-06-04,161.87,
2012-06-05,161.86,
2012-06-06,161.93,
2012-06-07,162.16,
2012-06-08,162.07,
2012-06-09,.,No value available
2012-06-10,.,No value available
2012-06-11,162.56,
2012-06-12,162.41,
2012-06-13,162.53,
2012-06-14,161.47,
2012-06-15,160.22,
2012-06-16,.,No value available
2012-06-17,.,No value available
2012-06-18,158.64,
2012-06-19,158.45,
2012-06-20,158.68,
2012-06-21,158.78,
2012-06-22,158.58,
2012-06-23,.,No value available
2012-06-24,.,No value available
2012-06-25,158.41,
2012-06-26,158.38,
2012-06-27,158.28,
2012-06-28,158.12,
2012-06-29,158.67,
2012-06-30,.,No value available
2012-07-01,.,No value available
2012-07-02,158.47,
2012-07-03,158.49,
2012-07-04,158.94,
2012-07-05,159.39,
2012-07-06,158.78,
2012-07-07,.,No value available
2012-07-08,.,No value available
2012-07-09,158.35,
2012-07-10,158.12,
2012-07-11,157.94,
2012-07-12,157.63,
2012-07-13,157.89,
2012-07-14,.,No value available
2012-07-15,.,No value available
2012-07-16,157.70,
2012-07-17,156.33,
2012-07-18,154.76,
2012-07-19,154.81,
2012-07-20,153.10,
2012-07-21,.,No value available
2012-07-22,.,No value available
2012-07-23,151.42,
2012-07-24,151.22,
2012-07-25,151.36,
2012-07-26,151.62,
2012-07-27,150.78,
2012-07-28,.,No value available
2012-07-29,.,No value available
2012-07-30,149.67,
2012-07-31,149.01,
2012-08-01,148.74,
2012-08-02,148.64,
2012-08-03,148.28,
2012-08-04,.,No value available
2012-08-05,.,No value available
2012-08-06,.,No value available
2012-08-07,148.46,
2012-08-08,148.12,
2012-08-09,147.70,
2012-08-10,147.45,
2012-08-11,.,No value available
2012-08-12,.,No value available
2012-08-13,147.69,
2012-08-14,148.11,
2012-08-15,147.77,
2012-08-16,147.81,
2012-08-17,148.21,
2012-08-18,.,No value available
2012-08-19,.,No value available
2012-08-20,148.05,
2012-08-21,148.57,
2012-08-22,148.65,
2012-08-23,149.55,
2012-08-24,151.29,
2012-08-25,.,No value available
2012-08-26,.,No value available
2012-08-27,151.92,
2012-08-28,152.57,
2012-08-29,153.34,
2012-08-30,153.80,
2012-08-31,153.91,
2012-09-01,.,No value available
2012-09-02,.,No value available
2012-09-03,154.28,
2012-09-04,154.71,
2012-09-05,154.79,
2012-09-06,155.79,
2012-09-07,156.54,
2012-09-08,.,No value available
2012-09-09,.,No value available
2012-09-10,156.77,
2012-09-11,156.92,
2012-09-12,157.45,
2012-09-13,157.85,
2012-09-14,158.79,
2012-09-15,.,No value available
2012-09-16,.,No value available
2012-09-17,159.55,
2012-09-18,159.81,
2012-09-19,160.18,
2012-09-20,160.54,
2012-09-21,160.75,
2012-09-22,.,No value available
2012-09-23,.,No value available
2012-09-24,160.61,
2012-09-25,160.65,
2012-09-26,160.67,
2012-09-27,160.75,
2012-09-28,160.42,
2012-09-29,.,No value available
2012-09-30,.,No value available
2012-10-01,160.05,
2012-10-02,160.16,
2012-10-03,159.35,
2012-10-04,159.33,
2012-10-05,159.30,
2012-10-06,.,No value available
2012-10-07,.,No value available
2012-10-08,158.65,
2012-10-09,158.56,
2012-10-10,158.72,
2012-10-11,159.05,
2012-10-12,159.68,
2012-10-13,.,No value available
2012-10-14,.,No value available
2012-10-15,159.84,
2012-10-16,160.31,
2012-10-17,161.00,
2012-10-18,161.33,
2012-10-19,162.30,
2012-10-20,.,No value available
2012-10-21,.,No value available
2012-10-22,162.81,
2012-10-23,163.41,
2012-10-24,163.81,
2012-10-25,165.12,
2012-10-26,165.10,
2012-10-27,.,No value available
2012-10-28,.,No value available
2012-10-29,164.89,
2012-10-30,165.39,
2012-10-31,165.67,
2012-11-01,163.76,
2012-11-02,163.44,
2012-11-03,.,No value available
2012-11-04,.,No value available
2012-11-05,163.25,
2012-11-06,163.34,
2012-11-07,163.75,
2012-11-08,163.75,
2012-11-09,164.16,
2012-11-10,.,No value available
2012-11-11,.,No value available
2012-11-12,164.25,
2012-11-13,164.33,
2012-11-14,164.83,
2012-11-15,165.37,
2012-11-16,164.41,
2012-11-17,.,No value available
2012-11-18,.,No value available
2012-11-19,162.57,
2012-11-20,162.65,
2012-11-21,162.90,
2012-11-22,163.11,
2012-11-23,163.15,
2012-11-24,.,No value available
2012-11-25,.,No value available
2012-11-26,163.41,
2012-11-27,163.61,
2012-11-28,163.45,
2012-11-29,163.86,
2012-11-30,163.87,
2012-12-01,.,No value available
2012-12-02,.,No value available
2012-12-03,164.06,
2012-12-04,163.90,
2012-12-05,164.01,
2012-12-06,164.00,
2012-12-07,163.86,
2012-12-08,.,No value available
2012-12-09,.,No value available
2012-12-10,164.13,
2012-12-11,164.59,
2012-12-12,165.92,
2012-12-13,166.13,
2012-12-14,166.02,
2012-12-15,.,No value available
2012-12-16,.,No value available
2012-12-17,166.67,
2012-12-18,166.76,
2012-12-19,166.89,
2012-12-20,166.58,
2012-12-21,167.48,
2012-12-22,.,No value available
2012-12-23,.,No value available
2012-12-24,.,No value available
2012-12-25,.,No value available
2012-12-26,.,No value available
2012-12-27,169.31,
2012-12-28,170.39,
2012-12-29,.,No value available
2012-12-30,.,No value available
2012-12-31,170.27,
2013-01-01,.,No value available
2013-01-02,169.47,
2013-01-03,169.05,
2013-01-04,169.21,
2013-01-05,.,No value available
2013-01-06,.,No value available
2013-01-07,169.25,
2013-01-08,169.40,
2013-01-09,169.50,
2013-01-10,169.97,
2013-01-11,171.03,
2013-01-12,.,No value available
2013-01-13,.,No value available
2013-01-14,171.67,
2013-01-15,171.93,
2013-01-16,171.95,
2013-01-17,172.42,
2013-01-18,172.48,
2013-01-19,.,No value available
2013-01-20,.,No value available
2013-01-21,171.55,
2013-01-22,171.57,
2013-01-23,172.23,
2013-01-24,172.59,
2013-01-25,173.24,
2013-01-26,.,No value available
2013-01-27,.,No value available
2013-01-28,173.32,
2013-01-29,173.78,
2013-01-30,174.66,
2013-01-31,172.32,
2013-02-01,172.96,
2013-02-02,.,No value available
2013-02-03,.,No value available
2013-02-04,172.07,
2013-02-05,172.12,
2013-02-06,172.34,
2013-02-07,172.54,
2013-02-08,171.99,
2013-02-09,.,No value available
2013-02-10,.,No value available
2013-02-11,172.92,
2013-02-12,172.52,
2013-02-13,172.79,
2013-02-14,172.35,
2013-02-15,172.63,
2013-02-16,.,No value available
2013-02-17,.,No value available
2013-02-18,173.18,
2013-02-19,172.96,
2013-02-20,172.83,
2013-02-21,171.76,
2013-02-22,168.37,
2013-02-23,.,No value available
2013-02-24,.,No value available
2013-02-25,168.08,
2013-02-26,166.71,
2013-02-27,165.86,
2013-02-28,165.39,
2013-03-01,162.55,
2013-03-02,.,No value available
2013-03-03,.,No value available
2013-03-04,162.65,
2013-03-05,162.85,
2013-03-06,163.35,
2013-03-07,163.77,
2013-03-08,165.34,
2013-03-09,.,No value available
2013-03-10,.,No value available
2013-03-11,165.09,
2013-03-12,165.17,
2013-03-13,165.19,
2013-03-14,164.70,
2013-03-15,163.58,
2013-03-16,.,No value available
2013-03-17,.,No value available
2013-03-18,163.13,
2013-03-19,163.12,
2013-03-20,163.24,
2013-03-21,162.35,
2013-03-22,160.79,
2013-03-23,.,No value available
2013-03-24,.,No value available
2013-03-25,160.75,
2013-03-26,160.22,
2013-03-27,159.84,
2013-03-28,.,No value available
2013-03-29,.,No value available
2013-03-30,.,No value available
2013-03-31,.,No value available
2013-04-01,.,No value available
2013-04-02,158.94,
2013-04-03,159.01,
2013-04-04,158.69,
2013-04-05,156.74,
2013-04-06,.,No value available
2013-04-07,.,No value available
2013-04-08,155.37,
2013-04-09,155.61,
2013-04-10,155.73,
2013-04-11,156.01,
2013-04-12,155.69,
2013-04-13,.,No value available
2013-04-14,.,No value available
2013-04-15,155.31,
2013-04-16,154.67,
2013-04-17,154.91,
2013-04-18,154.53,
2013-04-19,153.15,
2013-04-20,.,No value available
2013-04-21,.,No value available
2013-04-22,153.13,
2013-04-23,152.89,
2013-04-24,152.94,
2013-04-25,.,No value available
2013-04-26,152.92,
2013-04-27,.,No value available
2013-04-28,.,No value available
2013-04-29,153.66,
2013-04-30,153.34,
2013-05-01,.,No value available
2013-05-02,153.04,
2013-05-03,152.77,
2013-05-04,.,No value available
2013-05-05,.,No value available
2013-05-06,152.54,
2013-05-07,153.03,
2013-05-08,153.94,
2013-05-09,.,No value available
2013-05-10,155.11,
2013-05-11,.,No value available
2013-05-12,.,No value available
2013-05-13,156.64,
2013-05-14,159.35,
2013-05-15,159.17,
2013-05-16,158.85,
2013-05-17,159.05,
2013-05-18,.,No value available
2013-05-19,.,No value available
2013-05-20,.,No value available
2013-05-21,158.99,
2013-05-22,159.31,
2013-05-23,159.76,
2013-05-24,160.64,
2013-05-25,.,No value available
2013-05-26,.,No value available
2013-05-27,160.73,
2013-05-28,160.97,
2013-05-29,159.85,
2013-05-30,159.98,
2013-05-31,159.92,
2013-06-01,.,No value available
2013-06-02,.,No value available
2013-06-03,159.74,
2013-06-04,160.24,
2013-06-05,160.24,
2013-06-06,159.85,
2013-06-07,160.08,
2013-06-08,.,No value available
2013-06-09,.,No value available
2013-06-10,160.25,
2013-06-11,160.52,
2013-06-12,160.81,
2013-06-13,160.94,
2013-06-14,160.85,
2013-06-15,.,No value available
2013-06-16,.,No value available
2013-06-17,.,No value available
2013-06-18,160.89,
2013-06-19,160.90,
2013-06-20,162.52,
2013-06-21,162.15,
2013-06-22,.,No value available
2013-06-23,.,No value available
2013-06-24,162.17,
2013-06-25,162.50,
2013-06-26,161.86,
2013-06-27,161.66,
2013-06-28,161.55,
2013-06-29,.,No value available
2013-06-30,.,No value available
2013-07-01,161.60,
2013-07-02,161.95,
2013-07-03,162.22,
2013-07-04,162.42,
2013-07-05,162.15,
2013-07-06,.,No value available
2013-07-07,.,No value available
2013-07-08,162.55,
2013-07-09,163.25,
2013-07-10,162.47,
2013-07-11,162.46,
2013-07-12,160.96,
2013-07-13,.,No value available
2013-07-14,.,No value available
2013-07-15,160.68,
2013-07-16,160.08,
2013-07-17,159.34,
2013-07-18,159.39,
2013-07-19,159.57,
2013-07-20,.,No value available
2013-07-21,.,No value available
2013-07-22,159.54,
2013-07-23,159.54,
2013-07-24,160.00,
2013-07-25,160.47,
2013-07-26,160.07,
2013-07-27,.,No value available
2013-07-28,.,No value available
2013-07-29,159.81,
2013-07-30,158.54,
2013-07-31,158.52,
2013-08-01,158.14,
2013-08-02,158.12,
2013-08-03,.,No value available
2013-08-04,.,No value available
2013-08-05,.,No value available
2013-08-06,158.13,
2013-08-07,158.13,
2013-08-08,158.38,
2013-08-09,158.35,
2013-08-10,.,No value available
2013-08-11,.,No value available
2013-08-12,158.40,
2013-08-13,158.95,
2013-08-14,160.15,
2013-08-15,160.53,
2013-08-16,160.30,
2013-08-17,.,No value available
2013-08-18,.,No value available
2013-08-19,160.67,
2013-08-20,160.96,
2013-08-21,161.30,
2013-08-22,161.24,
2013-08-23,161.04,
2013-08-24,.,No value available
2013-08-25,.,No value available
2013-08-26,161.15,
2013-08-27,161.06,
2013-08-28,160.85,
2013-08-29,160.05,
2013-08-30,159.11,
2013-08-31,.,No value available
2013-09-01,.,No value available
2013-09-02,159.05,
2013-09-03,159.48,
2013-09-04,159.98,
2013-09-05,160.52,
2013-09-06,160.50,
2013-09-07,.,No value available
2013-09-08,.,No value available
2013-09-09,160.73,
2013-09-10,161.10,
2013-09-11,161.52,
2013-09-12,161.69,
2013-09-13,162.44,
2013-09-14,.,No value available
2013-09-15,.,No value available
2013-09-16,162.52,
2013-09-17,162.74,
2013-09-18,162.15,
2013-09-19,162.24,
2013-09-20,162.34,
2013-09-21,.,No value available
2013-09-22,.,No value available
2013-09-23,162.65,
2013-09-24,163.56,
2013-09-25,164.65,
2013-09-26,164.52,
2013-09-27,164.10,
2013-09-28,.,No value available
2013-09-29,.,No value available
2013-09-30,163.85,
2013-10-01,163.55,
2013-10-02,164.30,
2013-10-03,164.90,
2013-10-04,164.59,
2013-10-05,.,No value available
2013-10-06,.,No value available
2013-10-07,164.71,
2013-10-08,164.93,
2013-10-09,165.38,
2013-10-10,165.64,
2013-10-11,165.93,
2013-10-12,.,No value available
2013-10-13,.,No value available
2013-10-14,165.69,
2013-10-15,164.25,
2013-10-16,164.21,
2013-10-17,164.27,
2013-10-18,164.64,
2013-10-19,.,No value available
2013-10-20,.,No value available
2013-10-21,164.84,
2013-10-22,165.50,
2013-10-23,166.06,
2013-10-24,166.16,
2013-10-25,165.96,
2013-10-26,.,No value available
2013-10-27,.,No value available
2013-10-28,166.16,
2013-10-29,166.12,
2013-10-30,165.98,
2013-10-31,164.89,
2013-11-01,164.22,
2013-11-02,.,No value available
2013-11-03,.,No value available
2013-11-04,164.66,
2013-11-05,164.70,
2013-11-06,164.71,
2013-11-07,164.81,
2013-11-08,164.65,
2013-11-09,.,No value available
2013-11-10,.,No value available
2013-11-11,164.41,
2013-11-12,165.11,
2013-11-13,165.47,
2013-11-14,165.56,
2013-11-15,164.23,
2013-11-16,.,No value available
2013-11-17,.,No value available
2013-11-18,164.01,
2013-11-19,164.40,
2013-11-20,164.57,
2013-11-21,164.50,
2013-11-22,164.88,
2013-11-23,.,No value available
2013-11-24,.,No value available
2013-11-25,165.05,
2013-11-26,164.70,
2013-11-27,164.76,
2013-11-28,163.42,
2013-11-29,163.15,
2013-11-30,.,No value available
2013-12-01,.,No value available
2013-12-02,162.86,
2013-12-03,162.80,
2013-12-04,162.72,
2013-12-05,162.87,
2013-12-06,162.36,
2013-12-07,.,No value available
2013-12-08,.,No value available
2013-12-09,162.39,
2013-12-10,162.05,
2013-12-11,162.16,
2013-12-12,161.59,
2013-12-13,161.62,
2013-12-14,.,No value available
2013-12-15,.,No value available
2013-12-16,161.30,
2013-12-17,161.10,
2013-12-18,160.51,
2013-12-19,160.25,
2013-12-20,159.71,
2013-12-21,.,No value available
2013-12-22,.,No value available
2013-12-23,159.77,
2013-12-24,.,No value available
2013-12-25,.,No value available
2013-12-26,.,No value available
2013-12-27,159.78,
2013-12-28,.,No value available
2013-12-29,.,No value available
2013-12-30,159.37,
2013-12-31,158.94,
2014-01-01,.,No value available
2014-01-02,158.82,
2014-01-03,158.26,
2014-01-04,.,No value available
2014-01-05,.,No value available
2014-01-06,158.60,
2014-01-07,158.86,
2014-01-08,159.11,
2014-01-09,159.79,
2014-01-10,159.55,
2014-01-11,.,No value available
2014-01-12,.,No value available
2014-01-13,160.15,
2014-01-14,158.29,
2014-01-15,158.02,
2014-01-16,157.95,
2014-01-17,157.89,
2014-01-18,.,No value available
2014-01-19,.,No value available
