"",BBEX3.M.IDR.USD.CA.AC.A01,BBEX3.M.IDR.USD.CA.AC.A01_FLAGS
2003-08,8535.000,
2003-09,8389.000,
2003-10,8495.000,
2003-11,8537.000,
2003-12,8465.000,
2004-01,8441.000,
2004-02,8447.000,
2004-03,8587.000,
2004-04,8661.000,
2004-05,9215.000,
2004-06,9415.000,
2004-07,9168.000,
2004-08,9328.000,
2004-09,9170.000,
2004-10,9090.000,
2004-11,9018.000,
2004-12,9290.000,
2005-01,9165.000,
2005-02,9260.000,
2005-03,9480.000,
2005-04,9570.000,
2005-05,9495.000,
2005-06,9713.000,
2005-07,9819.000,
2005-08,10240.000,
2005-09,10310.000,
2005-10,10090.000,
2005-11,10035.000,
2005-12,9830.000,
2006-01,9395.000,
2006-02,9230.000,
2006-03,9075.000,
2006-04,8775.000,
2006-05,9220.000,
2006-06,9300.000,
2006-07,9070.000,
2006-08,9100.000,
2006-09,9235.000,
2006-10,9110.000,
2006-11,9165.000,
2006-12,9020.000,
2007-01,9090.000,
2007-02,9160.000,
2007-03,9118.000,
2007-04,9083.000,
2007-05,8828.000,
2007-06,9054.000,
2007-07,9186.000,
2007-08,9410.000,
2007-09,9137.000,
2007-10,9103.000,
2007-11,9376.000,
2007-12,9419.000,
2008-01,9291.000,
2008-02,9051.000,
2008-03,9217.000,
2008-04,9234.000,
2008-05,9318.000,
2008-06,9225.000,
2008-07,9118.000,
2008-08,9153.000,
2008-09,9378.000,
2008-10,10995.000,
2008-11,12151.000,
2008-12,10950.000,
2009-01,11355.000,
2009-02,11980.000,
2009-03,11575.000,
2009-04,10713.000,
2009-05,10340.000,
2009-06,10225.000,
2009-07,9920.000,
2009-08,10060.000,
2009-09,9681.000,
2009-10,9545.000,
2009-11,9480.000,
2009-12,9400.000,
2010-01,9365.000,
2010-02,9335.000,
2010-03,9115.000,
2010-04,9012.000,
2010-05,9180.000,
2010-06,9083.000,
2010-07,8952.000,
2010-08,9041.000,
2010-09,8924.000,
2010-10,8928.000,
2010-11,9013.000,
2010-12,8991.000,
2011-01,9057.000,
2011-02,8823.000,
2011-03,8709.000,
2011-04,8574.000,
2011-05,8537.000,
2011-06,8597.000,
2011-07,8508.000,
2011-08,8578.000,
2011-09,8823.000,
2011-10,8835.000,
2011-11,9170.000,
2011-12,9068.000,
2012-01,9000.000,
2012-02,9085.000,
2012-03,9180.000,
2012-04,9190.000,
2012-05,9565.000,
2012-06,9480.000,
2012-07,9485.000,
2012-08,9560.000,
2012-09,9588.000,
2012-10,9615.000,
2012-11,9605.000,
2012-12,9670.000,
2013-01,9698.000,
2013-02,9667.000,
2013-03,9719.000,
2013-04,9722.000,
2013-05,9802.000,
2013-06,9929.000,
2013-07,10278.000,
2013-08,10924.000,
2013-09,11613.000,
2013-10,11234.000,
2013-11,11977.000,
2013-12,12189.000,
2014-01,12226.000,
2014-02,11634.000,
2014-03,11404.000,
2014-04,11532.000,
2014-05,11611.000,
2014-06,11969.000,
2014-07,11591.000,
2014-08,11717.000,
2014-09,12212.000,
2014-10,12082.000,
2014-11,12196.000,
2014-12,12440.000,
2015-01,12625.000,
"","Source: Calculated on the basis of the buying and selling rates of the Bank Indonesia, Jakarta.",
