"",BBEX3.D.TRY.USD.CA.AB.000,BBEX3.D.TRY.USD.CA.AB.000_FLAGS
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,1.5824,
2006-07-18,1.5917,
2006-07-19,1.5827,
2006-07-20,1.5757,
2006-07-21,1.5531,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,1.5508,
2006-07-25,1.5534,
2006-07-26,1.5370,
2006-07-27,1.5242,
2006-07-28,1.5066,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,1.5026,
2006-08-01,1.4882,
2006-08-02,1.5030,
2006-08-03,1.5066,
2006-08-04,1.4951,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,1.4899,
2006-08-08,1.4663,
2006-08-09,1.4651,
2006-08-10,1.4548,
2006-08-11,1.4516,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,1.4484,
2006-08-15,1.4599,
2006-08-16,1.4728,
2006-08-17,1.4522,
2006-08-18,1.4382,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,1.4434,
2006-08-22,1.4553,
2006-08-23,1.4547,
2006-08-24,1.4575,
2006-08-25,1.4800,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,1.4800,
2006-08-29,1.4851,
2006-08-30,1.4753,
2006-08-31,.,No value available
2006-09-01,1.4548,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,1.4678,
2006-09-05,1.4577,
2006-09-06,1.4490,
2006-09-07,1.4591,
2006-09-08,1.4793,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,1.4779,
2006-09-12,1.4833,
2006-09-13,1.4770,
2006-09-14,1.4693,
2006-09-15,1.4773,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,1.4738,
2006-09-19,1.4620,
2006-09-20,1.4689,
2006-09-21,1.4719,
2006-09-22,1.4758,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,1.5326,
2006-09-26,1.5092,
2006-09-27,1.5241,
2006-09-28,1.4944,
2006-09-29,1.4991,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,1.5043,
2006-10-03,1.5142,
2006-10-04,1.5008,
2006-10-05,1.5158,
2006-10-06,1.4967,
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,1.4925,
2006-10-10,1.5024,
2006-10-11,1.4992,
2006-10-12,1.4899,
2006-10-13,1.4895,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,1.4722,
2006-10-17,1.4763,
2006-10-18,1.4760,
2006-10-19,1.4772,
2006-10-20,1.4622,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,1.4571,
2006-10-24,.,No value available
2006-10-25,.,No value available
2006-10-26,.,No value available
2006-10-27,1.4517,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,1.4490,
2006-10-31,1.4571,
2006-11-01,1.4610,
2006-11-02,1.4551,
2006-11-03,1.4603,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,1.4672,
2006-11-07,1.4484,
2006-11-08,1.4423,
2006-11-09,1.4558,
2006-11-10,1.4494,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,1.4470,
2006-11-14,1.4502,
2006-11-15,1.4484,
2006-11-16,1.4497,
2006-11-17,1.4393,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,1.4438,
2006-11-21,1.4566,
2006-11-22,1.4582,
2006-11-23,1.4724,
2006-11-24,1.4774,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,1.4776,
2006-11-28,1.4667,
2006-11-29,1.4827,
2006-11-30,1.4670,
2006-12-01,1.4528,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,1.4469,
2006-12-05,1.4571,
2006-12-06,1.4524,
2006-12-07,1.4464,
2006-12-08,1.4336,
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,1.4345,
2006-12-12,1.4338,
2006-12-13,1.4242,
2006-12-14,1.4270,
2006-12-15,1.4233,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,1.4222,
2006-12-19,1.4258,
2006-12-20,1.4339,
2006-12-21,1.4293,
2006-12-22,1.4285,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,1.4254,
2006-12-26,1.4291,
2006-12-27,1.4266,
2006-12-28,1.4260,
2006-12-29,1.4199,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,1.4124,
2007-01-02,.,No value available
2007-01-03,.,No value available
2007-01-04,.,No value available
2007-01-05,1.4154,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,1.4335,
2007-01-09,1.4461,
2007-01-10,1.4335,
2007-01-11,1.4518,
2007-01-12,1.4390,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,1.4332,
2007-01-16,1.4271,
2007-01-17,1.4285,
2007-01-18,1.4320,
2007-01-19,1.4233,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,1.4171,
2007-01-23,1.4109,
2007-01-24,1.4118,
2007-01-25,1.4141,
2007-01-26,1.4155,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,1.4321,
2007-01-30,1.4269,
2007-01-31,1.4290,
2007-02-01,1.4203,
2007-02-02,1.4069,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,1.4038,
2007-02-06,1.4075,
2007-02-07,1.4011,
2007-02-08,1.4016,
2007-02-09,1.4047,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,1.3993,
2007-02-13,1.4099,
2007-02-14,1.4059,
2007-02-15,1.3976,
2007-02-16,1.3891,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,1.3885,
2007-02-20,1.3854,
2007-02-21,1.3822,
2007-02-22,1.3848,
2007-02-23,1.3827,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,1.3826,
2007-02-27,1.3860,
2007-02-28,1.3989,
2007-03-01,1.4198,
2007-03-02,1.4157,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,1.4262,
2007-03-06,1.4568,
2007-03-07,1.4372,
2007-03-08,1.4327,
2007-03-09,1.4228,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,1.4206,
2007-03-13,1.4058,
2007-03-14,1.4114,
2007-03-15,1.4262,
2007-03-16,1.4101,
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,1.4076,
2007-03-20,1.3999,
2007-03-21,1.3936,
2007-03-22,1.3961,
2007-03-23,1.3832,
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,1.3839,
2007-03-27,1.3859,
2007-03-28,1.3900,
2007-03-29,1.3936,
2007-03-30,1.3928,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,1.3868,
2007-04-03,1.3880,
2007-04-04,1.3838,
2007-04-05,1.3707,
2007-04-06,1.3691,
2007-04-07,.,No value available
2007-04-08,.,No value available
2007-04-09,.,No value available
2007-04-10,1.3716,
2007-04-11,1.3750,
2007-04-12,1.3689,
2007-04-13,1.3755,
2007-04-14,.,No value available
2007-04-15,.,No value available
2007-04-16,1.3733,
2007-04-17,1.3590,
2007-04-18,1.3577,
2007-04-19,1.3489,
2007-04-20,1.3592,
2007-04-21,.,No value available
2007-04-22,.,No value available
2007-04-23,.,No value available
2007-04-24,1.3424,
2007-04-25,1.3423,
2007-04-26,1.3342,
2007-04-27,1.3303,
2007-04-28,.,No value available
2007-04-29,.,No value available
2007-04-30,1.3338,
2007-05-01,1.3673,
2007-05-02,1.3827,
2007-05-03,1.3588,
2007-05-04,1.3532,
2007-05-05,.,No value available
2007-05-06,.,No value available
2007-05-07,1.3544,
2007-05-08,1.3401,
2007-05-09,1.3387,
2007-05-10,1.3379,
2007-05-11,1.3388,
2007-05-12,.,No value available
2007-05-13,.,No value available
2007-05-14,1.3471,
2007-05-15,1.3349,
2007-05-16,1.3372,
2007-05-17,1.3233,
2007-05-18,1.3230,
2007-05-19,.,No value available
2007-05-20,.,No value available
2007-05-21,1.3298,
2007-05-22,1.3215,
2007-05-23,1.3203,
2007-05-24,1.3257,
2007-05-25,1.3312,
2007-05-26,.,No value available
2007-05-27,.,No value available
2007-05-28,1.3323,
2007-05-29,1.3255,
2007-05-30,1.3251,
2007-05-31,1.3317,
2007-06-01,1.3230,
2007-06-02,.,No value available
2007-06-03,.,No value available
2007-06-04,1.3130,
2007-06-05,1.3116,
2007-06-06,1.3121,
2007-06-07,1.3190,
2007-06-08,1.3213,
2007-06-09,.,No value available
2007-06-10,.,No value available
2007-06-11,1.3516,
2007-06-12,1.3382,
2007-06-13,1.3354,
2007-06-14,1.3472,
2007-06-15,1.3339,
2007-06-16,.,No value available
2007-06-17,.,No value available
2007-06-18,1.3235,
2007-06-19,1.3040,
2007-06-20,1.3026,
2007-06-21,1.3021,
2007-06-22,1.3110,
2007-06-23,.,No value available
2007-06-24,.,No value available
2007-06-25,1.3090,
2007-06-26,1.3155,
2007-06-27,1.3261,
2007-06-28,1.3314,
2007-06-29,1.3210,
2007-06-30,.,No value available
2007-07-01,.,No value available
2007-07-02,1.3109,
2007-07-03,1.3043,
2007-07-04,1.2939,
2007-07-05,1.2939,
2007-07-06,1.2937,
2007-07-07,.,No value available
2007-07-08,.,No value available
2007-07-09,1.2971,
2007-07-10,1.2861,
2007-07-11,1.2866,
2007-07-12,1.2929,
2007-07-13,1.2873,
2007-07-14,.,No value available
2007-07-15,.,No value available
2007-07-16,1.2729,
2007-07-17,1.2716,
2007-07-18,1.2785,
2007-07-19,1.2777,
2007-07-20,1.2669,
2007-07-21,.,No value available
2007-07-22,.,No value available
2007-07-23,1.2666,
2007-07-24,1.2542,
2007-07-25,1.2421,
2007-07-26,1.2475,
2007-07-27,1.2669,
2007-07-28,.,No value available
2007-07-29,.,No value available
2007-07-30,1.3084,
2007-07-31,1.3069,
2007-08-01,1.2807,
2007-08-02,1.3072,
2007-08-03,1.2850,
2007-08-04,.,No value available
2007-08-05,.,No value available
2007-08-06,1.2720,
2007-08-07,1.2802,
2007-08-08,1.2730,
2007-08-09,1.2614,
2007-08-10,1.2731,
2007-08-11,.,No value available
2007-08-12,.,No value available
2007-08-13,1.2968,
2007-08-14,1.2895,
2007-08-15,1.3024,
2007-08-16,1.3370,
2007-08-17,1.3893,
2007-08-18,.,No value available
2007-08-19,.,No value available
2007-08-20,1.3947,
2007-08-21,1.3447,
2007-08-22,1.3696,
2007-08-23,1.3437,
2007-08-24,1.3207,
2007-08-25,.,No value available
2007-08-26,.,No value available
2007-08-27,1.3301,
2007-08-28,1.3147,
2007-08-29,1.3247,
2007-08-30,.,No value available
2007-08-31,1.3306,
2007-09-01,.,No value available
2007-09-02,.,No value available
2007-09-03,1.2976,
2007-09-04,1.3003,
2007-09-05,1.3072,
2007-09-06,1.3021,
2007-09-07,1.3015,
2007-09-08,.,No value available
2007-09-09,.,No value available
2007-09-10,1.2934,
2007-09-11,1.3020,
2007-09-12,1.2929,
2007-09-13,1.2779,
2007-09-14,1.2692,
2007-09-15,.,No value available
2007-09-16,.,No value available
2007-09-17,1.2626,
2007-09-18,1.2668,
2007-09-19,1.2670,
2007-09-20,1.2404,
2007-09-21,1.2366,
2007-09-22,.,No value available
2007-09-23,.,No value available
2007-09-24,1.2336,
2007-09-25,1.2245,
2007-09-26,1.2337,
2007-09-27,1.2226,
2007-09-28,1.2158,
2007-09-29,.,No value available
2007-09-30,.,No value available
2007-10-01,1.2106,
2007-10-02,1.2048,
2007-10-03,1.2058,
2007-10-04,1.2047,
2007-10-05,1.2046,
2007-10-06,.,No value available
2007-10-07,.,No value available
2007-10-08,1.1913,
2007-10-09,1.1850,
2007-10-10,1.1900,
2007-10-11,1.1829,
2007-10-12,.,No value available
2007-10-13,.,No value available
2007-10-14,.,No value available
2007-10-15,.,No value available
2007-10-16,1.2013,
2007-10-17,1.2235,
2007-10-18,1.2086,
2007-10-19,1.2048,
2007-10-20,.,No value available
2007-10-21,.,No value available
2007-10-22,1.2031,
2007-10-23,1.2370,
2007-10-24,1.2160,
2007-10-25,1.2141,
2007-10-26,1.1990,
2007-10-27,.,No value available
2007-10-28,.,No value available
2007-10-29,.,No value available
2007-10-30,1.1882,
2007-10-31,1.1915,
2007-11-01,1.1773,
2007-11-02,1.1732,
2007-11-03,.,No value available
2007-11-04,.,No value available
2007-11-05,1.1814,
2007-11-06,1.1889,
2007-11-07,1.1748,
2007-11-08,1.1735,
2007-11-09,1.1822,
2007-11-10,.,No value available
2007-11-11,.,No value available
2007-11-12,1.1851,
2007-11-13,1.2100,
2007-11-14,1.2062,
2007-11-15,1.1810,
2007-11-16,1.1805,
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,1.1870,
2007-11-20,1.1856,
2007-11-21,1.1921,
2007-11-22,1.2036,
2007-11-23,1.1995,
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,1.1997,
2007-11-27,1.1919,
2007-11-28,1.2178,
