"",BBEX3.M.KRW.USD.CA.AC.A01,BBEX3.M.KRW.USD.CA.AC.A01_FLAGS
2007-05,927.700,
2007-06,923.800,
2007-07,919.300,
2007-08,938.300,
2007-09,915.200,
2007-10,901.000,
2007-11,921.100,
2007-12,932.000,
2008-01,943.900,
2008-02,939.000,
2008-03,990.400,
2008-04,1003.500,
2008-05,1030.100,
2008-06,1046.000,
2008-07,1012.100,
2008-08,1090.000,
2008-09,1207.000,
2008-10,1298.000,
2008-11,1463.000,
2008-12,1310.000,
2009-01,1379.500,
2009-02,1533.000,
2009-03,1368.000,
2009-04,1290.000,
2009-05,1253.000,
2009-06,1272.000,
2009-07,1229.500,
2009-08,1249.500,
2009-09,1178.000,
2009-10,1184.000,
2009-11,1161.000,
2009-12,1159.000,
2010-01,1157.000,
2010-02,1159.000,
2010-03,1129.000,
2010-04,1107.000,
2010-05,1202.500,
2010-06,1219.000,
2010-07,1184.500,
2010-08,1198.100,
2010-09,1136.500,
2010-10,1125.000,
2010-11,1159.500,
2010-12,1120.000,
2011-01,1121.500,
2011-02,1128.000,
2011-03,1096.500,
2011-04,1069.000,
2011-05,1078.500,
2011-06,1067.500,
2011-07,1054.000,
2011-08,1066.000,
2011-09,1179.000,
2011-10,1107.000,
2011-11,1145.500,
2011-12,1159.000,
2012-01,1122.000,
2012-02,1116.000,
2012-03,1132.000,
2012-04,1128.500,
2012-05,1177.500,
2012-06,1146.500,
2012-07,1128.500,
2012-08,1134.000,
2012-09,1112.000,
2012-10,1090.000,
2012-11,1082.500,
2012-12,1063.000,
2013-01,1087.000,
2013-02,1083.000,
2013-03,1112.700,
2013-04,1101.200,
2013-05,1129.700,
2013-06,1142.000,
2013-07,1123.500,
2013-08,1110.000,
2013-09,1074.700,
2013-10,1060.700,
2013-11,1058.200,
2013-12,1048.500,
2014-01,1070.400,
2014-02,1067.400,
2014-03,1064.700,
2014-04,1033.200,
2014-05,1020.100,
2014-06,1011.800,
2014-07,1027.900,
2014-08,1013.600,
2014-09,1055.200,
2014-10,1065.800,
2014-11,1107.900,
2014-12,1091.000,
2015-01,1093.500,
"","Source: Calculated on the basis of the buying and selling rates of the Korea Exchange Bank, Seoul.",
"","Comment on 1971-06: On 28 June 1971, the exchange rates were adjusted more sharply. The following exchange rates (buying/selling rate) were recorded:  26 June 1971: USD 1 = KRW 327.40/328.90  28 June 1971: USD 1 = KRW 370.00/371.60  Calculated devaluation: 11.5%.",
"","Comment on 1974-12: On 7 December 1974, the exchange rates (buying/selling rate) were changed from USD 1 = KRW 398.00/400.00 to USD 1 = KRW 483,00/485,00. Calculated devaluation: 17.6% (middle rate).",
"","Comment on 1980-01: On 12 January 1980, the exchange rates (buying/selling rate) were changed from USD 1 = KRW 483.00/485.00 to USD 1 = KRW 577.10/582.90. Calculated devaluation: 16.6% (middle rate).",
