"",BBEX3.D.COP.EUR.CA.AB.000,BBEX3.D.COP.EUR.CA.AB.000_FLAGS
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,.,No value available
2000-10-17,.,No value available
2000-10-18,.,No value available
2000-10-19,.,No value available
2000-10-20,1816.24,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,.,No value available
2000-10-24,.,No value available
2000-10-25,.,No value available
2000-10-26,.,No value available
2000-10-27,1800.23,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,.,No value available
2000-10-31,1821.20,
2000-11-01,.,No value available
2000-11-02,.,No value available
2000-11-03,1834.80,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,.,No value available
2000-11-07,.,No value available
2000-11-08,.,No value available
2000-11-09,.,No value available
2000-11-10,1823.38,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,.,No value available
2000-11-14,.,No value available
2000-11-15,.,No value available
2000-11-16,.,No value available
2000-11-17,1812.42,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,.,No value available
2000-11-21,.,No value available
2000-11-22,.,No value available
2000-11-23,.,No value available
2000-11-24,1800.39,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,.,No value available
2000-11-28,.,No value available
2000-11-29,.,No value available
2000-11-30,1887.55,
2000-12-01,.,No value available
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,.,No value available
2000-12-05,.,No value available
2000-12-06,.,No value available
2000-12-07,1938.47,
2000-12-08,.,No value available
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,.,No value available
2000-12-12,.,No value available
2000-12-13,.,No value available
2000-12-14,.,No value available
2000-12-15,1945.54,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,.,No value available
2000-12-19,.,No value available
2000-12-20,.,No value available
2000-12-21,.,No value available
2000-12-22,2020.62,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,.,No value available
2000-12-28,.,No value available
2000-12-29,2067.34,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,.,No value available
2001-01-03,.,No value available
2001-01-04,.,No value available
2001-01-05,2137.90,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,.,No value available
2001-01-09,.,No value available
2001-01-10,.,No value available
2001-01-11,.,No value available
2001-01-12,2142.65,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,.,No value available
2001-01-16,.,No value available
2001-01-17,.,No value available
2001-01-18,.,No value available
2001-01-19,.,No value available
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,.,No value available
2001-01-23,.,No value available
2001-01-24,.,No value available
2001-01-25,.,No value available
2001-01-26,2075.13,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,.,No value available
2001-01-30,.,No value available
2001-01-31,2086.19,
2001-02-01,.,No value available
2001-02-02,2093.63,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,.,No value available
2001-02-06,.,No value available
2001-02-07,.,No value available
2001-02-08,.,No value available
2001-02-09,2061.26,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,.,No value available
2001-02-13,.,No value available
2001-02-14,.,No value available
2001-02-15,.,No value available
2001-02-16,2028.59,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,.,No value available
2001-02-20,.,No value available
2001-02-21,.,No value available
2001-02-22,.,No value available
2001-02-23,2037.69,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,.,No value available
2001-02-27,.,No value available
2001-02-28,2065.91,
2001-03-01,.,No value available
2001-03-02,2106.03,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,.,No value available
2001-03-06,.,No value available
2001-03-07,.,No value available
2001-03-08,.,No value available
2001-03-09,2106.69,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,.,No value available
2001-03-13,.,No value available
2001-03-14,.,No value available
2001-03-15,.,No value available
2001-03-16,2042.52,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,.,No value available
2001-03-20,.,No value available
2001-03-21,.,No value available
2001-03-22,.,No value available
2001-03-23,2032.50,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,.,No value available
2001-03-27,.,No value available
2001-03-28,.,No value available
2001-03-29,.,No value available
2001-03-30,2037.02,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,.,No value available
2001-04-03,.,No value available
2001-04-04,.,No value available
2001-04-05,.,No value available
2001-04-06,2082.00,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,.,No value available
2001-04-10,.,No value available
2001-04-11,2050.44,
2001-04-12,.,No value available
2001-04-13,.,No value available
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,.,No value available
2001-04-18,.,No value available
2001-04-19,.,No value available
2001-04-20,2100.35,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,.,No value available
2001-04-24,.,No value available
2001-04-25,.,No value available
2001-04-26,.,No value available
2001-04-27,2115.01,
2001-04-28,.,No value available
2001-04-29,.,No value available
2001-04-30,2084.30,
2001-05-01,.,No value available
2001-05-02,.,No value available
2001-05-03,.,No value available
2001-05-04,2102.97,
2001-05-05,.,No value available
2001-05-06,.,No value available
2001-05-07,.,No value available
2001-05-08,.,No value available
2001-05-09,.,No value available
2001-05-10,.,No value available
2001-05-11,2079.80,
2001-05-12,.,No value available
2001-05-13,.,No value available
2001-05-14,.,No value available
2001-05-15,.,No value available
2001-05-16,.,No value available
2001-05-17,.,No value available
2001-05-18,2100.35,
2001-05-19,.,No value available
2001-05-20,.,No value available
2001-05-21,.,No value available
2001-05-22,.,No value available
2001-05-23,.,No value available
2001-05-24,.,No value available
2001-05-25,1985.09,
2001-05-26,.,No value available
2001-05-27,.,No value available
2001-05-28,.,No value available
2001-05-29,.,No value available
2001-05-30,.,No value available
2001-05-31,1993.95,
2001-06-01,.,No value available
2001-06-02,.,No value available
2001-06-03,.,No value available
2001-06-04,.,No value available
2001-06-05,.,No value available
2001-06-06,.,No value available
2001-06-07,.,No value available
2001-06-08,1956.67,
2001-06-09,.,No value available
2001-06-10,.,No value available
2001-06-11,.,No value available
2001-06-12,.,No value available
2001-06-13,.,No value available
2001-06-14,.,No value available
2001-06-15,1985.33,
2001-06-16,.,No value available
2001-06-17,.,No value available
2001-06-18,.,No value available
2001-06-19,.,No value available
2001-06-20,.,No value available
2001-06-21,.,No value available
2001-06-22,1968.82,
2001-06-23,.,No value available
2001-06-24,.,No value available
2001-06-25,.,No value available
2001-06-26,.,No value available
2001-06-27,.,No value available
2001-06-28,.,No value available
2001-06-29,1948.78,
2001-06-30,.,No value available
2001-07-01,.,No value available
2001-07-02,.,No value available
2001-07-03,.,No value available
2001-07-04,.,No value available
2001-07-05,.,No value available
2001-07-06,1951.50,
2001-07-07,.,No value available
2001-07-08,.,No value available
2001-07-09,.,No value available
2001-07-10,.,No value available
2001-07-11,.,No value available
2001-07-12,.,No value available
2001-07-13,1982.37,
2001-07-14,.,No value available
2001-07-15,.,No value available
2001-07-16,.,No value available
2001-07-17,.,No value available
2001-07-18,.,No value available
2001-07-19,2003.76,
2001-07-20,.,No value available
2001-07-21,.,No value available
2001-07-22,.,No value available
2001-07-23,.,No value available
2001-07-24,.,No value available
2001-07-25,.,No value available
2001-07-26,.,No value available
2001-07-27,2020.94,
2001-07-28,.,No value available
2001-07-29,.,No value available
2001-07-30,.,No value available
2001-07-31,2006.36,
2001-08-01,.,No value available
2001-08-02,.,No value available
2001-08-03,2029.49,
2001-08-04,.,No value available
2001-08-05,.,No value available
2001-08-06,.,No value available
2001-08-07,.,No value available
2001-08-08,.,No value available
2001-08-09,.,No value available
2001-08-10,2045.11,
2001-08-11,.,No value available
2001-08-12,.,No value available
2001-08-13,.,No value available
2001-08-14,.,No value available
2001-08-15,.,No value available
2001-08-16,.,No value available
2001-08-17,2098.59,
2001-08-18,.,No value available
2001-08-19,.,No value available
2001-08-20,.,No value available
2001-08-21,.,No value available
2001-08-22,.,No value available
2001-08-23,.,No value available
2001-08-24,2083.58,
2001-08-25,.,No value available
2001-08-26,.,No value available
2001-08-27,.,No value available
2001-08-28,.,No value available
2001-08-29,.,No value available
2001-08-30,.,No value available
2001-08-31,2110.99,
2001-09-01,.,No value available
2001-09-02,.,No value available
2001-09-03,.,No value available
2001-09-04,.,No value available
2001-09-05,.,No value available
2001-09-06,.,No value available
2001-09-07,2076.88,
2001-09-08,.,No value available
2001-09-09,.,No value available
2001-09-10,.,No value available
2001-09-11,.,No value available
2001-09-12,.,No value available
2001-09-13,.,No value available
2001-09-14,2129.20,
2001-09-15,.,No value available
2001-09-16,.,No value available
2001-09-17,.,No value available
2001-09-18,.,No value available
2001-09-19,.,No value available
2001-09-20,.,No value available
2001-09-21,2163.46,
2001-09-22,.,No value available
2001-09-23,.,No value available
2001-09-24,.,No value available
2001-09-25,.,No value available
2001-09-26,.,No value available
2001-09-27,.,No value available
2001-09-28,2138.42,
2001-09-29,.,No value available
2001-09-30,.,No value available
2001-10-01,.,No value available
2001-10-02,.,No value available
2001-10-03,.,No value available
2001-10-04,.,No value available
2001-10-05,2139.72,
2001-10-06,.,No value available
2001-10-07,.,No value available
2001-10-08,.,No value available
2001-10-09,.,No value available
2001-10-10,.,No value available
2001-10-11,.,No value available
2001-10-12,2106.41,
2001-10-13,.,No value available
2001-10-14,.,No value available
2001-10-15,.,No value available
2001-10-16,.,No value available
2001-10-17,.,No value available
2001-10-18,.,No value available
2001-10-19,2092.91,
2001-10-20,.,No value available
2001-10-21,.,No value available
2001-10-22,.,No value available
2001-10-23,.,No value available
2001-10-24,.,No value available
2001-10-25,.,No value available
2001-10-26,2075.30,
2001-10-27,.,No value available
2001-10-28,.,No value available
2001-10-29,.,No value available
2001-10-30,.,No value available
2001-10-31,2083.34,
2001-11-01,.,No value available
2001-11-02,2087.35,
2001-11-03,.,No value available
2001-11-04,.,No value available
2001-11-05,.,No value available
2001-11-06,.,No value available
2001-11-07,.,No value available
2001-11-08,.,No value available
2001-11-09,2064.08,
2001-11-10,.,No value available
2001-11-11,.,No value available
2001-11-12,.,No value available
2001-11-13,.,No value available
2001-11-14,.,No value available
2001-11-15,.,No value available
2001-11-16,2046.47,
2001-11-17,.,No value available
2001-11-18,.,No value available
2001-11-19,.,No value available
2001-11-20,.,No value available
2001-11-21,.,No value available
2001-11-22,.,No value available
2001-11-23,2036.57,
2001-11-24,.,No value available
2001-11-25,.,No value available
2001-11-26,.,No value available
2001-11-27,.,No value available
