"",2009-03-05,2009-03-18,2009-04-01,2009-04-17,2009-05-04,2009-05-12,2009-05-29,2009-06-16,2009-07-01,2009-07-15,2009-08-03,2009-08-13,2009-09-01,2009-09-11,2009-10-01,2009-10-13,2009-10-30,2009-11-16,2009-12-01,2009-12-11,2010-01-07,2010-01-13,2010-02-02,2010-02-12,2010-03-03,2010-03-16,2010-04-01,2010-04-16,2010-05-04,2010-05-12,2010-06-01,2010-06-17,2010-07-01,2010-07-16,2010-07-30,2010-08-18,2010-09-01,2010-09-17,2010-10-01,2010-10-15,2010-10-29,2010-11-12,2010-12-01,2010-12-16,2011-01-07,2011-01-14,2011-01-31,2011-02-11,2011-03-03,2011-03-15,2011-03-31,2011-04-13,2011-04-29,2011-05-13,2011-05-31,2011-06-15,2011-06-30,2011-07-11,2011-07-29,2011-08-16,2011-08-31,2011-09-19,2011-09-30,2011-10-19,2011-10-31,2011-11-14,2011-11-30,2011-12-13,2012-01-05,2012-01-13,2012-01-31,2012-02-16,2012-03-02,2012-03-14,2012-03-30,2012-04-12,2012-04-30,2012-05-14,2012-05-31,2012-06-14,2012-06-29,2012-07-11,2012-07-31,2012-08-17,2012-08-31,2012-09-17,2012-09-28,2012-10-18,2012-10-31,2012-11-19,2012-12-05,2013-01-04,2013-01-17,2013-01-31,2013-04-02,2013-05-02,2013-05-31,2013-06-28,2013-07-16,2013-07-31,2013-08-16,2013-08-30,2013-09-18,2013-10-02,2013-10-31,2013-11-14,2013-11-29,2013-12-13,2014-01-02,2014-01-31,2014-02-28,2014-03-12,2014-03-31,2014-04-16,2014-04-30,2014-05-13,2014-05-30,2014-06-12,2014-07-01,2014-07-31,2014-08-12,2014-08-29,2014-09-15,2014-09-30,2014-10-14,2014-10-31,2014-11-11,2014-11-28,2014-12-02,2014-12-11,2014-12-30,2015-01-30,2015-02-12
1997-07,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
1997-08,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4
1997-09,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7
1997-10,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6
1997-11,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1
1997-12,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,108.1,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7
1998-01,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4
1998-02,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
1998-03,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,103.2,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7,105.7
1998-04,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8
1998-05,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3
1998-06,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8
1998-07,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2
1998-08,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6
1998-09,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2
1998-10,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
1998-11,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.3
1998-12,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5
1999-01,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3
1999-02,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3
1999-03,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
1999-04,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3
1999-05,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2
1999-06,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9
